Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-06 00:00:00.000,175.06958333333333,-0.5047222222222222,4.583,5.293,130.5,8.3,23.5,9.87,279.6
2022-05-11 00:00:00.000,174.7825,-0.46361111111111114,4.655,5.304,125.4,8.9,23.6,7.53,276.3
2022-05-16 00:00:00.000,174.5708333333333,-0.45,4.732,5.315,120.3,9.4,23.6,5.23,269.9
2022-05-21 00:00:00.000,174.43416666666664,-0.4638888888888889,4.813,5.326,115.4,9.9,23.7,3.1,254.3
2022-05-26 00:00:00.000,174.3720833333333,-0.5058333333333334,4.896,5.336,110.6,10.2,23.7,1.84,204.3
2022-05-31 00:00:00.000,174.38333333333333,-0.5758333333333333,4.981,5.347,105.8,10.5,23.8,2.89,150.4
2022-06-05 00:00:00.000,174.46625,-0.6730555555555555,5.068,5.358,101.1,10.7,23.8,4.86,133.2
2022-06-10 00:00:00.000,174.6183333333333,-0.7975,5.157,5.368,96.5,10.8,23.9,6.93,126.5
2022-06-15 00:00:00.000,174.83625,-0.9477777777777778,5.246,5.378,92.0,10.9,23.9,8.95,123.1
2022-06-20 00:00:00.000,175.11708333333328,-1.1233333333333333,5.335,5.389,87.6,10.9,24.0,10.89,121.1
2023-01-16 00:00:00.000,204.4733333333333,-17.13138888888889,5.721,5.744,86.4,9.8,24.4,10.84,139.4
2023-01-21 00:00:00.000,204.68541666666664,-17.39527777777778,5.646,5.75,91.1,9.9,24.4,9.14,146.2
2023-01-26 00:00:00.000,204.82708333333332,-17.6375,5.57,5.757,96.0,9.8,24.3,7.56,156.4
2023-01-31 00:00:00.000,204.89624999999998,-17.85666666666667,5.496,5.763,100.9,9.7,24.3,6.28,171.5
2023-02-05 00:00:00.000,204.89124999999999,-18.05138888888889,5.422,5.77,105.8,9.5,24.3,5.6,192.4
2023-02-10 00:00:00.000,204.81125,-18.220555555555553,5.351,5.776,110.9,9.2,24.3,5.76,215.6
2023-02-15 00:00:00.000,204.65541666666664,-18.363055555555558,5.282,5.782,115.9,8.8,24.2,6.73,235.0
2023-02-20 00:00:00.000,204.42416666666665,-18.47722222222222,5.216,5.788,121.1,8.4,24.2,8.22,248.7
2023-02-25 00:00:00.000,204.1183333333333,-18.56222222222222,5.154,5.794,126.3,7.9,24.2,9.95,257.8
2023-03-02 00:00:00.000,203.74124999999995,-18.61722222222222,5.096,5.8,131.5,7.4,24.2,11.75,264.2
2023-05-26 00:00:00.000,193.67041666666665,-16.210277777777776,5.142,5.889,133.9,7.1,24.3,11.17,297.3
2023-05-31 00:00:00.000,193.35958333333332,-16.04888888888889,5.204,5.894,128.9,7.7,24.3,9.18,299.8
2023-06-05 00:00:00.000,193.1175,-15.906944444444445,5.271,5.898,123.9,8.2,24.3,7.16,303.4
2023-06-10 00:00:00.000,192.94499999999996,-15.786944444444444,5.342,5.903,119.1,8.6,24.3,5.14,309.4
2023-06-15 00:00:00.000,192.84249999999997,-15.689722222222223,5.417,5.907,114.2,9.0,24.4,3.21,322.5
2023-06-20 00:00:00.000,192.8095833333333,-15.6175,5.494,5.911,109.5,9.3,24.4,1.79,1.6
2023-06-25 00:00:00.000,192.84541666666664,-15.570555555555556,5.573,5.915,104.8,9.6,24.5,2.25,63.2
2023-06-30 00:00:00.000,192.94791666666663,-15.549722222222222,5.654,5.919,100.2,9.7,24.5,3.92,86.6
2023-07-05 00:00:00.000,193.11499999999998,-15.555000000000001,5.736,5.923,95.6,9.8,24.5,5.76,95.4
2023-07-10 00:00:00.000,193.34416666666664,-15.586111111111112,5.819,5.927,91.1,9.9,24.6,7.61,100.0
2023-07-15 00:00:00.000,193.63291666666666,-15.642777777777777,5.901,5.93,86.7,9.9,24.6,9.42,102.8
2024-02-05 00:00:00.000,222.77124999999998,-28.45111111111111,5.99,6.013,86.6,9.4,24.7,11.28,141.9
2024-02-10 00:00:00.000,222.99916666666664,-28.740277777777777,5.909,6.013,91.3,9.4,24.6,9.84,149.3
2024-02-15 00:00:00.000,223.15291666666664,-29.014444444444443,5.829,6.013,96.0,9.4,24.6,8.55,159.1
2024-02-20 00:00:00.000,223.23041666666666,-29.272222222222222,5.749,6.013,100.8,9.3,24.6,7.54,172.3
2024-02-25 00:00:00.000,223.22999999999996,-29.51222222222222,5.671,6.013,105.6,9.1,24.6,7.0,188.6
2024-03-01 00:00:00.000,223.14999999999998,-29.732777777777777,5.594,6.013,110.5,8.9,24.5,7.04,206.4
2024-03-06 00:00:00.000,222.98958333333331,-29.93166666666667,5.52,6.013,115.4,8.6,24.5,7.68,222.8
2024-03-11 00:00:00.000,222.74874999999997,-30.107222222222223,5.449,6.013,120.4,8.2,24.5,8.78,236.1
2024-03-16 00:00:00.000,222.42874999999995,-30.25722222222222,5.382,6.013,125.4,7.8,24.4,10.15,246.2
2024-03-21 00:00:00.000,222.03291666666667,-30.379722222222224,5.319,6.012,130.4,7.3,24.4,11.66,253.8
