Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,144.64583333333331,29.309166666666666,1.386,1.806,96.7,33.6,16.1,24.47,155.4
2022-05-06 00:00:00.000,145.16,28.528055555555554,1.396,1.761,92.7,34.9,15.9,29.77,145.7
2022-05-11 00:00:00.000,145.9145833333333,27.670833333333334,1.405,1.715,88.9,36.1,15.8,35.41,139.2
2022-05-16 00:00:00.000,146.89499999999998,26.740000000000002,1.412,1.669,85.3,37.1,15.6,41.13,134.9
2023-08-29 00:00:00.000,67.39666666666666,18.33361111111111,3.542,3.624,86.5,16.2,22.6,12.06,78.8
2023-09-03 00:00:00.000,67.75791666666666,18.40361111111111,3.492,3.652,91.0,16.0,22.7,8.91,78.0
2023-09-08 00:00:00.000,68.00708333333333,18.45722222222222,3.441,3.679,95.6,15.8,22.7,5.61,75.8
2023-09-13 00:00:00.000,68.13833333333332,18.495,3.391,3.706,100.3,15.5,22.7,2.21,66.0
2023-09-18 00:00:00.000,68.14708333333333,18.51722222222222,3.341,3.733,105.2,15.1,22.7,1.59,285.7
2023-09-23 00:00:00.000,68.02958333333332,18.523888888888887,3.293,3.759,110.2,14.5,22.7,5.15,269.7
2023-09-28 00:00:00.000,67.78458333333332,18.515555555555554,3.247,3.786,115.3,13.8,22.7,8.81,266.9
2023-10-03 00:00:00.000,67.41083333333333,18.492222222222225,3.204,3.811,120.6,13.1,22.7,12.49,265.7
2023-10-08 00:00:00.000,66.90958333333333,18.453611111111112,3.164,3.837,125.9,12.2,22.8,16.13,265.1
2023-10-13 00:00:00.000,66.28291666666667,18.399722222222223,3.128,3.862,131.5,11.2,22.8,19.66,264.6
2024-01-01 00:00:00.000,50.640833333333326,16.764166666666668,3.498,4.228,132.9,9.8,23.6,15.5,268.0
2024-01-06 00:00:00.000,50.15916666666666,16.75888888888889,3.58,4.249,127.3,10.6,23.7,12.17,271.0
2024-01-11 00:00:00.000,49.79374999999999,16.778888888888886,3.667,4.269,121.9,11.3,23.8,8.88,276.3
2024-01-16 00:00:00.000,49.54416666666666,16.824444444444445,3.758,4.29,116.6,11.8,23.9,5.79,287.5
2024-01-21 00:00:00.000,49.408333333333324,16.89472222222222,3.852,4.309,111.4,12.3,23.9,3.39,316.8
2024-01-26 00:00:00.000,49.38083333333332,16.988611111111112,3.948,4.329,106.3,12.6,24.0,3.25,13.1
2024-01-31 00:00:00.000,49.45791666666666,17.105,4.046,4.349,101.3,12.8,24.1,5.28,43.7
2024-02-05 00:00:00.000,49.63416666666666,17.2425,4.146,4.368,96.5,13.0,24.2,7.8,55.4
2024-02-10 00:00:00.000,49.904166666666654,17.399444444444445,4.246,4.387,91.7,13.0,24.3,10.32,61.1
2024-02-15 00:00:00.000,50.26333333333333,17.574166666666667,4.345,4.405,87.0,12.9,24.3,12.73,64.4
