Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-10-23 00:00:00.000,128.24041666666665,29.973333333333333,11.464,11.442,86.2,5.0,22.7,5.6,347.5
2022-10-28 00:00:00.000,128.17249999999999,30.161388888888887,11.403,11.467,91.2,5.0,22.7,6.26,338.1
2022-11-02 00:00:00.000,128.06041666666664,30.360833333333336,11.341,11.492,96.3,4.9,22.7,7.05,330.6
2022-11-07 00:00:00.000,127.90416666666667,30.570833333333333,11.281,11.517,101.4,4.8,22.7,7.93,324.4
2022-11-12 00:00:00.000,127.70291666666665,30.790555555555557,11.222,11.543,106.5,4.7,22.7,8.87,319.4
2022-11-17 00:00:00.000,127.45624999999997,31.019166666666667,11.166,11.568,111.7,4.6,22.7,9.84,315.2
2022-11-22 00:00:00.000,127.16416666666665,31.255555555555556,11.113,11.593,116.9,4.4,22.7,10.82,311.7
2022-11-27 00:00:00.000,126.82666666666664,31.498333333333335,11.064,11.618,122.1,4.1,22.7,11.78,308.7
2022-12-02 00:00:00.000,126.4458333333333,31.746111111111112,11.019,11.643,127.3,3.9,22.7,12.7,306.1
2022-12-07 00:00:00.000,126.02291666666666,31.996666666666666,10.979,11.669,132.6,3.6,22.7,13.57,303.8
2023-02-25 00:00:00.000,116.78583333333331,35.02583333333333,11.353,12.071,134.8,3.3,22.9,12.31,281.4
2023-03-02 00:00:00.000,116.31374999999998,35.1,11.44,12.096,129.7,3.6,22.9,11.3,280.3
2023-03-07 00:00:00.000,115.88083333333333,35.160555555555554,11.531,12.122,124.6,3.9,22.9,10.25,279.1
2023-03-12 00:00:00.000,115.48916666666665,35.208333333333336,11.628,12.147,119.4,4.1,22.9,9.17,277.9
2023-03-17 00:00:00.000,115.14041666666665,35.24472222222222,11.728,12.172,114.4,4.3,22.9,8.05,276.5
2023-03-22 00:00:00.000,114.83624999999999,35.269999999999996,11.832,12.197,109.3,4.4,22.9,6.92,275.1
2023-03-27 00:00:00.000,114.57749999999999,35.285555555555554,11.938,12.222,104.3,4.5,22.9,5.79,273.3
2023-04-01 00:00:00.000,114.36416666666666,35.2925,12.046,12.247,99.3,4.6,23.0,4.67,271.1
2023-04-06 00:00:00.000,114.19583333333331,35.29194444444444,12.156,12.273,94.4,4.7,23.0,3.58,268.1
2023-04-11 00:00:00.000,114.07166666666664,35.285,12.266,12.298,89.5,4.7,23.0,2.52,263.2
2023-10-18 00:00:00.000,121.86374999999998,36.555,13.249,13.251,87.9,4.3,23.4,5.41,348.6
2023-10-23 00:00:00.000,121.79916666666665,36.736111111111114,13.19,13.276,92.8,4.3,23.4,5.92,339.9
2023-10-28 00:00:00.000,121.69416666666665,36.925555555555555,13.131,13.301,97.7,4.2,23.4,6.53,332.5
2023-11-02 00:00:00.000,121.54749999999999,37.12222222222222,13.074,13.326,102.6,4.2,23.4,7.21,326.3
2023-11-07 00:00:00.000,121.35916666666667,37.32527777777778,13.018,13.351,107.6,4.1,23.4,7.95,321.0
2023-11-12 00:00:00.000,121.1283333333333,37.53361111111111,12.965,13.376,112.6,3.9,23.4,8.71,316.5
2023-11-17 00:00:00.000,120.85499999999999,37.74583333333334,12.914,13.401,117.6,3.8,23.4,9.48,312.6
2023-11-22 00:00:00.000,120.54041666666664,37.96055555555556,12.868,13.426,122.6,3.6,23.4,10.22,309.2
2023-11-27 00:00:00.000,120.18583333333332,38.17611111111111,12.826,13.451,127.6,3.3,23.4,10.94,306.2
2023-12-02 00:00:00.000,119.79249999999999,38.39111111111111,12.79,13.476,132.5,3.1,23.4,11.62,303.5
2024-02-20 00:00:00.000,111.255,40.55444444444444,13.177,13.874,133.4,3.0,23.5,10.36,274.3
2024-02-25 00:00:00.000,110.81875,40.573888888888895,13.262,13.899,128.5,3.2,23.5,9.55,272.4
2024-03-01 00:00:00.000,110.41833333333331,40.58166666666667,13.351,13.924,123.6,3.4,23.5,8.7,270.4
2024-03-06 00:00:00.000,110.05624999999999,40.57833333333333,13.446,13.949,118.7,3.6,23.6,7.81,268.1
2024-03-11 00:00:00.000,109.73374999999999,40.565,13.544,13.974,113.8,3.7,23.6,6.9,265.6
2024-03-16 00:00:00.000,109.45291666666665,40.543055555555554,13.646,13.999,108.9,3.9,23.6,5.98,262.5
2024-03-21 00:00:00.000,109.21416666666666,40.513333333333335,13.749,14.024,104.0,4.0,23.6,5.06,258.7
2024-03-26 00:00:00.000,109.01749999999998,40.4775,13.855,14.048,99.1,4.0,23.6,4.18,253.8
2024-03-31 00:00:00.000,108.8625,40.43611111111111,13.962,14.073,94.3,4.1,23.6,3.33,246.8
2024-04-05 00:00:00.000,108.74916666666665,40.390277777777776,14.07,14.098,89.6,4.1,23.6,2.56,236.1
