Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,255.40791666666664,48.461111111111116,9.468,9.833,108.4,5.6,18.4,15.94,282.8
2022-05-06 00:00:00.000,254.60499999999996,48.55916666666666,9.451,9.828,109.1,5.6,18.4,16.52,278.2
2022-05-11 00:00:00.000,253.7633333333333,48.61638888888889,9.438,9.824,109.7,5.6,18.4,17.06,273.6
2022-05-16 00:00:00.000,252.89083333333332,48.63027777777778,9.428,9.82,110.0,5.6,18.4,17.56,269.2
2022-05-21 00:00:00.000,251.99499999999998,48.59916666666667,9.421,9.815,110.1,5.6,18.4,18.02,264.8
2022-05-26 00:00:00.000,251.0845833333333,48.52111111111111,9.418,9.811,110.0,5.6,18.4,18.44,260.5
2022-05-31 00:00:00.000,250.16791666666666,48.394999999999996,9.418,9.807,109.7,5.6,18.4,18.81,256.1
2022-06-05 00:00:00.000,249.25416666666666,48.22027777777778,9.422,9.803,109.2,5.6,18.4,19.13,251.8
2022-06-10 00:00:00.000,248.35249999999996,47.9975,9.429,9.799,108.5,5.6,18.4,19.39,247.6
2022-06-15 00:00:00.000,247.47124999999997,47.72777777777778,9.44,9.795,107.6,5.7,18.4,19.61,243.4
2022-06-20 00:00:00.000,246.61749999999998,47.4125,9.454,9.792,106.5,5.7,18.4,19.79,239.2
2022-06-25 00:00:00.000,245.79874999999998,47.05305555555555,9.471,9.788,105.3,5.7,18.4,19.93,235.1
2022-06-30 00:00:00.000,245.02124999999995,46.65222222222222,9.491,9.784,103.8,5.8,18.4,20.02,230.9
2022-07-05 00:00:00.000,244.29125,46.212500000000006,9.514,9.781,102.2,5.8,18.4,20.07,226.8
2022-07-10 00:00:00.000,243.61333333333332,45.73722222222222,9.54,9.777,100.5,5.9,18.4,20.09,222.7
2022-07-15 00:00:00.000,242.9908333333333,45.22972222222222,9.569,9.774,98.7,5.9,18.4,20.07,218.7
2022-07-20 00:00:00.000,242.4266666666666,44.693888888888885,9.599,9.77,96.7,5.9,18.4,20.03,214.7
2022-07-25 00:00:00.000,241.9225,44.132777777777775,9.632,9.767,94.6,6.0,18.4,19.97,210.7
2022-07-30 00:00:00.000,241.48041666666663,43.55,9.667,9.763,92.5,6.0,18.4,19.89,206.7
2022-08-04 00:00:00.000,241.1008333333333,42.94944444444444,9.703,9.76,90.3,6.0,18.4,19.78,202.7
2022-08-09 00:00:00.000,240.78374999999997,42.33527777777778,9.74,9.757,88.0,6.0,18.5,19.65,198.8
2022-08-14 00:00:00.000,240.52791666666667,41.711111111111116,9.778,9.754,85.6,5.9,18.5,19.51,195.0
