Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,286.79166666666663,-0.17888888888888888,6.54,6.955,110.4,7.8,21.0,19.98,280.5
2022-05-06 00:00:00.000,286.10249999999996,-0.06527777777777778,6.487,6.98,115.5,7.5,21.0,21.91,278.3
2022-05-11 00:00:00.000,285.3474999999999,0.03194444444444444,6.438,7.004,120.5,7.1,21.0,23.77,276.4
2022-05-16 00:00:00.000,284.5291666666666,0.11083333333333334,6.393,7.029,125.5,6.7,21.0,25.53,274.7
2022-05-21 00:00:00.000,283.6524999999999,0.16972222222222222,6.355,7.054,130.5,6.3,21.0,27.19,273.0
2022-08-04 00:00:00.000,268.4504166666666,-1.7733333333333332,6.704,7.431,132.8,5.7,21.3,25.57,251.3
2022-08-09 00:00:00.000,267.6745833333333,-2.051388888888889,6.789,7.456,128.0,6.2,21.4,23.87,249.2
2022-08-14 00:00:00.000,266.96250000000003,-2.3369444444444447,6.88,7.482,123.1,6.5,21.4,22.12,247.0
2022-08-19 00:00:00.000,266.31666666666666,-2.6280555555555556,6.976,7.508,118.2,6.8,21.5,20.35,244.4
2022-08-24 00:00:00.000,265.7383333333333,-2.9227777777777777,7.076,7.533,113.3,7.1,21.5,18.56,241.4
2022-08-29 00:00:00.000,265.2283333333333,-3.2191666666666667,7.18,7.559,108.3,7.3,21.6,16.8,238.0
2022-09-03 00:00:00.000,264.78624999999994,-3.515,7.287,7.585,103.4,7.4,21.6,15.09,234.1
2022-09-08 00:00:00.000,264.41125,-3.8088888888888888,7.396,7.61,98.5,7.5,21.7,13.48,229.4
2022-09-13 00:00:00.000,264.10166666666663,-4.099166666666666,7.506,7.636,93.7,7.6,21.7,11.99,223.9
2022-09-18 00:00:00.000,263.85499999999996,-4.384444444444445,7.617,7.662,88.8,7.5,21.8,10.65,217.3
2023-03-17 00:00:00.000,269.84625,-7.140277777777778,8.624,8.614,86.1,6.6,22.5,5.98,300.9
2023-03-22 00:00:00.000,269.6479166666666,-7.036944444444444,8.564,8.641,91.1,6.6,22.5,7.4,295.0
2023-03-27 00:00:00.000,269.3958333333333,-6.9319444444444445,8.505,8.668,96.1,6.6,22.5,8.89,290.8
2023-04-01 00:00:00.000,269.09,-6.826944444444444,8.446,8.695,101.1,6.5,22.5,10.4,287.6
2023-04-06 00:00:00.000,268.72999999999996,-6.722777777777778,8.389,8.722,106.2,6.3,22.5,11.92,285.1
2023-04-11 00:00:00.000,268.3170833333333,-6.620833333333334,8.335,8.748,111.3,6.1,22.5,13.44,283.0
2023-04-16 00:00:00.000,267.85166666666663,-6.522222222222222,8.283,8.775,116.4,5.9,22.5,14.93,281.2
2023-04-21 00:00:00.000,267.335,-6.427777777777778,8.236,8.802,121.5,5.6,22.5,16.38,279.7
2023-04-26 00:00:00.000,266.76916666666665,-6.339166666666666,8.193,8.829,126.6,5.2,22.5,17.75,278.3
2023-05-01 00:00:00.000,266.15749999999997,-6.257777777777778,8.155,8.856,131.7,4.9,22.5,19.03,277.0
2023-07-20 00:00:00.000,254.28416666666664,-6.501111111111111,8.547,9.289,134.7,4.5,22.8,18.32,259.2
2023-07-25 00:00:00.000,253.70249999999996,-6.620555555555556,8.634,9.316,129.7,4.8,22.9,17.06,257.4
2023-07-30 00:00:00.000,253.16708333333332,-6.749444444444444,8.727,9.343,124.8,5.1,22.9,15.76,255.3
2023-08-04 00:00:00.000,252.67958333333328,-6.886944444444444,8.825,9.371,119.8,5.4,22.9,14.44,252.9
2023-08-09 00:00:00.000,252.24083333333334,-7.031944444444444,8.926,9.398,114.9,5.6,23.0,13.1,250.1
2023-08-14 00:00:00.000,251.8525,-7.183888888888889,9.031,9.425,109.9,5.8,23.0,11.77,246.8
2023-08-19 00:00:00.000,251.51416666666665,-7.341388888888889,9.139,9.452,105.0,5.9,23.1,10.47,242.7
2023-08-24 00:00:00.000,251.2270833333333,-7.503611111111111,9.249,9.479,100.1,6.0,23.1,9.23,237.7
2023-08-29 00:00:00.000,250.9891666666666,-7.669722222222222,9.361,9.506,95.2,6.1,23.1,8.09,231.6
2023-09-03 00:00:00.000,250.80041666666662,-7.838333333333333,9.473,9.534,90.4,6.1,23.2,7.07,223.9
2023-09-08 00:00:00.000,250.65874999999994,-8.009166666666667,9.585,9.561,85.6,6.0,23.2,6.22,214.3
2024-03-06 00:00:00.000,256.7004166666666,-10.595277777777778,10.511,10.54,89.0,5.4,23.8,4.2,297.2
2024-03-11 00:00:00.000,256.5520833333333,-10.529166666666667,10.451,10.567,94.0,5.4,23.8,5.42,292.3
2024-03-16 00:00:00.000,256.36041666666665,-10.458888888888888,10.392,10.594,99.1,5.3,23.8,6.67,289.0
2024-03-21 00:00:00.000,256.1245833333333,-10.385,10.334,10.622,104.2,5.2,23.8,7.92,286.6
2024-03-26 00:00:00.000,255.84624999999997,-10.308611111111112,10.278,10.649,109.3,5.1,23.8,9.16,284.7
2024-03-31 00:00:00.000,255.52499999999998,-10.23,10.224,10.676,114.4,4.9,23.8,10.38,283.2
2024-04-05 00:00:00.000,255.16208333333333,-10.150277777777777,10.174,10.703,119.5,4.7,23.8,11.57,282.0
2024-04-10 00:00:00.000,254.75875000000002,-10.070277777777777,10.128,10.73,124.7,4.4,23.8,12.72,280.9
2024-04-15 00:00:00.000,254.3170833333333,-9.990555555555554,10.087,10.757,129.8,4.1,23.8,13.79,279.9
