Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,168.20791666666665,48.03527777777778,7.847,8.135,103.1,6.9,26.1,13.96,254.7
2022-05-06 00:00:00.000,167.57666666666663,47.895833333333336,7.949,8.17,99.1,7.0,26.1,12.77,248.6
2022-05-11 00:00:00.000,167.02541666666664,47.72638888888889,8.052,8.205,95.1,7.0,26.1,11.68,241.9
2022-05-16 00:00:00.000,166.5545833333333,47.530833333333334,8.156,8.24,91.2,7.0,26.2,10.71,234.6
2022-05-21 00:00:00.000,166.16291666666666,47.31361111111111,8.261,8.275,87.3,7.0,26.2,9.89,226.5
2022-11-27 00:00:00.000,177.25124999999997,44.91416666666667,9.546,9.573,88.6,5.9,26.9,11.9,12.9
2022-12-02 00:00:00.000,177.34916666666663,45.314166666666665,9.51,9.606,92.7,5.9,26.9,12.47,6.9
2022-12-07 00:00:00.000,177.3920833333333,45.73888888888889,9.475,9.64,96.7,5.8,26.9,13.1,1.3
2022-12-12 00:00:00.000,177.37666666666664,46.186388888888885,9.441,9.673,100.7,5.7,26.9,13.78,356.0
2022-12-17 00:00:00.000,177.29916666666662,46.654444444444444,9.409,9.706,104.7,5.6,26.9,14.49,351.1
2022-12-22 00:00:00.000,177.15708333333333,47.13972222222222,9.38,9.74,108.7,5.5,26.9,15.21,346.4
2022-12-27 00:00:00.000,176.94791666666663,47.63916666666667,9.354,9.773,112.5,5.3,26.9,15.93,342.0
2023-01-01 00:00:00.000,176.66916666666665,48.14805555555556,9.331,9.806,116.2,5.2,26.9,16.61,337.8
2023-01-06 00:00:00.000,176.32041666666666,48.66277777777778,9.313,9.839,119.8,5.0,26.9,17.25,333.8
2023-01-11 00:00:00.000,175.90125,49.178888888888885,9.299,9.872,123.2,4.8,26.9,17.84,330.0
2023-01-16 00:00:00.000,175.41124999999997,49.69138888888889,9.291,9.905,126.3,4.6,26.9,18.36,326.3
2023-01-21 00:00:00.000,174.85208333333333,50.19555555555555,9.288,9.938,129.1,4.4,27.0,18.8,322.7
2023-01-26 00:00:00.000,174.22541666666663,50.686388888888885,9.291,9.971,131.6,4.2,27.0,19.14,319.1
2023-01-31 00:00:00.000,173.53541666666666,51.15888888888889,9.3,10.004,133.6,4.1,27.0,19.37,315.6
2023-03-02 00:00:00.000,168.40416666666667,53.36416666666667,9.49,10.201,133.9,4.0,27.1,18.47,294.4
2023-03-07 00:00:00.000,167.46166666666664,53.59666666666667,9.544,10.234,132.0,4.1,27.1,17.95,290.6
2023-03-12 00:00:00.000,166.5208333333333,53.78583333333333,9.604,10.267,129.7,4.3,27.1,17.35,286.8
2023-03-17 00:00:00.000,165.5908333333333,53.931666666666665,9.67,10.3,127.0,4.4,27.1,16.69,282.9
2023-03-22 00:00:00.000,164.68166666666664,54.034166666666664,9.741,10.332,124.1,4.6,27.1,15.96,278.8
2023-03-27 00:00:00.000,163.80374999999998,54.09444444444445,9.817,10.365,120.9,4.7,27.2,15.17,274.5
2023-04-01 00:00:00.000,162.96499999999997,54.11416666666667,9.898,10.397,117.5,4.9,27.2,14.36,270.0
