Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,266.4,19.108055555555556,27.224,27.762,121.4,1.8,25.1,3.91,312.7
2022-05-06 00:00:00.000,266.2925,19.193055555555556,27.2,27.781,124.3,1.7,25.1,4.02,307.3
2022-05-11 00:00:00.000,266.1741666666667,19.270555555555553,27.18,27.8,127.0,1.7,25.1,4.13,302.2
2022-05-16 00:00:00.000,266.04625,19.33972222222222,27.165,27.819,129.5,1.6,25.1,4.23,297.4
2022-05-21 00:00:00.000,265.9095833333333,19.400277777777777,27.155,27.838,131.7,1.6,25.1,4.32,292.9
2022-05-26 00:00:00.000,265.765,19.451944444444443,27.149,27.857,133.5,1.5,25.1,4.4,288.6
2022-07-05 00:00:00.000,264.51249999999993,19.500555555555554,27.296,28.008,133.7,1.5,25.2,4.38,256.1
2022-07-10 00:00:00.000,264.36499999999995,19.460833333333333,27.338,28.027,131.8,1.5,25.2,4.29,251.8
2022-07-15 00:00:00.000,264.2245833333333,19.411388888888887,27.385,28.046,129.7,1.6,25.2,4.2,247.3
2022-07-20 00:00:00.000,264.09166666666664,19.353055555555557,27.437,28.064,127.3,1.7,25.2,4.1,242.6
2022-07-25 00:00:00.000,263.96791666666667,19.28611111111111,27.494,28.083,124.6,1.7,25.2,3.99,237.6
2022-07-30 00:00:00.000,263.8541666666666,19.210833333333333,27.554,28.102,121.8,1.8,25.2,3.87,232.3
2022-08-04 00:00:00.000,263.75208333333325,19.128055555555555,27.619,28.121,118.8,1.8,25.2,3.76,226.6
2022-08-09 00:00:00.000,263.66166666666663,19.038611111111113,27.687,28.14,115.6,1.9,25.2,3.66,220.5
2022-08-14 00:00:00.000,263.5845833333333,18.943055555555556,27.758,28.159,112.4,1.9,25.2,3.57,214.2
2022-08-19 00:00:00.000,263.5204166666667,18.842222222222222,27.832,28.178,109.0,1.9,25.2,3.5,207.5
2022-08-24 00:00:00.000,263.4708333333333,18.73638888888889,27.909,28.197,105.6,2.0,25.2,3.45,200.4
2022-08-29 00:00:00.000,263.43583333333333,18.626944444444444,27.987,28.215,102.1,2.0,25.2,3.42,193.2
2022-09-03 00:00:00.000,263.41624999999993,18.514444444444443,28.067,28.234,98.5,2.0,25.2,3.43,185.8
2022-09-08 00:00:00.000,263.4116666666667,18.399722222222223,28.149,28.253,94.9,2.0,25.3,3.46,178.6
2022-09-13 00:00:00.000,263.42208333333326,18.28388888888889,28.231,28.272,91.3,2.0,25.3,3.53,171.5
