Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-08-19 00:00:00.000,52.49833333333333,41.27861111111111,23.02,22.964,85.5,2.5,23.4,3.29,355.3
2022-08-24 00:00:00.000,52.47458333333333,41.38611111111111,22.964,22.986,90.0,2.5,23.4,3.26,345.8
2022-08-29 00:00:00.000,52.42708333333333,41.48916666666667,22.907,23.008,94.5,2.5,23.4,3.3,336.3
2022-09-03 00:00:00.000,52.356249999999996,41.58722222222222,22.851,23.03,99.0,2.5,23.4,3.42,327.1
2022-09-08 00:00:00.000,52.26166666666666,41.680277777777775,22.796,23.052,103.5,2.4,23.4,3.59,318.7
2022-09-13 00:00:00.000,52.14458333333333,41.76694444444444,22.743,23.075,108.0,2.4,23.4,3.82,311.1
2022-09-18 00:00:00.000,52.00458333333333,41.847500000000004,22.693,23.097,112.5,2.3,23.4,4.08,304.4
2022-09-23 00:00:00.000,51.84291666666667,41.92055555555555,22.645,23.119,117.1,2.2,23.4,4.37,298.5
2022-09-28 00:00:00.000,51.66041666666666,41.986111111111114,22.601,23.141,121.5,2.1,23.4,4.67,293.3
2022-10-03 00:00:00.000,51.45833333333332,42.04361111111111,22.561,23.163,126.0,2.0,23.4,4.97,288.7
2022-10-08 00:00:00.000,51.23833333333333,42.09277777777778,22.525,23.185,130.4,1.9,23.4,5.26,284.7
2022-10-13 00:00:00.000,51.00166666666666,42.132777777777775,22.494,23.207,134.7,1.8,23.4,5.54,281.1
2023-01-01 00:00:00.000,46.80291666666666,41.64555555555555,22.896,23.56,131.6,1.8,23.5,4.61,241.3
2023-01-06 00:00:00.000,46.63333333333333,41.57166666666667,22.976,23.582,127.1,1.9,23.5,4.21,238.0
2023-01-11 00:00:00.000,46.48541666666666,41.49722222222222,23.061,23.604,122.5,2.0,23.5,3.79,234.2
2023-01-16 00:00:00.000,46.36,41.42388888888889,23.15,23.626,117.9,2.1,23.6,3.36,229.5
2023-01-21 00:00:00.000,46.25833333333333,41.352222222222224,23.243,23.648,113.2,2.2,23.6,2.93,223.8
2023-01-26 00:00:00.000,46.18,41.283055555555556,23.339,23.67,108.5,2.3,23.6,2.51,216.3
2023-01-31 00:00:00.000,46.12625,41.217222222222226,23.438,23.692,103.8,2.3,23.6,2.13,206.3
2023-02-05 00:00:00.000,46.09625,41.155833333333334,23.538,23.714,99.1,2.4,23.6,1.83,192.9
2023-02-10 00:00:00.000,46.089999999999996,41.098888888888894,23.639,23.736,94.4,2.4,23.6,1.63,175.7
2023-02-15 00:00:00.000,46.107083333333335,41.0475,23.741,23.758,89.8,2.4,23.6,1.6,156.1
2023-02-20 00:00:00.000,46.14708333333333,41.00194444444445,23.843,23.78,85.1,2.4,23.6,1.72,137.7
2023-08-19 00:00:00.000,52.15749999999999,43.33583333333333,24.631,24.565,85.1,2.4,23.9,3.22,355.4
2023-08-24 00:00:00.000,52.13458333333333,43.44083333333333,24.575,24.586,89.5,2.4,23.9,3.19,346.4
2023-08-29 00:00:00.000,52.08875,43.54194444444444,24.519,24.608,93.9,2.3,23.9,3.22,337.3
2023-09-03 00:00:00.000,52.02041666666666,43.63861111111111,24.463,24.629,98.3,2.3,23.9,3.31,328.5
2023-09-08 00:00:00.000,51.92916666666667,43.730000000000004,24.409,24.651,102.8,2.3,23.9,3.46,320.2
2023-09-13 00:00:00.000,51.81625,43.815555555555555,24.356,24.673,107.2,2.2,23.9,3.66,312.7
2023-09-18 00:00:00.000,51.68125,43.894999999999996,24.306,24.694,111.6,2.2,23.9,3.89,305.9
2023-09-23 00:00:00.000,51.52499999999999,43.967222222222226,24.259,24.716,116.1,2.1,23.9,4.14,299.9
2023-09-28 00:00:00.000,51.349166666666655,44.032222222222224,24.214,24.738,120.5,2.0,23.9,4.4,294.6
2023-10-03 00:00:00.000,51.15458333333333,44.08916666666667,24.174,24.759,124.8,1.9,23.9,4.67,289.9
2023-10-08 00:00:00.000,50.942499999999995,44.13805555555555,24.138,24.781,129.1,1.8,23.9,4.93,285.7
2023-10-13 00:00:00.000,50.71458333333333,44.17805555555555,24.107,24.802,133.3,1.7,23.9,5.18,281.9
2024-01-01 00:00:00.000,46.66291666666666,43.68861111111111,24.485,25.147,131.5,1.7,23.9,4.41,239.1
2024-01-06 00:00:00.000,46.498333333333335,43.612500000000004,24.563,25.168,127.1,1.8,24.0,4.06,235.6
2024-01-11 00:00:00.000,46.35458333333333,43.53611111111111,24.645,25.19,122.7,1.9,24.0,3.69,231.5
2024-01-16 00:00:00.000,46.233333333333334,43.46,24.733,25.211,118.1,2.0,24.0,3.31,226.6
2024-01-21 00:00:00.000,46.134166666666665,43.385,24.823,25.233,113.6,2.0,24.0,2.92,220.7
2024-01-26 00:00:00.000,46.05833333333333,43.3125,24.917,25.254,109.0,2.1,24.0,2.56,213.4
2024-01-31 00:00:00.000,46.00541666666667,43.24277777777778,25.013,25.276,104.4,2.2,24.0,2.23,203.9
2024-02-05 00:00:00.000,45.97541666666665,43.17666666666666,25.112,25.297,99.7,2.2,24.0,1.96,191.8
2024-02-10 00:00:00.000,45.96874999999999,43.11527777777778,25.211,25.319,95.1,2.2,24.0,1.78,176.7
2024-02-15 00:00:00.000,45.984583333333326,43.058611111111105,25.312,25.34,90.5,2.2,24.1,1.72,159.7
2024-02-20 00:00:00.000,46.02291666666666,43.007777777777775,25.412,25.361,86.0,2.2,24.1,1.8,143.2
