Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-09-28 00:00:00.000,97.90583333333332,-0.653888888888889,17.292,17.255,86.3,3.3,27.6,3.67,201.6
2022-10-03 00:00:00.000,97.84833333333333,-0.7675000000000001,17.235,17.278,90.8,3.3,27.6,3.99,211.6
2022-10-08 00:00:00.000,97.76583333333332,-0.8802777777777778,17.178,17.3,95.4,3.3,27.6,4.4,220.2
2022-10-13 00:00:00.000,97.65874999999998,-0.9913888888888889,17.122,17.322,100.0,3.3,27.6,4.87,227.5
2022-10-18 00:00:00.000,97.52624999999999,-1.099722222222222,17.067,17.345,104.6,3.2,27.6,5.39,233.6
2022-10-23 00:00:00.000,97.36958333333332,-1.2044444444444444,17.014,17.367,109.2,3.1,27.6,5.94,238.7
2022-10-28 00:00:00.000,97.18791666666665,-1.305,16.964,17.389,113.8,3.0,27.6,6.5,243.1
2022-11-02 00:00:00.000,96.98291666666665,-1.4,16.918,17.411,118.4,2.9,27.6,7.05,246.9
2022-11-07 00:00:00.000,96.75583333333333,-1.488888888888889,16.875,17.434,123.0,2.7,27.6,7.59,250.3
2022-11-12 00:00:00.000,96.50708333333333,-1.5705555555555555,16.836,17.456,127.5,2.6,27.6,8.1,253.2
2022-11-17 00:00:00.000,96.23916666666666,-1.6444444444444444,16.802,17.478,131.9,2.4,27.6,8.58,255.9
2023-01-31 00:00:00.000,91.37916666666665,-1.5286111111111111,17.102,17.81,134.8,2.2,27.7,8.57,286.8
2023-02-05 00:00:00.000,91.11499999999998,-1.4427777777777777,17.177,17.832,130.4,2.4,27.7,8.09,289.4
2023-02-10 00:00:00.000,90.87083333333332,-1.35,17.256,17.854,126.0,2.6,27.7,7.57,292.3
2023-02-15 00:00:00.000,90.64791666666666,-1.2516666666666667,17.341,17.876,121.4,2.7,27.7,7.03,295.5
2023-02-20 00:00:00.000,90.44791666666666,-1.1480555555555556,17.43,17.898,116.8,2.8,27.7,6.48,299.3
2023-02-25 00:00:00.000,90.27166666666665,-1.0405555555555557,17.523,17.92,112.2,2.9,27.8,5.92,303.6
2023-03-02 00:00:00.000,90.11958333333332,-0.9302777777777778,17.618,17.942,107.5,3.0,27.8,5.36,308.6
2023-03-07 00:00:00.000,89.99208333333331,-0.8177777777777777,17.716,17.964,102.9,3.1,27.8,4.84,314.5
2023-03-12 00:00:00.000,89.88958333333332,-0.7041666666666666,17.816,17.986,98.3,3.1,27.8,4.36,321.6
2023-03-17 00:00:00.000,89.81166666666667,-0.5902777777777778,17.917,18.007,93.6,3.2,27.8,3.94,330.1
2023-03-22 00:00:00.000,89.75833333333333,-0.4766666666666667,18.019,18.029,89.0,3.2,27.8,3.6,340.0
2023-09-23 00:00:00.000,94.36333333333332,-0.42444444444444446,18.892,18.832,85.1,3.0,28.1,3.23,195.3
2023-09-28 00:00:00.000,94.32374999999999,-0.5283333333333334,18.834,18.854,89.6,3.0,28.1,3.47,206.0
2023-10-03 00:00:00.000,94.26166666666666,-0.6322222222222222,18.776,18.875,94.1,3.0,28.1,3.81,215.3
2023-10-08 00:00:00.000,94.17708333333331,-0.7352777777777777,18.719,18.897,98.7,3.0,28.1,4.22,223.2
2023-10-13 00:00:00.000,94.06916666666666,-0.8369444444444445,18.664,18.918,103.3,2.9,28.1,4.68,229.9
2023-10-18 00:00:00.000,93.93875,-0.9361111111111111,18.61,18.94,107.9,2.9,28.1,5.16,235.5
2023-10-23 00:00:00.000,93.78583333333331,-1.0316666666666665,18.558,18.961,112.5,2.8,28.1,5.66,240.2
2023-10-28 00:00:00.000,93.61125,-1.1233333333333333,18.51,18.982,117.1,2.7,28.1,6.16,244.2
2023-11-02 00:00:00.000,93.41583333333332,-1.21,18.465,19.004,121.6,2.5,28.1,6.65,247.7
2023-11-07 00:00:00.000,93.20083333333332,-1.291111111111111,18.424,19.025,126.1,2.4,28.1,7.13,250.9
2023-11-12 00:00:00.000,92.96708333333333,-1.3658333333333335,18.388,19.047,130.6,2.3,28.1,7.58,253.7
2023-11-17 00:00:00.000,92.71624999999999,-1.4330555555555555,18.357,19.068,134.9,2.1,28.1,8.0,256.2
2024-01-31 00:00:00.000,88.33041666666665,-1.3327777777777778,18.71,19.387,132.4,2.2,28.2,7.51,287.3
2024-02-05 00:00:00.000,88.1,-1.255,18.787,19.408,127.9,2.3,28.2,7.06,290.1
2024-02-10 00:00:00.000,87.88874999999999,-1.171388888888889,18.869,19.43,123.4,2.4,28.3,6.58,293.3
2024-02-15 00:00:00.000,87.69749999999999,-1.0819444444444444,18.955,19.451,118.8,2.5,28.3,6.08,296.9
2024-02-20 00:00:00.000,87.52749999999997,-0.9883333333333333,19.045,19.472,114.2,2.7,28.3,5.57,301.0
2024-02-25 00:00:00.000,87.37916666666665,-0.8911111111111111,19.139,19.493,109.6,2.7,28.3,5.08,305.8
2024-03-01 00:00:00.000,87.25333333333332,-0.7908333333333333,19.235,19.514,104.9,2.8,28.3,4.6,311.4
2024-03-06 00:00:00.000,87.14958333333333,-0.6886111111111112,19.333,19.535,100.3,2.9,28.3,4.15,318.2
2024-03-11 00:00:00.000,87.06875,-0.5850000000000001,19.433,19.557,95.7,2.9,28.4,3.75,326.3
2024-03-16 00:00:00.000,87.01083333333332,-0.4811111111111111,19.534,19.578,91.1,2.9,28.4,3.42,335.8
2024-03-21 00:00:00.000,86.97541666666666,-0.37749999999999995,19.635,19.599,86.5,2.9,28.4,3.18,346.6
