Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-09-28 00:00:00.000,98.14166666666665,19.229999999999997,16.255,16.231,86.9,3.5,22.3,1.19,129.1
2022-10-03 00:00:00.000,98.16041666666666,19.205555555555556,16.198,16.259,91.7,3.5,22.3,0.73,168.3
2022-10-08 00:00:00.000,98.15208333333332,19.1825,16.142,16.288,96.7,3.5,22.3,0.92,223.5
2022-10-13 00:00:00.000,98.11583333333331,19.160833333333333,16.087,16.317,101.6,3.4,22.3,1.55,246.3
2022-10-18 00:00:00.000,98.05208333333331,19.141111111111112,16.033,16.346,106.6,3.3,22.3,2.27,255.5
2022-10-23 00:00:00.000,97.96083333333331,19.123055555555556,15.982,16.375,111.7,3.2,22.3,3.01,260.2
2022-10-28 00:00:00.000,97.84291666666665,19.106944444444444,15.933,16.404,116.7,3.1,22.3,3.75,263.1
2022-11-02 00:00:00.000,97.69833333333331,19.092777777777776,15.887,16.433,121.8,2.9,22.3,4.47,265.0
2022-11-07 00:00:00.000,97.52916666666665,19.080833333333334,15.846,16.461,127.0,2.8,22.3,5.15,266.3
2022-11-12 00:00:00.000,97.33624999999999,19.070833333333333,15.809,16.49,132.2,2.6,22.4,5.8,267.4
2023-02-10 00:00:00.000,92.50208333333332,19.19472222222222,16.333,17.004,131.6,2.5,22.5,5.29,275.8
2023-02-15 00:00:00.000,92.32791666666665,19.212777777777777,16.428,17.032,126.4,2.7,22.5,4.63,276.8
2023-02-20 00:00:00.000,92.17791666666666,19.231111111111108,16.527,17.061,121.2,2.8,22.5,3.93,278.2
2023-02-25 00:00:00.000,92.05375,19.25,16.631,17.089,116.1,3.0,22.5,3.2,280.2
2023-03-02 00:00:00.000,91.95541666666664,19.26888888888889,16.737,17.117,111.0,3.1,22.5,2.47,283.4
2023-03-07 00:00:00.000,91.88416666666664,19.28805555555556,16.847,17.145,105.9,3.2,22.5,1.74,289.1
2023-03-12 00:00:00.000,91.83916666666664,19.306944444444444,16.958,17.174,100.9,3.3,22.5,1.06,302.3
2023-03-17 00:00:00.000,91.82083333333331,19.325555555555557,17.071,17.202,95.9,3.3,22.5,0.57,345.8
2023-03-22 00:00:00.000,91.82916666666665,19.343888888888888,17.185,17.23,90.9,3.3,22.6,0.82,48.2
2023-03-27 00:00:00.000,91.86374999999998,19.361666666666668,17.298,17.258,86.0,3.3,22.6,1.44,68.6
2023-09-28 00:00:00.000,99.55583333333333,19.00638888888889,18.34,18.284,85.3,3.1,22.8,1.21,125.2
2023-10-03 00:00:00.000,99.57874999999999,18.983888888888888,18.282,18.312,90.1,3.1,22.8,0.72,155.1
2023-10-08 00:00:00.000,99.57708333333332,18.962777777777777,18.224,18.339,95.0,3.1,22.8,0.73,212.4
2023-10-13 00:00:00.000,99.55124999999998,18.943055555555556,18.167,18.366,100.0,3.1,22.8,1.23,242.6
2023-10-18 00:00:00.000,99.50041666666664,18.92527777777778,18.111,18.394,105.0,3.0,22.8,1.86,254.0
2023-10-23 00:00:00.000,99.42541666666666,18.909166666666664,18.057,18.421,110.0,2.9,22.8,2.51,259.6
2023-10-28 00:00:00.000,99.32666666666665,18.895,18.005,18.448,115.1,2.8,22.9,3.16,262.8
2023-11-02 00:00:00.000,99.20458333333332,18.88277777777778,17.957,18.476,120.2,2.7,22.9,3.8,265.0
2023-11-07 00:00:00.000,99.05999999999997,18.872777777777777,17.913,18.503,125.3,2.5,22.9,4.42,266.5
2023-11-12 00:00:00.000,98.89416666666665,18.864722222222223,17.873,18.53,130.4,2.3,22.9,5.01,267.6
2024-02-10 00:00:00.000,94.55999999999997,19.02,18.32,19.016,133.8,2.1,23.0,5.04,276.3
2024-02-15 00:00:00.000,94.39374999999998,19.038611111111113,18.412,19.043,128.6,2.3,23.0,4.46,277.3
2024-02-20 00:00:00.000,94.24833333333332,19.0575,18.508,19.07,123.4,2.5,23.0,3.85,278.5
2024-02-25 00:00:00.000,94.125,19.076666666666668,18.608,19.097,118.3,2.6,23.0,3.23,280.2
2024-03-01 00:00:00.000,94.02458333333331,19.095555555555553,18.712,19.124,113.2,2.7,23.0,2.58,282.7
2024-03-06 00:00:00.000,93.94708333333332,19.114444444444445,18.819,19.15,108.1,2.8,23.0,1.94,286.8
2024-03-11 00:00:00.000,93.89375,19.13277777777778,18.928,19.177,103.1,2.9,23.0,1.3,295.1
2024-03-16 00:00:00.000,93.86416666666666,19.15111111111111,19.039,19.204,98.1,2.9,23.1,0.73,317.1
2024-03-21 00:00:00.000,93.85874999999999,19.168333333333333,19.151,19.23,93.1,3.0,23.1,0.54,18.7
2024-03-26 00:00:00.000,93.87624999999998,19.185277777777777,19.263,19.257,88.2,3.0,23.1,0.96,59.4
