Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,267.81916666666666,70.74055555555556,16.656,16.649,87.8,3.5,26.3,9.08,329.1
2022-05-06 00:00:00.000,267.3145833333333,70.99055555555556,16.687,16.673,87.5,3.5,26.3,8.9,323.9
2022-05-11 00:00:00.000,266.74749999999995,71.21916666666667,16.717,16.697,87.1,3.5,26.3,8.71,318.6
2022-05-16 00:00:00.000,266.12333333333333,71.42555555555556,16.748,16.721,86.7,3.5,26.4,8.53,313.2
2022-05-21 00:00:00.000,265.44791666666663,71.60805555555555,16.779,16.744,86.3,3.5,26.4,8.36,307.7
2022-05-26 00:00:00.000,264.7279166666666,71.76555555555555,16.809,16.768,86.0,3.5,26.4,8.18,302.0
2022-05-31 00:00:00.000,263.97124999999994,71.89666666666668,16.84,16.792,85.6,3.5,26.4,8.02,296.1
2022-06-05 00:00:00.000,263.1870833333333,72.00055555555555,16.87,16.816,85.2,3.4,26.4,7.85,290.2
2022-10-03 00:00:00.000,255.3520833333333,68.58805555555556,17.442,17.388,85.2,3.3,26.6,7.68,144.7
2022-10-08 00:00:00.000,255.78333333333333,68.38388888888889,17.46,17.411,85.6,3.3,26.6,7.82,139.9
2022-10-13 00:00:00.000,256.26333333333326,68.19,17.477,17.435,85.9,3.3,26.6,7.96,135.2
2022-10-18 00:00:00.000,256.7895833333333,68.00805555555556,17.494,17.459,86.3,3.3,26.6,8.11,130.6
2022-10-23 00:00:00.000,257.35874999999993,67.8386111111111,17.511,17.482,86.7,3.3,26.6,8.26,126.1
2022-10-28 00:00:00.000,257.9675,67.68361111111112,17.528,17.506,87.1,3.3,26.7,8.41,121.8
2022-11-02 00:00:00.000,258.6125,67.54416666666667,17.545,17.53,87.5,3.2,26.7,8.55,117.5
2022-11-07 00:00:00.000,259.28999999999996,67.42083333333333,17.561,17.553,87.9,3.2,26.7,8.69,113.4
2022-11-12 00:00:00.000,259.99666666666667,67.31472222222222,17.579,17.577,88.3,3.2,26.7,8.83,109.3
2022-11-17 00:00:00.000,260.7295833333333,67.22638888888889,17.596,17.601,88.7,3.2,26.7,8.97,105.4
2022-11-22 00:00:00.000,261.485,67.1563888888889,17.613,17.624,89.0,3.2,26.7,9.1,101.5
2022-11-27 00:00:00.000,262.26,67.1061111111111,17.631,17.648,89.4,3.2,26.7,9.23,97.6
2022-12-02 00:00:00.000,263.05083333333334,67.07527777777777,17.65,17.672,89.7,3.2,26.7,9.34,93.8
2022-12-07 00:00:00.000,263.85374999999993,67.06444444444445,17.668,17.695,90.0,3.2,26.7,9.45,90.1
2022-12-12 00:00:00.000,264.6658333333333,67.07388888888889,17.688,17.719,90.2,3.2,26.7,9.55,86.5
2022-12-17 00:00:00.000,265.4833333333333,67.10333333333332,17.708,17.742,90.4,3.2,26.7,9.64,82.9
2022-12-22 00:00:00.000,266.3033333333333,67.15361111111112,17.728,17.766,90.6,3.2,26.7,9.72,79.3
2022-12-27 00:00:00.000,267.1220833333333,67.2238888888889,17.749,17.79,90.8,3.2,26.7,9.79,75.7
2023-01-01 00:00:00.000,267.93583333333333,67.31472222222222,17.771,17.813,90.9,3.2,26.8,9.84,72.1
2023-01-06 00:00:00.000,268.7408333333333,67.42500000000001,17.793,17.837,91.0,3.2,26.8,9.89,68.6
2023-01-11 00:00:00.000,269.53416666666664,67.55472222222222,17.816,17.86,91.0,3.2,26.8,9.93,65.1
2023-01-16 00:00:00.000,270.3120833333333,67.70333333333333,17.84,17.884,91.0,3.2,26.8,9.95,61.6
2023-01-21 00:00:00.000,271.07124999999996,67.86999999999999,17.864,17.907,90.9,3.1,26.8,9.97,58.1
2023-01-26 00:00:00.000,271.80749999999995,68.05444444444444,17.89,17.931,90.8,3.1,26.8,9.96,54.5
2023-01-31 00:00:00.000,272.5170833333333,68.25527777777778,17.915,17.954,90.7,3.1,26.8,9.95,51.0
2023-02-05 00:00:00.000,273.19666666666666,68.47166666666666,17.942,17.978,90.5,3.1,26.8,9.92,47.4
2023-02-10 00:00:00.000,273.8425,68.70277777777778,17.969,18.001,90.3,3.1,26.8,9.89,43.8
2023-02-15 00:00:00.000,274.45125,68.94694444444445,17.997,18.025,90.1,3.1,26.8,9.84,40.2
2023-02-20 00:00:00.000,275.0191666666666,69.20361111111112,18.025,18.048,89.8,3.1,26.8,9.79,36.5
2023-02-25 00:00:00.000,275.54208333333327,69.4713888888889,18.054,18.072,89.5,3.1,26.9,9.72,32.7
2023-03-02 00:00:00.000,276.01583333333326,69.74833333333333,18.084,18.095,89.1,3.1,26.9,9.63,28.9
2023-03-07 00:00:00.000,276.43791666666664,70.03305555555555,18.113,18.119,88.7,3.1,26.9,9.55,25.1
2023-03-12 00:00:00.000,276.8045833333333,70.32416666666666,18.144,18.142,88.4,3.1,26.9,9.45,21.2
2023-03-17 00:00:00.000,277.11208333333326,70.61999999999999,18.174,18.166,88.0,3.1,26.9,9.35,17.2
2023-03-22 00:00:00.000,277.3570833333333,70.91916666666667,18.205,18.189,87.5,3.1,26.9,9.24,13.0
2023-03-27 00:00:00.000,277.53624999999994,71.21944444444445,18.236,18.213,87.1,3.1,26.9,9.12,8.9
2023-04-01 00:00:00.000,277.6470833333333,71.51916666666666,18.267,18.236,86.7,3.1,26.9,8.99,4.6
2023-04-06 00:00:00.000,277.6870833333333,71.81638888888888,18.298,18.26,86.2,3.1,26.9,8.86,0.2
2023-04-11 00:00:00.000,277.65416666666664,72.10916666666667,18.329,18.283,85.8,3.1,26.9,8.73,355.8
2023-04-16 00:00:00.000,277.5466666666666,72.39583333333334,18.36,18.306,85.4,3.1,26.9,8.59,351.2
2023-09-03 00:00:00.000,261.67791666666665,73.01,19.012,18.959,85.5,3.0,27.2,6.46,185.0
2023-09-08 00:00:00.000,261.6504166666667,72.79388888888889,19.026,18.982,85.9,3.0,27.2,6.53,179.3
2023-09-13 00:00:00.000,261.6958333333333,72.575,19.041,19.005,86.5,3.0,27.2,6.62,173.7
2023-09-18 00:00:00.000,261.81249999999994,72.35583333333332,19.055,19.028,87.0,3.0,27.2,6.72,168.2
2023-09-23 00:00:00.000,261.99791666666664,72.1375,19.069,19.051,87.5,3.0,27.2,6.82,162.8
2023-09-28 00:00:00.000,262.2491666666666,71.92194444444445,19.083,19.074,88.0,3.0,27.2,6.92,157.6
2023-10-03 00:00:00.000,262.56291666666664,71.71111111111111,19.097,19.098,88.5,3.0,27.2,7.04,152.6
2023-10-08 00:00:00.000,262.93625,71.50583333333333,19.111,19.121,89.1,3.0,27.2,7.16,147.7
2023-10-13 00:00:00.000,263.36625,71.30777777777777,19.125,19.144,89.6,3.0,27.2,7.29,142.9
2023-10-18 00:00:00.000,263.84916666666663,71.11861111111111,19.14,19.167,90.1,3.0,27.2,7.42,138.3
2023-10-23 00:00:00.000,264.3816666666666,70.93916666666667,19.155,19.19,90.6,3.0,27.2,7.54,133.7
2023-10-28 00:00:00.000,264.9599999999999,70.7713888888889,19.17,19.213,91.0,3.0,27.2,7.67,129.4
2023-11-02 00:00:00.000,265.5804166666666,70.61555555555555,19.186,19.236,91.4,3.0,27.3,7.79,125.1
2023-11-07 00:00:00.000,266.2395833333333,70.47277777777778,19.202,19.259,91.8,2.9,27.3,7.92,120.9
2023-11-12 00:00:00.000,266.93458333333336,70.34444444444443,19.219,19.282,92.2,2.9,27.3,8.04,116.8
2023-11-17 00:00:00.000,267.66083333333324,70.23138888888889,19.237,19.305,92.5,2.9,27.3,8.16,112.8
2023-11-22 00:00:00.000,268.4154166666666,70.13388888888889,19.255,19.329,92.8,2.9,27.3,8.27,108.9
2023-11-27 00:00:00.000,269.1941666666666,70.05305555555556,19.274,19.352,93.0,2.9,27.3,8.37,105.0
2023-12-02 00:00:00.000,269.99375,69.98944444444444,19.295,19.375,93.2,2.9,27.3,8.47,101.3
2023-12-07 00:00:00.000,270.81125,69.94305555555556,19.316,19.398,93.3,2.9,27.3,8.56,97.6
2023-12-12 00:00:00.000,271.6425,69.91444444444446,19.337,19.421,93.4,2.9,27.3,8.65,93.9
2023-12-17 00:00:00.000,272.4845833333333,69.90416666666667,19.36,19.444,93.4,2.9,27.3,8.72,90.2
2023-12-22 00:00:00.000,273.3329166666666,69.91222222222223,19.384,19.467,93.4,2.9,27.3,8.78,86.6
2023-12-27 00:00:00.000,274.1845833333333,69.93861111111111,19.408,19.49,93.3,2.9,27.3,8.83,83.1
2024-01-01 00:00:00.000,275.03583333333324,69.98333333333333,19.434,19.513,93.1,2.9,27.3,8.88,79.5
2024-01-06 00:00:00.000,275.88374999999996,70.04638888888888,19.461,19.536,92.9,2.9,27.4,8.92,76.0
2024-01-11 00:00:00.000,276.7245833333333,70.12722222222222,19.488,19.559,92.7,2.9,27.4,8.94,72.5
2024-01-16 00:00:00.000,277.5545833333333,70.22583333333334,19.516,19.582,92.4,2.9,27.4,8.96,68.9
2024-01-21 00:00:00.000,278.3695833333333,70.34194444444444,19.545,19.605,92.0,2.9,27.4,8.96,65.4
2024-01-26 00:00:00.000,279.1670833333333,70.47444444444444,19.575,19.628,91.6,2.9,27.4,8.95,61.9
2024-01-31 00:00:00.000,279.94249999999994,70.62305555555555,19.606,19.651,91.2,2.9,27.4,8.93,58.3
2024-02-05 00:00:00.000,280.69333333333327,70.78694444444444,19.637,19.674,90.7,2.9,27.4,8.91,54.8
2024-02-10 00:00:00.000,281.4158333333333,70.96555555555555,19.669,19.697,90.2,2.9,27.4,8.88,51.1
2024-02-15 00:00:00.000,282.105,71.15805555555556,19.701,19.719,89.6,2.9,27.4,8.83,47.5
2024-02-20 00:00:00.000,282.75833333333327,71.36333333333333,19.734,19.742,89.0,2.9,27.4,8.78,43.8
2024-02-25 00:00:00.000,283.37166666666667,71.58027777777778,19.767,19.765,88.5,2.9,27.4,8.72,40.1
2024-03-01 00:00:00.000,283.94166666666666,71.80749999999999,19.801,19.788,87.8,2.9,27.4,8.65,36.3
