Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-10-08 00:00:00.000,107.99249999999999,2.9736111111111114,12.959,12.92,85.6,4.4,23.2,5.75,197.9
2022-10-13 00:00:00.000,107.91708333333332,2.792222222222222,12.905,12.949,90.3,4.4,23.2,6.07,207.0
2022-10-18 00:00:00.000,107.80833333333332,2.613611111111111,12.852,12.977,95.0,4.4,23.2,6.51,215.3
2022-10-23 00:00:00.000,107.66583333333332,2.4386111111111113,12.799,13.006,99.8,4.3,23.2,7.05,222.7
2022-10-28 00:00:00.000,107.48958333333333,2.268611111111111,12.748,13.034,104.6,4.2,23.2,7.66,229.1
2022-11-02 00:00:00.000,107.27999999999999,2.1044444444444443,12.699,13.063,109.5,4.1,23.2,8.32,234.5
2022-11-07 00:00:00.000,107.03791666666666,1.9472222222222222,12.652,13.091,114.3,4.0,23.2,9.0,239.2
2022-11-12 00:00:00.000,106.7645833333333,1.7977777777777777,12.609,13.12,119.1,3.8,23.2,9.69,243.3
2022-11-17 00:00:00.000,106.46083333333331,1.6572222222222222,12.571,13.148,123.9,3.6,23.2,10.37,246.8
2022-11-22 00:00:00.000,106.12916666666665,1.5263888888888888,12.536,13.177,128.7,3.4,23.2,11.03,250.0
2022-11-27 00:00:00.000,105.77083333333331,1.406111111111111,12.507,13.205,133.4,3.1,23.2,11.64,252.8
2023-02-10 00:00:00.000,99.45249999999999,1.0933333333333333,12.915,13.629,134.9,2.9,23.4,10.3,280.4
2023-02-15 00:00:00.000,99.12833333333332,1.1588888888888889,12.998,13.657,130.2,3.2,23.4,9.53,282.5
2023-02-20 00:00:00.000,98.83291666666665,1.2305555555555556,13.087,13.685,125.5,3.4,23.4,8.71,284.8
2023-02-25 00:00:00.000,98.56749999999998,1.3072222222222223,13.181,13.713,120.8,3.6,23.5,7.85,287.5
2023-03-02 00:00:00.000,98.33333333333331,1.3877777777777778,13.278,13.741,116.0,3.7,23.5,6.98,290.6
2023-03-07 00:00:00.000,98.13166666666665,1.4705555555555556,13.379,13.769,111.2,3.9,23.5,6.11,294.4
2023-03-12 00:00:00.000,97.96249999999999,1.5552777777777778,13.483,13.798,106.5,4.0,23.5,5.24,299.1
2023-03-17 00:00:00.000,97.82624999999999,1.6402777777777777,13.589,13.826,101.7,4.0,23.6,4.41,305.3
2023-03-22 00:00:00.000,97.7225,1.7247222222222223,13.697,13.854,97.0,4.1,23.6,3.63,313.8
2023-03-27 00:00:00.000,97.65124999999999,1.8075,13.806,13.881,92.3,4.1,23.6,2.96,326.0
2023-04-01 00:00:00.000,97.61208333333332,1.8877777777777778,13.915,13.909,87.7,4.1,23.7,2.47,343.1
2023-10-08 00:00:00.000,103.78291666666665,-0.5111111111111111,14.94,14.959,89.2,3.8,24.1,5.47,200.3
2023-10-13 00:00:00.000,103.70541666666665,-0.6813888888888888,14.888,14.986,93.8,3.8,24.1,5.78,208.6
2023-10-18 00:00:00.000,103.59833333333333,-0.8488888888888889,14.836,15.014,98.4,3.8,24.1,6.17,216.2
2023-10-23 00:00:00.000,103.46291666666664,-1.0130555555555556,14.785,15.041,103.0,3.7,24.1,6.62,222.9
2023-10-28 00:00:00.000,103.29833333333332,-1.1722222222222223,14.737,15.068,107.7,3.6,24.1,7.12,228.7
2023-11-02 00:00:00.000,103.10624999999999,-1.3258333333333334,14.69,15.095,112.3,3.5,24.1,7.65,233.8
2023-11-07 00:00:00.000,102.88666666666666,-1.4730555555555558,14.647,15.123,117.0,3.3,24.1,8.2,238.4
2023-11-12 00:00:00.000,102.64083333333332,-1.6125,14.608,15.15,121.6,3.2,24.1,8.75,242.4
2023-11-17 00:00:00.000,102.37041666666664,-1.7430555555555556,14.573,15.177,126.1,3.0,24.1,9.28,245.9
2023-11-22 00:00:00.000,102.07666666666665,-1.8641666666666667,14.543,15.204,130.6,2.8,24.1,9.77,249.1
2024-02-10 00:00:00.000,96.41583333333332,-2.1569444444444446,14.97,15.636,131.1,2.7,24.3,8.56,284.4
2024-02-15 00:00:00.000,96.15124999999999,-2.082777777777778,15.054,15.663,126.7,2.9,24.3,7.91,287.1
2024-02-20 00:00:00.000,95.91166666666666,-2.002222222222222,15.142,15.69,122.1,3.1,24.4,7.24,290.2
2024-02-25 00:00:00.000,95.69833333333331,-1.9166666666666665,15.234,15.717,117.6,3.2,24.4,6.55,293.7
2024-03-01 00:00:00.000,95.51208333333332,-1.8269444444444445,15.331,15.744,113.0,3.3,24.4,5.85,297.9
2024-03-06 00:00:00.000,95.35374999999998,-1.7341666666666666,15.43,15.77,108.3,3.4,24.4,5.17,303.0
2024-03-11 00:00:00.000,95.22333333333331,-1.6397222222222223,15.532,15.797,103.7,3.5,24.4,4.5,309.3
2024-03-16 00:00:00.000,95.12124999999999,-1.5444444444444443,15.636,15.824,99.1,3.6,24.5,3.88,317.4
2024-03-21 00:00:00.000,95.04791666666665,-1.4494444444444445,15.74,15.851,94.6,3.6,24.5,3.35,327.7
2024-03-26 00:00:00.000,95.00208333333332,-1.3561111111111113,15.846,15.878,90.0,3.6,24.5,2.94,340.8
2024-03-31 00:00:00.000,94.98333333333332,-1.2647222222222223,15.951,15.904,85.5,3.6,24.5,2.7,356.6
