Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-26 00:00:00.000,189.35249999999996,-19.79638888888889,13.0,13.679,130.4,3.2,24.9,9.55,306.1
2022-05-31 00:00:00.000,189.09416666666664,-19.612222222222222,13.093,13.708,125.6,3.4,25.0,8.74,308.2
2022-06-05 00:00:00.000,188.86666666666665,-19.436666666666667,13.191,13.738,120.8,3.6,25.0,7.9,310.6
2022-06-10 00:00:00.000,188.67041666666663,-19.27027777777778,13.293,13.767,116.0,3.8,25.0,7.04,313.4
2022-06-15 00:00:00.000,188.50541666666663,-19.114444444444445,13.398,13.797,111.2,3.9,25.0,6.19,316.8
2022-06-20 00:00:00.000,188.37125,-18.96944444444444,13.505,13.826,106.4,4.0,25.1,5.35,321.1
2022-06-25 00:00:00.000,188.26833333333332,-18.836666666666666,13.615,13.855,101.6,4.1,25.1,4.54,326.8
2022-06-30 00:00:00.000,188.19624999999996,-18.71638888888889,13.726,13.885,96.9,4.2,25.1,3.78,334.6
2022-07-05 00:00:00.000,188.15416666666664,-18.609444444444446,13.838,13.914,92.2,4.2,25.1,3.11,345.6
2022-07-10 00:00:00.000,188.14124999999999,-18.515555555555554,13.951,13.943,87.5,4.2,25.2,2.61,0.8
2023-01-11 00:00:00.000,193.82624999999996,-21.012777777777778,14.994,15.012,89.2,3.8,25.6,2.97,235.6
2023-01-16 00:00:00.000,193.72416666666663,-21.06277777777778,14.936,15.041,94.2,3.7,25.6,3.53,247.9
2023-01-21 00:00:00.000,193.5925,-21.101111111111113,14.88,15.069,99.3,3.7,25.6,4.21,256.8
2023-01-26 00:00:00.000,193.43166666666662,-21.126944444444444,14.824,15.098,104.3,3.6,25.6,4.94,263.3
2023-01-31 00:00:00.000,193.2420833333333,-21.139444444444443,14.771,15.126,109.4,3.5,25.6,5.7,268.2
2023-02-05 00:00:00.000,193.02499999999998,-21.13861111111111,14.72,15.155,114.4,3.4,25.6,6.45,272.1
2023-02-10 00:00:00.000,192.78166666666664,-21.12361111111111,14.673,15.183,119.5,3.2,25.6,7.2,275.2
2023-02-15 00:00:00.000,192.51333333333332,-21.09472222222222,14.629,15.211,124.6,3.1,25.6,7.92,277.9
2023-02-20 00:00:00.000,192.22166666666664,-21.05138888888889,14.59,15.24,129.6,2.9,25.7,8.61,280.1
2023-02-25 00:00:00.000,191.90874999999997,-20.99361111111111,14.557,15.268,134.6,2.6,25.7,9.24,282.1
2023-05-21 00:00:00.000,186.06458333333333,-18.552777777777777,15.053,15.747,131.9,2.7,25.9,8.27,306.3
2023-05-26 00:00:00.000,185.84249999999997,-18.3925,15.142,15.774,127.1,2.9,25.9,7.6,308.3
2023-05-31 00:00:00.000,185.64583333333331,-18.23888888888889,15.237,15.802,122.3,3.1,25.9,6.91,310.7
2023-06-05 00:00:00.000,185.475,-18.092777777777776,15.335,15.83,117.6,3.3,25.9,6.2,313.4
2023-06-10 00:00:00.000,185.32999999999996,-17.955,15.438,15.858,112.8,3.4,25.9,5.48,316.8
2023-06-15 00:00:00.000,185.2120833333333,-17.82638888888889,15.542,15.886,108.0,3.5,26.0,4.77,321.0
2023-06-20 00:00:00.000,185.11999999999998,-17.708055555555553,15.65,15.914,103.3,3.6,26.0,4.07,326.6
2023-06-25 00:00:00.000,185.05499999999998,-17.6,15.759,15.942,98.6,3.6,26.0,3.42,334.0
2023-06-30 00:00:00.000,185.01541666666665,-17.503055555555555,15.869,15.97,93.9,3.6,26.0,2.84,344.3
2023-07-05 00:00:00.000,185.0008333333333,-17.41777777777778,15.979,15.998,89.2,3.6,26.1,2.39,358.6
2024-01-06 00:00:00.000,190.18166666666662,-19.640277777777776,17.025,17.014,87.7,3.3,26.5,2.41,227.7
2024-01-11 00:00:00.000,190.1058333333333,-19.689166666666665,16.966,17.041,92.7,3.3,26.5,2.83,242.3
2024-01-16 00:00:00.000,190.00416666666663,-19.7275,16.908,17.068,97.7,3.3,26.5,3.38,253.0
2024-01-21 00:00:00.000,189.8770833333333,-19.755,16.851,17.095,102.7,3.2,26.5,3.99,260.6
2024-01-26 00:00:00.000,189.72541666666663,-19.770833333333332,16.796,17.122,107.8,3.1,26.5,4.64,266.3
2024-01-31 00:00:00.000,189.54958333333332,-19.775,16.744,17.149,112.8,3.0,26.5,5.3,270.7
2024-02-05 00:00:00.000,189.35083333333333,-19.766666666666666,16.694,17.176,117.8,2.9,26.5,5.95,274.2
2024-02-10 00:00:00.000,189.1295833333333,-19.746111111111112,16.648,17.204,122.9,2.8,26.5,6.59,277.1
2024-02-15 00:00:00.000,188.88791666666665,-19.712777777777777,16.606,17.231,127.9,2.6,26.5,7.2,279.5
2024-02-20 00:00:00.000,188.6270833333333,-19.666666666666668,16.57,17.258,132.9,2.4,26.5,7.77,281.6
2024-05-15 00:00:00.000,183.57749999999996,-17.560833333333335,16.995,17.714,134.2,2.3,26.6,7.46,305.8
