Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-06-20 00:00:00.000,338.77,47.00888888888889,12.204,12.163,85.3,4.8,23.8,8.03,309.5
2022-06-25 00:00:00.000,338.4441666666666,47.17055555555555,12.172,12.186,88.4,4.8,23.8,8.45,302.8
2022-06-30 00:00:00.000,338.0733333333333,47.31333333333333,12.139,12.209,91.6,4.8,23.8,8.93,296.4
2022-07-05 00:00:00.000,337.65916666666664,47.43472222222222,12.107,12.232,94.7,4.8,23.8,9.43,290.5
2022-07-10 00:00:00.000,337.20333333333326,47.5325,12.076,12.256,97.8,4.7,23.8,9.96,284.9
2022-07-15 00:00:00.000,336.70916666666665,47.60472222222222,12.046,12.279,100.9,4.7,23.8,10.51,279.7
2022-07-20 00:00:00.000,336.17999999999995,47.64944444444444,12.018,12.302,103.9,4.6,23.8,11.07,274.7
2022-07-25 00:00:00.000,335.61875,47.664722222222224,11.992,12.325,106.8,4.5,23.8,11.63,270.0
2022-07-30 00:00:00.000,335.0299999999999,47.649166666666666,11.969,12.348,109.7,4.4,23.8,12.18,265.5
2022-08-04 00:00:00.000,334.41833333333335,47.60138888888889,11.949,12.372,112.4,4.3,23.8,12.71,261.3
2022-08-09 00:00:00.000,333.78958333333327,47.52027777777778,11.932,12.395,115.0,4.3,23.8,13.21,257.2
2022-08-14 00:00:00.000,333.14874999999995,47.40555555555555,11.919,12.418,117.4,4.2,23.8,13.68,253.2
2022-08-19 00:00:00.000,332.50124999999997,47.25666666666667,11.909,12.441,119.7,4.1,23.8,14.11,249.4
2022-08-24 00:00:00.000,331.8533333333333,47.07416666666667,11.904,12.465,121.6,4.0,23.8,14.5,245.6
2022-08-29 00:00:00.000,331.2099999999999,46.85805555555556,11.904,12.488,123.3,3.9,23.8,14.84,242.0
2022-09-03 00:00:00.000,330.5779166666667,46.609722222222224,11.909,12.511,124.7,3.8,23.9,15.12,238.4
2022-09-08 00:00:00.000,329.9625,46.33027777777778,11.918,12.534,125.8,3.7,23.9,15.33,234.8
2022-09-13 00:00:00.000,329.3691666666666,46.02166666666667,11.933,12.557,126.5,3.7,23.9,15.49,231.4
2022-09-18 00:00:00.000,328.8020833333333,45.68611111111111,11.953,12.581,126.8,3.7,23.9,15.59,227.9
2022-09-23 00:00:00.000,328.26624999999996,45.325833333333335,11.978,12.604,126.7,3.7,23.9,15.63,224.5
2022-09-28 00:00:00.000,327.7658333333333,44.94333333333333,12.008,12.627,126.3,3.7,23.9,15.6,221.0
2022-10-03 00:00:00.000,327.3041666666667,44.541666666666664,12.044,12.65,125.4,3.7,23.9,15.5,217.5
2022-10-08 00:00:00.000,326.88375,44.12444444444444,12.085,12.674,124.2,3.7,23.9,15.35,214.0
2022-10-13 00:00:00.000,326.50749999999994,43.69472222222222,12.132,12.697,122.6,3.8,24.0,15.14,210.5
2022-10-18 00:00:00.000,326.17625,43.255833333333335,12.183,12.72,120.7,3.9,24.0,14.89,206.9
2022-10-23 00:00:00.000,325.8916666666666,42.81055555555555,12.238,12.744,118.5,3.9,24.0,14.59,203.2
2022-10-28 00:00:00.000,325.6541666666666,42.363055555555555,12.298,12.767,116.1,4.0,24.0,14.25,199.4
2022-11-02 00:00:00.000,325.4645833333333,41.91583333333333,12.363,12.79,113.5,4.1,24.0,13.87,195.5
2022-11-07 00:00:00.000,325.32166666666666,41.473055555555554,12.431,12.813,110.6,4.2,24.0,13.47,191.5
2022-11-12 00:00:00.000,325.2245833333333,41.036944444444444,12.502,12.837,107.6,4.2,24.1,13.06,187.4
2022-11-17 00:00:00.000,325.17291666666665,40.61027777777778,12.576,12.86,104.5,4.3,24.1,12.64,183.1
2022-11-22 00:00:00.000,325.1645833333333,40.19611111111111,12.653,12.883,101.3,4.3,24.1,12.23,178.6
2022-11-27 00:00:00.000,325.1983333333333,39.796388888888885,12.732,12.906,98.0,4.3,24.1,11.81,173.9
2022-12-02 00:00:00.000,325.2720833333333,39.41361111111111,12.812,12.93,94.7,4.4,24.2,11.41,169.1
2022-12-07 00:00:00.000,325.3833333333333,39.04972222222222,12.894,12.953,91.3,4.4,24.2,11.04,164.2
2022-12-12 00:00:00.000,325.5295833333333,38.70638888888889,12.976,12.976,87.8,4.3,24.2,10.69,159.0
2023-06-10 00:00:00.000,333.0666666666666,39.63166666666667,13.85,13.815,85.9,4.2,24.6,6.31,315.3
2023-06-15 00:00:00.000,332.85625,39.77472222222222,13.814,13.839,89.3,4.2,24.6,6.66,307.8
2023-06-20 00:00:00.000,332.61041666666665,39.903055555555554,13.778,13.862,92.7,4.2,24.6,7.05,300.8
2023-06-25 00:00:00.000,332.3299999999999,40.014722222222225,13.742,13.885,96.0,4.2,24.6,7.49,294.3
2023-06-30 00:00:00.000,332.0166666666666,40.10805555555556,13.707,13.909,99.4,4.1,24.6,7.96,288.3
2023-07-05 00:00:00.000,331.67208333333326,40.18111111111111,13.674,13.932,102.7,4.1,24.6,8.45,282.9
2023-07-10 00:00:00.000,331.2979166666666,40.23305555555556,13.642,13.955,105.9,4.0,24.6,8.96,277.8
2023-07-15 00:00:00.000,330.8970833333333,40.261944444444445,13.613,13.979,109.1,3.9,24.6,9.48,273.1
2023-07-20 00:00:00.000,330.4720833333333,40.26638888888889,13.587,14.002,112.2,3.9,24.6,9.99,268.6
2023-07-25 00:00:00.000,330.02625,40.24527777777778,13.563,14.025,115.1,3.8,24.6,10.47,264.4
2023-07-30 00:00:00.000,329.5629166666666,40.198055555555555,13.544,14.048,118.0,3.7,24.6,10.94,260.4
2023-08-04 00:00:00.000,329.08624999999995,40.12416666666667,13.528,14.072,120.6,3.6,24.6,11.38,256.7
2023-08-09 00:00:00.000,328.59916666666663,40.02333333333333,13.516,14.095,123.1,3.5,24.6,11.78,253.0
2023-08-14 00:00:00.000,328.10625,39.894999999999996,13.509,14.118,125.3,3.4,24.7,12.15,249.5
2023-08-19 00:00:00.000,327.61125,39.73972222222222,13.506,14.142,127.2,3.3,24.7,12.47,246.1
2023-08-24 00:00:00.000,327.1191666666666,39.55777777777777,13.509,14.165,128.8,3.2,24.7,12.74,242.7
2023-08-29 00:00:00.000,326.6341666666666,39.35055555555556,13.517,14.188,130.1,3.1,24.7,12.95,239.4
2023-09-03 00:00:00.000,326.1595833333333,39.118611111111115,13.53,14.212,130.9,3.1,24.7,13.11,236.1
2023-09-08 00:00:00.000,325.6995833333333,38.86388888888889,13.549,14.235,131.4,3.0,24.7,13.22,232.9
2023-09-13 00:00:00.000,325.25791666666663,38.587500000000006,13.573,14.258,131.4,3.0,24.7,13.27,229.6
2023-09-18 00:00:00.000,324.8379166666666,38.291666666666664,13.603,14.281,130.9,3.0,24.7,13.26,226.4
2023-09-23 00:00:00.000,324.44374999999997,37.978611111111114,13.639,14.305,130.0,3.1,24.7,13.19,223.1
2023-09-28 00:00:00.000,324.07708333333335,37.650277777777774,13.68,14.328,128.7,3.1,24.7,13.07,219.7
2023-10-03 00:00:00.000,323.7408333333333,37.309444444444445,13.726,14.351,127.1,3.2,24.8,12.9,216.4
2023-10-08 00:00:00.000,323.4366666666666,36.95861111111111,13.777,14.374,125.0,3.3,24.8,12.68,212.9
2023-10-13 00:00:00.000,323.1666666666667,36.60027777777778,13.834,14.398,122.7,3.3,24.8,12.43,209.3
2023-10-18 00:00:00.000,322.93208333333325,36.23694444444445,13.895,14.421,120.1,3.4,24.8,12.13,205.6
2023-10-23 00:00:00.000,322.7341666666666,35.87166666666667,13.961,14.444,117.3,3.5,24.8,11.81,201.7
2023-10-28 00:00:00.000,322.57291666666663,35.50666666666667,14.03,14.467,114.3,3.6,24.8,11.46,197.7
2023-11-02 00:00:00.000,322.4483333333333,35.14472222222222,14.103,14.491,111.1,3.7,24.9,11.1,193.6
2023-11-07 00:00:00.000,322.36041666666665,34.78777777777778,14.18,14.514,107.8,3.7,24.9,10.74,189.2
2023-11-12 00:00:00.000,322.3091666666666,34.43861111111111,14.259,14.537,104.4,3.8,24.9,10.38,184.6
2023-11-17 00:00:00.000,322.29333333333335,34.09916666666667,14.341,14.561,100.9,3.8,24.9,10.02,179.8
2023-11-22 00:00:00.000,322.3120833333333,33.771388888888886,14.425,14.584,97.3,3.9,24.9,9.68,174.7
2023-11-27 00:00:00.000,322.36375,33.45722222222223,14.51,14.607,93.7,3.9,25.0,9.36,169.5
2023-12-02 00:00:00.000,322.4475,33.15833333333333,14.596,14.63,90.1,3.9,25.0,9.08,164.1
2023-12-07 00:00:00.000,322.56083333333333,32.87583333333333,14.682,14.653,86.4,3.8,25.0,8.83,158.5
