Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-07-10 00:00:00.000,30.84624999999999,-20.81138888888889,11.983,11.982,87.5,4.9,21.7,7.57,185.9
2022-07-15 00:00:00.000,30.80166666666666,-21.07027777777778,11.929,12.002,91.7,4.9,21.7,8.19,192.2
2022-07-20 00:00:00.000,30.722499999999993,-21.345,11.875,12.023,95.9,4.8,21.7,8.88,197.8
2022-07-25 00:00:00.000,30.60749999999999,-21.63361111111111,11.822,12.043,100.2,4.8,21.7,9.61,202.8
2022-07-30 00:00:00.000,30.45541666666666,-21.935277777777777,11.771,12.064,104.4,4.7,21.7,10.37,207.3
2022-08-04 00:00:00.000,30.265833333333326,-22.247777777777777,11.722,12.084,108.6,4.6,21.7,11.14,211.3
2022-08-09 00:00:00.000,30.038333333333327,-22.569444444444443,11.675,12.105,112.8,4.4,21.7,11.91,215.0
2022-08-14 00:00:00.000,29.77333333333333,-22.897777777777776,11.632,12.125,117.0,4.3,21.7,12.66,218.3
2022-08-19 00:00:00.000,29.47041666666666,-23.230833333333333,11.593,12.146,121.0,4.1,21.7,13.39,221.4
2022-08-24 00:00:00.000,29.131249999999998,-23.56638888888889,11.558,12.166,125.0,3.9,21.7,14.08,224.3
2022-08-29 00:00:00.000,28.755416666666658,-23.901666666666664,11.528,12.187,128.9,3.7,21.7,14.72,227.1
2022-09-03 00:00:00.000,28.34583333333333,-24.234166666666667,11.503,12.208,132.5,3.5,21.7,15.3,229.7
2022-11-07 00:00:00.000,21.29375,-27.171944444444446,11.787,12.477,132.4,3.4,21.8,14.62,261.4
2022-11-12 00:00:00.000,20.762499999999996,-27.231944444444444,11.856,12.498,128.6,3.5,21.8,13.95,264.3
2022-11-17 00:00:00.000,20.254166666666666,-27.26527777777778,11.93,12.518,124.6,3.7,21.9,13.24,267.4
2022-11-22 00:00:00.000,19.77208333333333,-27.272777777777776,12.009,12.539,120.5,3.9,21.9,12.48,270.7
2022-11-27 00:00:00.000,19.319166666666664,-27.255555555555556,12.093,12.56,116.2,4.0,21.9,11.68,274.3
2022-12-02 00:00:00.000,18.899166666666666,-27.214444444444442,12.18,12.581,111.9,4.2,21.9,10.87,278.3
2022-12-07 00:00:00.000,18.513333333333332,-27.15138888888889,12.271,12.602,107.5,4.3,21.9,10.07,282.7
2022-12-12 00:00:00.000,18.163749999999997,-27.0675,12.365,12.623,103.0,4.4,22.0,9.28,287.6
2022-12-17 00:00:00.000,17.85125,-26.965,12.46,12.644,98.5,4.4,22.0,8.53,293.1
2022-12-22 00:00:00.000,17.57708333333333,-26.845277777777778,12.557,12.664,94.1,4.4,22.0,7.83,299.3
