Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,169.8770833333333,-55.47944444444445,14.126,14.731,125.3,3.2,28.9,9.57,316.6
2022-05-06 00:00:00.000,169.5125,-55.2425,14.166,14.754,124.0,3.2,28.9,9.31,321.1
2022-05-11 00:00:00.000,169.19416666666666,-54.996944444444445,14.21,14.776,122.4,3.3,29.0,9.03,325.8
2022-05-16 00:00:00.000,168.92291666666665,-54.74583333333334,14.259,14.799,120.6,3.4,29.0,8.73,330.5
2022-05-21 00:00:00.000,168.6983333333333,-54.49138888888889,14.312,14.821,118.5,3.4,29.0,8.42,335.5
2022-05-26 00:00:00.000,168.52166666666665,-54.236111111111114,14.368,14.844,116.2,3.5,29.0,8.1,340.6
2022-05-31 00:00:00.000,168.39208333333332,-53.98277777777778,14.428,14.866,113.8,3.6,29.0,7.78,346.1
2022-06-05 00:00:00.000,168.3095833333333,-53.73361111111111,14.491,14.889,111.2,3.6,29.0,7.46,351.8
2022-06-10 00:00:00.000,168.2720833333333,-53.49111111111111,14.557,14.911,108.5,3.7,29.1,7.16,357.8
2022-06-15 00:00:00.000,168.27874999999997,-53.257222222222225,14.626,14.933,105.7,3.8,29.1,6.89,4.2
2022-06-20 00:00:00.000,168.32708333333332,-53.03388888888889,14.696,14.956,102.9,3.8,29.1,6.65,10.8
2022-06-25 00:00:00.000,168.41666666666666,-52.822500000000005,14.769,14.978,99.9,3.8,29.1,6.45,17.8
2022-06-30 00:00:00.000,168.5445833333333,-52.625,14.843,15.0,97.0,3.9,29.1,6.3,25.1
2022-07-05 00:00:00.000,168.70916666666662,-52.44277777777778,14.918,15.023,94.0,3.9,29.1,6.2,32.6
2022-07-10 00:00:00.000,168.9083333333333,-52.27722222222222,14.993,15.045,91.0,3.9,29.2,6.15,40.0
2022-07-15 00:00:00.000,169.13916666666665,-52.12916666666667,15.069,15.067,88.0,3.9,29.2,6.16,47.4
2023-01-16 00:00:00.000,178.39041666666665,-58.155277777777776,15.911,15.874,86.1,3.5,29.5,8.64,210.6
2023-01-21 00:00:00.000,178.08874999999998,-58.394999999999996,15.879,15.895,89.2,3.5,29.5,8.62,216.4
2023-01-26 00:00:00.000,177.74041666666665,-58.617222222222225,15.847,15.917,92.3,3.5,29.5,8.62,222.2
2023-01-31 00:00:00.000,177.3483333333333,-58.82027777777778,15.815,15.938,95.4,3.5,29.5,8.64,228.0
2023-02-05 00:00:00.000,176.91416666666663,-59.00222222222222,15.785,15.96,98.4,3.5,29.5,8.69,233.8
2023-02-10 00:00:00.000,176.4420833333333,-59.161944444444444,15.757,15.981,101.4,3.5,29.5,8.75,239.5
2023-02-15 00:00:00.000,175.93541666666667,-59.2975,15.73,16.002,104.3,3.4,29.5,8.82,245.2
2023-02-20 00:00:00.000,175.39791666666665,-59.407777777777774,15.705,16.023,107.1,3.4,29.5,8.9,250.9
2023-02-25 00:00:00.000,174.83541666666665,-59.49166666666667,15.683,16.045,109.7,3.3,29.5,8.98,256.4
2023-03-02 00:00:00.000,174.2533333333333,-59.54861111111111,15.664,16.066,112.3,3.3,29.5,9.06,261.8
2023-03-07 00:00:00.000,173.65708333333333,-59.57805555555556,15.649,16.087,114.6,3.2,29.5,9.14,267.0
2023-03-12 00:00:00.000,173.0533333333333,-59.58027777777778,15.636,16.108,116.8,3.2,29.5,9.21,272.2
2023-03-17 00:00:00.000,172.44749999999996,-59.555,15.628,16.13,118.7,3.1,29.5,9.27,277.2
2023-03-22 00:00:00.000,171.8458333333333,-59.503055555555555,15.624,16.151,120.4,3.0,29.6,9.3,282.1
2023-03-27 00:00:00.000,171.2545833333333,-59.42527777777777,15.623,16.172,121.8,3.0,29.6,9.32,287.0
2023-04-01 00:00:00.000,170.68,-59.322500000000005,15.628,16.193,123.0,3.0,29.6,9.3,291.7
2023-04-06 00:00:00.000,170.12708333333333,-59.19638888888888,15.636,16.214,123.8,2.9,29.6,9.26,296.3
