Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,186.42833333333328,62.56666666666667,12.997,13.187,98.7,4.3,27.8,8.52,235.3
2022-05-06 00:00:00.000,185.9458333333333,62.39194444444444,13.072,13.218,96.1,4.4,27.8,8.5,228.5
2022-05-11 00:00:00.000,185.51375,62.19194444444444,13.149,13.248,93.5,4.4,27.8,8.52,221.8
2022-05-16 00:00:00.000,185.13583333333332,61.969166666666666,13.226,13.279,90.8,4.4,27.8,8.57,215.2
2022-05-21 00:00:00.000,184.81291666666664,61.725833333333334,13.304,13.31,88.2,4.4,27.9,8.66,208.9
2022-05-26 00:00:00.000,184.54708333333332,61.46416666666667,13.382,13.34,85.5,4.3,27.9,8.79,202.7
2022-12-02 00:00:00.000,199.5025,55.04388888888889,14.498,14.484,87.2,3.9,28.4,8.98,54.5
2022-12-07 00:00:00.000,199.91166666666663,55.22777777777778,14.48,14.513,90.0,3.9,28.4,8.88,49.1
2022-12-12 00:00:00.000,200.28666666666663,55.43111111111111,14.462,14.543,92.8,3.9,28.4,8.81,43.6
2022-12-17 00:00:00.000,200.6245833333333,55.65277777777778,14.444,14.572,95.5,3.9,28.4,8.76,38.0
2022-12-22 00:00:00.000,200.9233333333333,55.89083333333333,14.428,14.602,98.3,3.8,28.4,8.74,32.3
2022-12-27 00:00:00.000,201.17916666666665,56.144444444444446,14.413,14.631,100.9,3.8,28.4,8.73,26.6
2023-01-01 00:00:00.000,201.3908333333333,56.41083333333333,14.4,14.661,103.5,3.7,28.5,8.74,20.9
2023-01-06 00:00:00.000,201.55541666666664,56.68805555555555,14.389,14.69,106.0,3.7,28.5,8.77,15.3
2023-01-11 00:00:00.000,201.67166666666665,56.97416666666667,14.381,14.719,108.3,3.6,28.5,8.82,9.8
2023-01-16 00:00:00.000,201.73791666666665,57.26638888888889,14.375,14.749,110.5,3.6,28.5,8.87,4.2
2023-01-21 00:00:00.000,201.7520833333333,57.562777777777775,14.372,14.778,112.6,3.5,28.5,8.93,358.8
2023-01-26 00:00:00.000,201.71374999999998,57.86055555555556,14.373,14.807,114.4,3.5,28.5,8.97,353.4
2023-01-31 00:00:00.000,201.62249999999997,58.15611111111111,14.377,14.837,116.1,3.4,28.5,9.01,348.0
2023-02-05 00:00:00.000,201.4783333333333,58.4475,14.385,14.866,117.5,3.4,28.5,9.04,342.8
2023-02-10 00:00:00.000,201.2820833333333,58.731388888888894,14.396,14.895,118.7,3.3,28.5,9.07,337.6
