Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-21 00:00:00.000,333.03249999999997,-6.281666666666666,11.559,11.549,86.9,5.0,24.9,2.9,248.8
2022-05-26 00:00:00.000,332.9241666666666,-6.323055555555555,11.498,11.576,91.9,5.0,24.9,4.02,249.0
2022-05-31 00:00:00.000,332.78083333333325,-6.377777777777777,11.439,11.602,96.8,5.0,24.9,5.14,249.0
2022-06-05 00:00:00.000,332.6020833333333,-6.446388888888889,11.38,11.629,101.8,4.9,24.9,6.28,248.9
2022-06-10 00:00:00.000,332.38833333333326,-6.528611111111111,11.322,11.656,106.8,4.8,24.9,7.4,248.8
2022-06-15 00:00:00.000,332.1395833333333,-6.624722222222223,11.267,11.682,111.8,4.6,24.9,8.5,248.7
2022-06-20 00:00:00.000,331.8570833333333,-6.734444444444445,11.215,11.709,116.8,4.4,24.9,9.58,248.6
2022-06-25 00:00:00.000,331.54166666666663,-6.857777777777778,11.166,11.735,121.9,4.2,24.9,10.63,248.5
2022-06-30 00:00:00.000,331.1941666666666,-6.994166666666667,11.122,11.762,127.0,4.0,24.9,11.63,248.3
2022-07-05 00:00:00.000,330.81624999999997,-7.143611111111111,11.082,11.789,132.2,3.7,24.9,12.57,248.2
2022-10-03 00:00:00.000,322.42291666666665,-10.738888888888889,11.578,12.267,131.7,3.5,25.2,11.4,243.2
2022-10-08 00:00:00.000,322.09416666666664,-10.905000000000001,11.673,12.293,126.5,3.7,25.2,10.4,242.3
2022-10-13 00:00:00.000,321.7983333333333,-11.060555555555556,11.773,12.319,121.2,4.0,25.3,9.35,241.3
2022-10-18 00:00:00.000,321.53749999999997,-11.204722222222221,11.877,12.346,116.0,4.2,25.3,8.28,239.9
2022-10-23 00:00:00.000,321.3120833333333,-11.336944444444445,11.984,12.372,110.8,4.3,25.3,7.18,238.1
2022-10-28 00:00:00.000,321.12291666666664,-11.4575,12.095,12.399,105.6,4.4,25.3,6.08,235.7
2022-11-02 00:00:00.000,320.9704166666666,-11.565277777777778,12.207,12.425,100.4,4.5,25.4,5.0,232.3
2022-11-07 00:00:00.000,320.85374999999993,-11.661111111111111,12.321,12.452,95.3,4.5,25.4,3.95,227.2
2022-11-12 00:00:00.000,320.7725,-11.74472222222222,12.435,12.478,90.2,4.6,25.4,2.98,218.8
2022-11-17 00:00:00.000,320.72625,-11.816111111111113,12.55,12.504,85.1,4.5,25.5,2.14,203.6
2023-05-16 00:00:00.000,326.4670833333333,-10.9575,13.417,13.448,89.6,4.3,25.9,2.55,243.2
2023-05-21 00:00:00.000,326.3745833333333,-11.001111111111111,13.357,13.474,94.5,4.3,25.9,3.51,245.2
2023-05-26 00:00:00.000,326.2508333333333,-11.055555555555557,13.297,13.5,99.4,4.2,25.9,4.46,246.3
2023-05-31 00:00:00.000,326.09666666666664,-11.120833333333334,13.239,13.526,104.4,4.2,25.9,5.42,247.0
2023-06-05 00:00:00.000,325.91249999999997,-11.196944444444444,13.182,13.552,109.4,4.0,25.9,6.36,247.4
2023-06-10 00:00:00.000,325.69791666666663,-11.283333333333333,13.128,13.578,114.4,3.9,25.9,7.28,247.8
2023-06-15 00:00:00.000,325.4545833333333,-11.380277777777778,13.077,13.604,119.4,3.7,25.9,8.18,248.0
2023-06-20 00:00:00.000,325.18249999999995,-11.487499999999999,13.029,13.63,124.5,3.5,25.9,9.05,248.2
2023-06-25 00:00:00.000,324.88333333333327,-11.604444444444445,12.986,13.656,129.6,3.3,25.9,9.87,248.3
2023-06-30 00:00:00.000,324.5587499999999,-11.730277777777777,12.948,13.682,134.7,3.0,25.9,10.63,248.4
2023-09-28 00:00:00.000,317.40166666666664,-14.49611111111111,13.468,14.148,131.2,3.1,26.2,9.32,246.7
2023-10-03 00:00:00.000,317.1208333333333,-14.614444444444445,13.562,14.173,126.0,3.3,26.2,8.47,246.1
2023-10-08 00:00:00.000,316.8683333333333,-14.724444444444444,13.662,14.199,120.8,3.5,26.2,7.59,245.4
2023-10-13 00:00:00.000,316.6458333333333,-14.825277777777778,13.765,14.225,115.6,3.6,26.2,6.67,244.4
2023-10-18 00:00:00.000,316.45374999999996,-14.916666666666666,13.872,14.251,110.4,3.8,26.2,5.73,243.0
2023-10-23 00:00:00.000,316.2933333333333,-14.998333333333333,13.981,14.276,105.3,3.9,26.3,4.79,241.1
2023-10-28 00:00:00.000,316.16416666666663,-15.070833333333333,14.093,14.302,100.2,3.9,26.3,3.86,238.3
2023-11-02 00:00:00.000,316.06666666666666,-15.133333333333333,14.206,14.328,95.1,4.0,26.3,2.94,233.8
2023-11-07 00:00:00.000,315.99999999999994,-15.186666666666667,14.319,14.353,90.0,4.0,26.3,2.08,225.5
2024-05-05 00:00:00.000,321.43666666666667,-14.365555555555556,15.319,15.271,85.4,3.8,26.8,1.31,229.9
2024-05-10 00:00:00.000,321.38833333333326,-14.398055555555555,15.258,15.297,90.3,3.8,26.8,2.1,238.3
2024-05-15 00:00:00.000,321.3133333333333,-14.439166666666667,15.197,15.322,95.2,3.8,26.8,2.93,242.1
