Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-11 00:00:00.000,323.78916666666663,-14.944722222222222,11.521,11.543,88.8,5.0,28.3,2.0,151.2
2022-05-16 00:00:00.000,323.80499999999995,-15.009166666666667,11.462,11.57,93.6,5.0,28.3,2.11,181.4
2022-05-21 00:00:00.000,323.7854166666666,-15.085833333333333,11.405,11.597,98.5,5.0,28.3,2.7,203.5
2022-05-26 00:00:00.000,323.73041666666666,-15.174444444444443,11.348,11.623,103.4,4.9,28.3,3.54,216.5
2022-05-31 00:00:00.000,323.64,-15.275555555555556,11.292,11.65,108.3,4.7,28.3,4.49,224.4
2022-06-05 00:00:00.000,323.51374999999996,-15.38861111111111,11.239,11.677,113.2,4.6,28.3,5.47,229.3
2022-06-10 00:00:00.000,323.3533333333333,-15.513055555555555,11.189,11.703,118.2,4.4,28.3,6.45,232.8
2022-06-15 00:00:00.000,323.15916666666664,-15.64861111111111,11.143,11.73,123.2,4.2,28.3,7.4,235.2
2022-06-20 00:00:00.000,322.93249999999995,-15.794444444444444,11.1,11.756,128.2,3.9,28.2,8.33,237.1
2022-06-25 00:00:00.000,322.67499999999995,-15.949722222222222,11.063,11.782,133.2,3.6,28.2,9.2,238.6
2022-09-23 00:00:00.000,316.14624999999995,-19.052777777777777,11.54,12.25,133.3,3.4,28.4,8.26,243.9
2022-09-28 00:00:00.000,315.9,-19.16861111111111,11.631,12.276,128.2,3.7,28.4,7.32,243.1
2022-10-03 00:00:00.000,315.68625,-19.27361111111111,11.727,12.301,123.0,3.9,28.5,6.33,242.0
2022-10-08 00:00:00.000,315.5058333333333,-19.366944444444446,11.827,12.327,117.9,4.1,28.5,5.32,240.3
2022-10-13 00:00:00.000,315.36041666666665,-19.449166666666667,11.931,12.352,112.8,4.3,28.5,4.29,237.7
2022-10-18 00:00:00.000,315.2495833333333,-19.52,12.037,12.378,107.8,4.4,28.6,3.27,233.2
2022-10-23 00:00:00.000,315.17499999999995,-19.579722222222223,12.146,12.403,102.7,4.5,28.6,2.29,224.7
2022-10-28 00:00:00.000,315.13583333333327,-19.628611111111113,12.257,12.429,97.7,4.5,28.6,1.43,204.5
2022-11-02 00:00:00.000,315.13291666666663,-19.66638888888889,12.368,12.454,92.7,4.6,28.6,1.06,157.2
2022-11-07 00:00:00.000,315.16458333333327,-19.69388888888889,12.48,12.479,87.7,4.6,28.7,1.54,115.8
2023-05-11 00:00:00.000,324.95833333333326,-18.6325,13.376,13.391,88.7,4.3,28.9,2.24,151.2
2023-05-16 00:00:00.000,324.9808333333333,-18.703333333333333,13.315,13.415,93.5,4.3,28.9,2.29,175.0
2023-05-21 00:00:00.000,324.9720833333333,-18.784722222222225,13.255,13.439,98.3,4.3,28.9,2.7,194.8
2023-05-26 00:00:00.000,324.93249999999995,-18.876944444444444,13.196,13.463,103.2,4.2,28.9,3.32,208.4
2023-05-31 00:00:00.000,324.86125,-18.979166666666664,13.138,13.486,108.1,4.1,28.9,4.05,217.3
2023-06-05 00:00:00.000,324.7595833333333,-19.091388888888886,13.082,13.51,112.9,4.0,28.9,4.83,223.4
2023-06-10 00:00:00.000,324.6270833333333,-19.213055555555556,13.03,13.534,117.9,3.8,28.9,5.63,227.8
2023-06-15 00:00:00.000,324.4654166666666,-19.343333333333334,12.981,13.558,122.8,3.6,28.9,6.42,231.1
2023-06-20 00:00:00.000,324.2745833333333,-19.481666666666666,12.936,13.582,127.8,3.4,28.9,7.19,233.6
2023-06-25 00:00:00.000,324.05625,-19.627222222222223,12.895,13.605,132.7,3.1,28.8,7.92,235.7
2023-09-23 00:00:00.000,318.2758333333333,-22.24388888888889,13.308,14.027,134.3,2.9,29.0,7.32,248.9
2023-09-28 00:00:00.000,318.04291666666666,-22.326666666666668,13.395,14.05,129.2,3.2,29.0,6.52,249.1
2023-10-03 00:00:00.000,317.8370833333333,-22.398611111111112,13.487,14.073,124.1,3.4,29.0,5.69,249.3
2023-10-08 00:00:00.000,317.6595833333333,-22.460277777777776,13.584,14.096,119.1,3.6,29.1,4.82,249.4
2023-10-13 00:00:00.000,317.5120833333333,-22.511666666666667,13.684,14.119,114.0,3.7,29.1,3.92,249.4
2023-10-18 00:00:00.000,317.3954166666666,-22.552222222222223,13.787,14.142,109.0,3.8,29.1,3.0,249.1
2023-10-23 00:00:00.000,317.30999999999995,-22.58277777777778,13.893,14.165,104.0,3.9,29.1,2.07,248.3
2023-10-28 00:00:00.000,317.2566666666666,-22.603333333333335,14.0,14.188,98.9,4.0,29.2,1.15,245.7
2023-11-02 00:00:00.000,317.2345833333333,-22.61416666666667,14.108,14.211,94.0,4.0,29.2,0.26,222.2
2023-11-07 00:00:00.000,317.2441666666666,-22.616111111111113,14.217,14.234,89.0,4.0,29.2,0.7,83.3
2024-05-10 00:00:00.000,325.94999999999993,-21.43111111111111,15.054,15.061,88.5,3.8,29.4,2.36,151.1
2024-05-15 00:00:00.000,325.97708333333327,-21.504722222222224,14.992,15.083,93.3,3.8,29.4,2.38,171.3
