Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,170.8545833333333,-11.933055555555555,5.254,6.0,134.2,6.9,26.4,13.89,321.7
2022-05-06 00:00:00.000,170.59374999999997,-11.57861111111111,5.311,6.002,129.3,7.5,26.4,12.33,327.1
2022-05-11 00:00:00.000,170.39874999999998,-11.244444444444444,5.373,6.003,124.5,8.0,26.4,10.8,333.9
2022-05-16 00:00:00.000,170.27124999999998,-10.933055555555555,5.439,6.004,119.6,8.4,26.5,9.39,342.8
2022-05-21 00:00:00.000,170.20999999999998,-10.646944444444443,5.509,6.005,114.9,8.8,26.5,8.23,354.3
2022-05-26 00:00:00.000,170.21541666666664,-10.387777777777778,5.581,6.006,110.1,9.1,26.5,7.44,8.7
2022-05-31 00:00:00.000,170.28624999999997,-10.157222222222222,5.656,6.007,105.5,9.4,26.5,7.16,25.2
2022-06-05 00:00:00.000,170.42166666666665,-9.956388888888888,5.733,6.008,100.9,9.5,26.6,7.43,41.5
2022-06-10 00:00:00.000,170.6183333333333,-9.786111111111111,5.811,6.008,96.3,9.7,26.6,8.16,55.3
2022-06-15 00:00:00.000,170.8745833333333,-9.646388888888888,5.89,6.009,91.8,9.7,26.6,9.21,66.1
2022-06-20 00:00:00.000,171.1870833333333,-9.537222222222223,5.969,6.009,87.4,9.7,26.7,10.45,74.3
2023-01-11 00:00:00.000,199.57791666666665,-18.66111111111111,5.947,5.945,85.1,9.5,26.6,9.6,124.5
2023-01-16 00:00:00.000,199.82416666666663,-18.83111111111111,5.862,5.941,89.9,9.5,26.6,7.71,128.1
2023-01-21 00:00:00.000,200.00458333333333,-18.97722222222222,5.776,5.937,94.7,9.5,26.5,5.77,134.0
2023-01-26 00:00:00.000,200.1158333333333,-19.097777777777775,5.691,5.934,99.5,9.4,26.5,3.87,146.0
2023-01-31 00:00:00.000,200.15666666666664,-19.190555555555555,5.607,5.93,104.5,9.3,26.5,2.36,176.6
2023-02-05 00:00:00.000,200.12541666666664,-19.254166666666666,5.524,5.926,109.4,9.0,26.4,2.39,232.6
2023-02-10 00:00:00.000,200.0220833333333,-19.286944444444448,5.444,5.921,114.5,8.7,26.4,3.98,262.6
2023-02-15 00:00:00.000,199.84666666666664,-19.28777777777778,5.367,5.917,119.6,8.3,26.4,6.01,274.6
2023-02-20 00:00:00.000,199.59916666666666,-19.254444444444445,5.293,5.913,124.7,7.9,26.3,8.14,280.7
2023-02-25 00:00:00.000,199.2825,-19.18611111111111,5.224,5.908,130.0,7.4,26.3,10.26,284.6
2023-05-21 00:00:00.000,190.02916666666664,-14.105277777777777,5.062,5.818,134.7,7.1,26.2,13.69,316.9
2023-05-26 00:00:00.000,189.74083333333328,-13.783055555555556,5.113,5.812,129.6,7.7,26.2,11.92,321.5
2023-05-31 00:00:00.000,189.51999999999998,-13.484166666666665,5.169,5.805,124.6,8.3,26.2,10.17,327.6
2023-06-05 00:00:00.000,189.36791666666664,-13.211388888888887,5.229,5.799,119.7,8.7,26.2,8.51,336.1
2023-06-10 00:00:00.000,189.28416666666664,-12.966111111111111,5.293,5.792,114.8,9.2,26.2,7.08,348.4
2023-06-15 00:00:00.000,189.26999999999998,-12.749444444444444,5.359,5.786,110.0,9.5,26.3,6.08,5.5
2023-06-20 00:00:00.000,189.32375,-12.563055555555556,5.428,5.779,105.2,9.8,26.3,5.74,26.6
2023-06-25 00:00:00.000,189.44541666666666,-12.4075,5.499,5.772,100.6,10.0,26.3,6.17,47.1
2023-06-30 00:00:00.000,189.63166666666666,-12.2825,5.57,5.765,96.0,10.1,26.3,7.19,62.8
2023-07-05 00:00:00.000,189.8808333333333,-12.188333333333334,5.642,5.758,91.4,10.2,26.4,8.54,73.8
2023-07-10 00:00:00.000,190.19041666666664,-12.123611111111112,5.715,5.751,87.0,10.2,26.4,10.05,81.5
2024-02-05 00:00:00.000,222.76874999999998,-20.138055555555557,5.284,5.358,89.0,10.6,25.9,10.13,100.3
2024-02-10 00:00:00.000,223.08625,-20.186944444444446,5.19,5.346,93.8,10.6,25.9,7.98,98.1
2024-02-15 00:00:00.000,223.32916666666662,-20.21222222222222,5.097,5.334,98.6,10.5,25.8,5.76,93.9
2024-02-20 00:00:00.000,223.49374999999995,-20.2125,5.005,5.323,103.5,10.4,25.8,3.54,84.0
2024-02-25 00:00:00.000,223.57874999999999,-20.18722222222222,4.914,5.311,108.4,10.2,25.7,1.7,46.9
2024-03-01 00:00:00.000,223.58124999999998,-20.134999999999998,4.826,5.299,113.5,9.9,25.7,2.26,330.9
2024-03-06 00:00:00.000,223.49999999999997,-20.054722222222225,4.74,5.287,118.6,9.5,25.6,4.48,309.2
2024-03-11 00:00:00.000,223.33416666666665,-19.945833333333333,4.657,5.274,123.7,9.0,25.6,6.94,302.3
2024-03-16 00:00:00.000,223.08499999999998,-19.8075,4.579,5.262,129.0,8.5,25.5,9.4,299.3
2024-03-21 00:00:00.000,222.75416666666663,-19.639722222222222,4.505,5.249,134.3,7.8,25.5,11.81,297.7
