Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,153.45125,-11.841111111111111,9.287,9.792,117.4,5.2,29.2,11.12,312.3
2022-05-06 00:00:00.000,153.1945833333333,-11.59888888888889,9.393,9.827,112.7,5.4,29.3,9.85,315.8
2022-05-11 00:00:00.000,152.98416666666665,-11.370833333333334,9.503,9.861,108.0,5.6,29.3,8.6,320.2
2022-05-16 00:00:00.000,152.81916666666663,-11.158888888888889,9.614,9.895,103.3,5.7,29.4,7.41,325.5
2022-05-21 00:00:00.000,152.69874999999996,-10.963888888888889,9.727,9.929,98.6,5.8,29.4,6.3,332.4
2022-05-26 00:00:00.000,152.6208333333333,-10.786666666666667,9.842,9.963,94.0,5.8,29.4,5.31,341.6
2022-05-31 00:00:00.000,152.5845833333333,-10.628055555555555,9.957,9.997,89.4,5.8,29.5,4.5,353.8
2022-12-07 00:00:00.000,159.405,-14.849166666666667,11.256,11.26,87.8,5.0,30.3,6.32,223.0
2022-12-12 00:00:00.000,159.23749999999998,-14.99611111111111,11.206,11.293,92.6,5.0,30.3,6.85,232.3
2022-12-17 00:00:00.000,159.03124999999997,-15.127777777777778,11.156,11.325,97.4,4.9,30.3,7.51,240.4
2022-12-22 00:00:00.000,158.78666666666666,-15.243055555555555,11.108,11.358,102.3,4.9,30.3,8.27,247.3
2022-12-27 00:00:00.000,158.50458333333333,-15.340277777777779,11.062,11.39,107.1,4.7,30.3,9.09,253.2
2023-01-01 00:00:00.000,158.1858333333333,-15.418333333333333,11.018,11.423,112.0,4.6,30.3,9.93,258.1
2023-01-06 00:00:00.000,157.83291666666665,-15.476111111111111,10.977,11.455,116.9,4.4,30.3,10.78,262.4
2023-01-11 00:00:00.000,157.44749999999996,-15.512777777777778,10.94,11.487,121.7,4.2,30.3,11.62,266.2
2023-01-16 00:00:00.000,157.03166666666664,-15.527500000000002,10.908,11.519,126.5,3.9,30.3,12.43,269.5
2023-01-21 00:00:00.000,156.5883333333333,-15.520000000000001,10.88,11.552,131.1,3.7,30.3,13.19,272.5
2023-04-11 00:00:00.000,149.08333333333334,-12.943055555555556,11.384,12.062,130.8,3.6,30.6,11.53,306.6
2023-04-16 00:00:00.000,148.78374999999997,-12.715555555555556,11.473,12.093,126.3,3.8,30.6,10.66,309.4
2023-04-21 00:00:00.000,148.51999999999998,-12.492777777777777,11.566,12.125,121.7,4.0,30.7,9.77,312.5
2023-04-26 00:00:00.000,148.29208333333332,-12.276666666666667,11.664,12.156,117.2,4.2,30.7,8.85,316.0
2023-05-01 00:00:00.000,148.10041666666666,-12.069166666666666,11.766,12.188,112.6,4.4,30.7,7.94,320.1
2023-05-06 00:00:00.000,147.94499999999996,-11.87138888888889,11.87,12.219,108.0,4.5,30.7,7.05,325.0
2023-05-11 00:00:00.000,147.825,-11.684444444444445,11.977,12.251,103.4,4.6,30.8,6.2,331.0
2023-05-16 00:00:00.000,147.74041666666665,-11.51,12.086,12.282,98.9,4.7,30.8,5.42,338.5
2023-05-21 00:00:00.000,147.69,-11.34888888888889,12.196,12.314,94.3,4.7,30.8,4.73,347.9
2023-05-26 00:00:00.000,147.67249999999999,-11.201666666666666,12.306,12.345,89.8,4.7,30.9,4.19,359.6
2023-05-31 00:00:00.000,147.68749999999997,-11.069444444444445,12.417,12.376,85.4,4.7,30.9,3.84,13.3
2023-12-02 00:00:00.000,153.81958333333333,-14.489999999999998,13.512,13.513,88.0,4.2,31.5,5.29,218.8
2023-12-07 00:00:00.000,153.6895833333333,-14.621944444444445,13.461,13.543,92.7,4.2,31.5,5.67,228.3
2023-12-12 00:00:00.000,153.52749999999997,-14.741388888888888,13.411,13.573,97.4,4.1,31.5,6.17,236.7
2023-12-17 00:00:00.000,153.33416666666665,-14.846944444444444,13.362,13.603,102.2,4.1,31.5,6.74,244.0
2023-12-22 00:00:00.000,153.10999999999999,-14.938055555555556,13.314,13.633,106.9,4.0,31.5,7.37,250.2
2023-12-27 00:00:00.000,152.85625,-15.013333333333334,13.27,13.663,111.7,3.8,31.5,8.03,255.5
2024-01-01 00:00:00.000,152.57374999999996,-15.071944444444444,13.228,13.694,116.4,3.7,31.5,8.7,260.1
2024-01-06 00:00:00.000,152.265,-15.113055555555555,13.19,13.724,121.1,3.5,31.5,9.37,264.1
