Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-12-02 00:00:00.000,150.09999999999997,-24.909166666666664,4.529,4.593,87.5,12.4,14.4,31.86,175.5
2022-12-07 00:00:00.000,150.14583333333331,-25.956666666666667,4.494,4.62,91.1,12.3,14.4,31.07,180.1
2022-12-12 00:00:00.000,150.09541666666667,-26.97833333333333,4.459,4.647,94.8,12.2,14.4,30.33,185.0
2022-12-17 00:00:00.000,149.94749999999996,-27.968888888888888,4.427,4.675,98.5,12.0,14.4,29.65,190.2
2022-12-22 00:00:00.000,149.69958333333332,-28.92138888888889,4.396,4.702,102.1,11.8,14.4,29.01,195.6
2022-12-27 00:00:00.000,149.35291666666663,-29.829444444444444,4.368,4.73,105.7,11.5,14.5,28.43,201.3
2023-01-01 00:00:00.000,148.90916666666664,-30.685555555555556,4.343,4.758,109.2,11.3,14.5,27.89,207.0
2023-01-06 00:00:00.000,148.37249999999997,-31.483888888888888,4.321,4.786,112.6,10.9,14.5,27.4,212.9
2023-01-11 00:00:00.000,147.74875,-32.217777777777776,4.303,4.815,115.9,10.6,14.5,26.94,218.8
2023-01-16 00:00:00.000,147.045,-32.88166666666667,4.289,4.843,119.0,10.2,14.5,26.5,224.8
2023-01-21 00:00:00.000,146.27041666666665,-33.46944444444445,4.28,4.872,121.9,9.9,14.5,26.03,230.8
2023-01-26 00:00:00.000,145.43666666666664,-33.97666666666667,4.275,4.9,124.5,9.5,14.6,25.52,236.8
2023-01-31 00:00:00.000,144.55791666666664,-34.39972222222222,4.275,4.929,126.8,9.2,14.6,24.95,242.8
2023-02-05 00:00:00.000,143.64916666666664,-34.73722222222222,4.28,4.958,128.8,8.9,14.6,24.31,248.7
2023-02-10 00:00:00.000,142.72583333333333,-34.989444444444445,4.291,4.987,130.4,8.7,14.6,23.59,254.6
2023-02-15 00:00:00.000,141.80416666666665,-35.156666666666666,4.307,5.017,131.5,8.5,14.7,22.78,260.5
2023-02-20 00:00:00.000,140.8995833333333,-35.24166666666667,4.329,5.046,132.2,8.3,14.7,21.86,266.5
2023-02-25 00:00:00.000,140.02874999999997,-35.248333333333335,4.356,5.076,132.4,8.3,14.8,20.82,272.5
2023-03-02 00:00:00.000,139.20624999999998,-35.183055555555555,4.388,5.105,132.1,8.3,14.8,19.68,278.7
2023-03-07 00:00:00.000,138.44541666666666,-35.05277777777778,4.426,5.135,131.3,8.3,14.8,18.48,285.1
