Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,269.24875,-6.736666666666666,8.908,9.574,129.0,4.7,31.6,15.29,283.2
2022-05-06 00:00:00.000,268.7304166666666,-6.623611111111112,8.877,9.605,134.0,4.3,31.6,16.33,281.5
2022-07-25 00:00:00.000,258.84666666666664,-6.333333333333333,9.356,10.091,134.2,4.1,31.9,14.7,261.1
2022-07-30 00:00:00.000,258.3791666666666,-6.4141666666666675,9.446,10.121,129.4,4.4,31.9,13.58,259.1
2022-08-04 00:00:00.000,257.9525,-6.503888888888889,9.541,10.151,124.5,4.7,32.0,12.41,256.9
2022-08-09 00:00:00.000,257.56874999999997,-6.601666666666667,9.641,10.181,119.6,5.0,32.0,11.22,254.3
2022-08-14 00:00:00.000,257.2279166666666,-6.706388888888889,9.744,10.211,114.8,5.2,32.0,10.03,251.2
2022-08-19 00:00:00.000,256.9316666666666,-6.817222222222222,9.851,10.24,109.9,5.3,32.1,8.84,247.4
2022-08-24 00:00:00.000,256.68,-6.933055555555556,9.96,10.27,105.1,5.5,32.1,7.69,242.6
2022-08-29 00:00:00.000,256.4733333333333,-7.053055555555555,10.072,10.3,100.3,5.5,32.1,6.6,236.3
2022-09-03 00:00:00.000,256.31125,-7.176388888888889,10.184,10.33,95.5,5.6,32.2,5.6,228.1
2022-09-08 00:00:00.000,256.19249999999994,-7.301944444444445,10.298,10.36,90.7,5.6,32.2,4.76,217.3
2022-09-13 00:00:00.000,256.1166666666667,-7.4286111111111115,10.411,10.389,86.0,5.5,32.3,4.15,203.3
2023-03-12 00:00:00.000,263.41375,-8.13861111111111,11.432,11.435,87.7,5.0,32.9,3.88,330.2
2023-03-17 00:00:00.000,263.3295833333333,-8.025,11.376,11.464,92.6,5.0,32.9,4.63,318.3
2023-03-22 00:00:00.000,263.2066666666667,-7.908611111111111,11.32,11.492,97.5,4.9,32.9,5.51,309.7
2023-03-27 00:00:00.000,263.0441666666667,-7.790555555555556,11.264,11.52,102.4,4.9,32.9,6.47,303.3
2023-04-01 00:00:00.000,262.8429166666666,-7.671666666666667,11.211,11.549,107.4,4.7,32.9,7.47,298.5
2023-04-06 00:00:00.000,262.6033333333333,-7.552777777777778,11.16,11.577,112.3,4.6,32.9,8.46,294.8
2023-04-11 00:00:00.000,262.32625,-7.435277777777778,11.112,11.605,117.3,4.4,32.9,9.45,291.8
2023-04-16 00:00:00.000,262.01333333333326,-7.319166666666667,11.067,11.633,122.2,4.2,32.9,10.42,289.3
2023-04-21 00:00:00.000,261.6658333333333,-7.206111111111111,11.027,11.662,127.2,3.9,32.9,11.35,287.1
2023-04-26 00:00:00.000,261.28541666666666,-7.096666666666667,10.992,11.69,132.1,3.7,32.9,12.21,285.3
2023-07-20 00:00:00.000,253.1275,-6.4675,11.441,12.164,133.6,3.5,33.1,11.49,263.1
2023-07-25 00:00:00.000,252.76041666666666,-6.5183333333333335,11.529,12.191,128.8,3.7,33.2,10.61,261.0
2023-07-30 00:00:00.000,252.42499999999995,-6.5775,11.622,12.219,124.0,3.9,33.2,9.7,258.7
2023-08-04 00:00:00.000,252.1225,-6.644722222222222,11.719,12.247,119.2,4.1,33.2,8.77,256.0
2023-08-09 00:00:00.000,251.85416666666663,-6.718888888888889,11.82,12.274,114.4,4.3,33.3,7.83,252.7
2023-08-14 00:00:00.000,251.62124999999992,-6.799722222222222,11.924,12.302,109.6,4.4,33.3,6.89,248.6
2023-08-19 00:00:00.000,251.42374999999998,-6.886388888888888,12.031,12.329,104.8,4.6,33.3,5.98,243.3
2023-08-24 00:00:00.000,251.26249999999996,-6.978055555555556,12.14,12.356,100.1,4.6,33.3,5.12,236.5
2023-08-29 00:00:00.000,251.1370833333333,-7.074166666666667,12.25,12.384,95.3,4.7,33.4,4.35,227.5
2023-09-03 00:00:00.000,251.0470833333333,-7.173611111111112,12.36,12.411,90.6,4.7,33.4,3.72,215.5
2023-09-08 00:00:00.000,250.99124999999995,-7.276111111111111,12.471,12.439,85.8,4.6,33.4,3.31,200.1
2024-03-06 00:00:00.000,257.5466666666666,-8.170833333333333,13.395,13.404,88.4,4.2,33.9,3.1,335.0
2024-03-11 00:00:00.000,257.48625,-8.075277777777778,13.337,13.43,93.3,4.2,33.9,3.71,321.9
2024-03-16 00:00:00.000,257.3924999999999,-7.976388888888889,13.279,13.457,98.2,4.2,33.9,4.45,312.5
2024-03-21 00:00:00.000,257.2658333333333,-7.875000000000001,13.222,13.483,103.1,4.1,33.9,5.25,305.8
2024-03-26 00:00:00.000,257.10625,-7.7716666666666665,13.167,13.509,108.1,4.0,33.9,6.08,300.8
2024-03-31 00:00:00.000,256.9145833333333,-7.6675,13.114,13.535,113.0,3.9,33.9,6.92,296.9
2024-04-05 00:00:00.000,256.69125,-7.563055555555556,13.064,13.562,117.9,3.7,33.9,7.76,293.8
2024-04-10 00:00:00.000,256.4370833333333,-7.4591666666666665,13.018,13.588,122.9,3.6,33.9,8.58,291.2
2024-04-15 00:00:00.000,256.15416666666664,-7.356388888888889,12.976,13.614,127.8,3.3,33.9,9.35,289.0
2024-04-20 00:00:00.000,255.84375,-7.256111111111111,12.939,13.64,132.6,3.1,33.9,10.07,287.2
