Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-06-30 00:00:00.000,228.51499999999996,-45.13194444444444,6.632,7.375,134.0,5.7,23.3,18.6,279.1
2022-07-05 00:00:00.000,227.6904166666666,-45.028055555555554,6.712,7.402,129.6,6.1,23.3,16.87,281.1
2022-07-10 00:00:00.000,226.95416666666665,-44.91611111111111,6.797,7.429,125.2,6.4,23.4,15.08,283.1
2022-07-15 00:00:00.000,226.30791666666667,-44.80083333333333,6.886,7.456,120.7,6.7,23.4,13.27,285.2
2022-07-20 00:00:00.000,225.75124999999997,-44.68611111111111,6.98,7.483,116.1,7.0,23.5,11.43,287.3
2022-07-25 00:00:00.000,225.28416666666664,-44.575833333333335,7.076,7.51,111.6,7.2,23.5,9.58,289.6
2022-07-30 00:00:00.000,224.90583333333328,-44.473055555555554,7.176,7.538,107.1,7.4,23.6,7.75,292.2
2022-08-04 00:00:00.000,224.61374999999998,-44.38138888888889,7.278,7.565,102.6,7.5,23.6,5.94,295.5
2022-08-09 00:00:00.000,224.4045833333333,-44.30305555555555,7.381,7.592,98.2,7.6,23.6,4.2,300.4
2022-08-14 00:00:00.000,224.27541666666664,-44.24027777777778,7.485,7.62,93.8,7.6,23.7,2.55,309.9
2022-08-19 00:00:00.000,224.22166666666664,-44.19416666666666,7.59,7.647,89.4,7.6,23.7,1.16,341.8
2022-08-24 00:00:00.000,224.23999999999998,-44.16694444444444,7.694,7.674,85.1,7.5,23.8,1.27,65.1
2023-02-25 00:00:00.000,239.17249999999999,-55.6625,8.699,8.702,86.9,6.5,24.6,15.62,194.5
2023-03-02 00:00:00.000,238.89333333333332,-56.16305555555555,8.655,8.731,91.1,6.5,24.6,15.87,200.2
2023-03-07 00:00:00.000,238.51624999999999,-56.65472222222222,8.612,8.759,95.3,6.5,24.6,16.19,205.8
2023-03-12 00:00:00.000,238.03833333333333,-57.13361111111111,8.57,8.787,99.4,6.4,24.6,16.56,211.3
2023-03-17 00:00:00.000,237.45833333333331,-57.59666666666667,8.53,8.815,103.5,6.3,24.6,16.99,216.7
2023-03-22 00:00:00.000,236.77416666666664,-58.03972222222222,8.492,8.843,107.5,6.2,24.6,17.44,222.1
2023-03-27 00:00:00.000,235.98708333333332,-58.458333333333336,8.458,8.871,111.4,6.0,24.6,17.9,227.3
2023-04-01 00:00:00.000,235.09999999999997,-58.848333333333336,8.427,8.899,115.2,5.8,24.6,18.36,232.3
2023-04-06 00:00:00.000,234.1183333333333,-59.20583333333334,8.4,8.927,118.9,5.6,24.6,18.79,237.1
2023-04-11 00:00:00.000,233.04791666666665,-59.52722222222222,8.378,8.955,122.4,5.4,24.6,19.19,241.8
2023-04-16 00:00:00.000,231.89708333333328,-59.80888888888889,8.36,8.983,125.7,5.2,24.6,19.55,246.4
2023-04-21 00:00:00.000,230.67624999999998,-60.04722222222222,8.348,9.011,128.8,5.0,24.7,19.83,251.0
2023-04-26 00:00:00.000,229.39874999999998,-60.23972222222222,8.342,9.039,131.5,4.8,24.7,20.03,255.3
2023-05-01 00:00:00.000,228.07916666666662,-60.38472222222222,8.341,9.067,133.8,4.6,24.7,20.13,259.6
2023-06-10 00:00:00.000,217.88708333333332,-59.913333333333334,8.56,9.292,133.8,4.5,24.8,17.15,291.3
2023-06-15 00:00:00.000,216.86666666666662,-59.69333333333333,8.615,9.32,131.6,4.7,24.9,16.34,295.2
2023-06-20 00:00:00.000,215.93499999999997,-59.452222222222225,8.676,9.348,129.0,4.8,24.9,15.44,299.0
2023-06-25 00:00:00.000,215.09666666666664,-59.195277777777775,8.741,9.377,126.1,5.0,24.9,14.48,303.0
2023-06-30 00:00:00.000,214.3545833333333,-58.927499999999995,8.811,9.405,123.1,5.2,25.0,13.48,307.1
2023-07-05 00:00:00.000,213.70874999999995,-58.654444444444444,8.886,9.433,119.8,5.4,25.0,12.44,311.5
2023-07-10 00:00:00.000,213.1591666666666,-58.37972222222222,8.965,9.461,116.4,5.5,25.0,11.4,316.1
2023-07-15 00:00:00.000,212.70374999999996,-58.10805555555556,9.047,9.489,112.9,5.7,25.1,10.35,321.3
2023-07-20 00:00:00.000,212.3408333333333,-57.84305555555556,9.132,9.517,109.4,5.8,25.1,9.31,327.0
2023-07-25 00:00:00.000,212.06791666666663,-57.58861111111111,9.219,9.545,105.7,5.9,25.1,8.31,333.6
2023-07-30 00:00:00.000,211.88041666666663,-57.34777777777778,9.309,9.573,102.1,6.0,25.2,7.38,341.3
2023-08-04 00:00:00.000,211.77416666666667,-57.12305555555555,9.4,9.601,98.4,6.0,25.2,6.57,350.4
2023-08-09 00:00:00.000,211.74499999999998,-56.916666666666664,9.493,9.63,94.7,6.0,25.2,5.9,1.3
2023-08-14 00:00:00.000,211.78916666666666,-56.73027777777778,9.586,9.658,91.0,6.0,25.3,5.42,13.9
2023-08-19 00:00:00.000,211.90166666666664,-56.566111111111105,9.679,9.686,87.4,6.0,25.3,5.18,27.7
2024-02-20 00:00:00.000,226.3120833333333,-65.42194444444445,10.74,10.722,86.3,5.3,26.0,13.81,201.3
2024-02-25 00:00:00.000,225.8558333333333,-65.84444444444443,10.707,10.75,89.9,5.3,26.0,13.95,206.7
2024-03-01 00:00:00.000,225.29,-66.25194444444445,10.674,10.778,93.4,5.3,26.0,14.12,212.1
2024-03-06 00:00:00.000,224.61249999999998,-66.64055555555557,10.643,10.806,96.8,5.2,26.0,14.32,217.6
2024-03-11 00:00:00.000,223.82166666666663,-67.00694444444444,10.613,10.834,100.2,5.2,26.0,14.53,223.1
2024-03-16 00:00:00.000,222.9195833333333,-67.34666666666666,10.585,10.862,103.5,5.1,26.0,14.75,228.5
2024-03-21 00:00:00.000,221.91041666666663,-67.65666666666667,10.56,10.889,106.8,5.0,26.0,14.97,233.9
2024-03-26 00:00:00.000,220.80041666666665,-67.93277777777779,10.538,10.917,109.9,4.9,26.0,15.18,239.3
2024-03-31 00:00:00.000,219.59749999999997,-68.1725,10.519,10.945,112.8,4.8,26.0,15.39,244.6
2024-04-05 00:00:00.000,218.3120833333333,-68.37249999999999,10.503,10.973,115.6,4.7,26.0,15.57,249.8
2024-04-10 00:00:00.000,216.95791666666665,-68.52972222222222,10.492,11.001,118.2,4.6,26.0,15.73,255.0
2024-04-15 00:00:00.000,215.55083333333332,-68.64277777777778,10.485,11.029,120.6,4.5,26.0,15.83,260.1
2024-04-20 00:00:00.000,214.10833333333332,-68.71027777777778,10.482,11.056,122.6,4.4,26.0,15.9,265.2
2024-04-25 00:00:00.000,212.64874999999998,-68.73194444444445,10.484,11.084,124.4,4.3,26.0,15.91,270.1
2024-04-30 00:00:00.000,211.19041666666664,-68.70833333333334,10.491,11.112,125.9,4.2,26.1,15.87,275.0
2024-05-05 00:00:00.000,209.7520833333333,-68.64055555555557,10.503,11.14,127.0,4.1,26.1,15.78,279.8
2024-05-10 00:00:00.000,208.3508333333333,-68.53027777777778,10.521,11.167,127.7,4.1,26.1,15.61,284.5
2024-05-15 00:00:00.000,207.00416666666663,-68.38055555555555,10.544,11.195,128.1,4.1,26.1,15.39,289.2
