Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-07-10 00:00:00.000,12.822916666666664,26.733333333333334,9.159,9.131,85.2,6.4,25.4,9.65,344.9
2022-07-15 00:00:00.000,12.705833333333333,27.036944444444448,9.112,9.163,89.7,6.4,25.4,9.65,337.0
2022-07-20 00:00:00.000,12.540416666666665,27.325,9.066,9.196,94.2,6.3,25.4,9.8,329.0
2022-07-25 00:00:00.000,12.326666666666664,27.59611111111111,9.02,9.228,98.7,6.2,25.4,10.09,321.1
2022-07-30 00:00:00.000,12.064166666666667,27.848333333333333,8.975,9.261,103.3,6.1,25.4,10.52,313.7
2022-08-04 00:00:00.000,11.753749999999998,28.08,8.933,9.294,107.8,6.0,25.4,11.05,306.9
2022-08-09 00:00:00.000,11.397083333333331,28.290000000000003,8.893,9.326,112.4,5.8,25.4,11.66,300.7
2022-08-14 00:00:00.000,10.995416666666666,28.476666666666667,8.856,9.359,116.9,5.5,25.4,12.33,295.1
2022-08-19 00:00:00.000,10.551249999999998,28.63861111111111,8.823,9.391,121.5,5.3,25.5,13.03,290.1
2022-08-24 00:00:00.000,10.067499999999997,28.775,8.793,9.423,126.0,5.0,25.5,13.73,285.6
2022-08-29 00:00:00.000,9.547083333333331,28.884444444444444,8.769,9.456,130.5,4.7,25.5,14.4,281.5
2022-09-03 00:00:00.000,8.994166666666665,28.96611111111111,8.75,9.488,134.8,4.3,25.5,15.03,277.8
2022-11-17 00:00:00.000,0.6045833333333333,27.447222222222223,9.277,9.97,132.4,4.2,25.8,10.94,239.3
2022-11-22 00:00:00.000,0.27499999999999997,27.263055555555557,9.365,10.002,127.8,4.5,25.9,9.81,236.2
2022-11-27 00:00:00.000,359.9933333333333,27.084722222222222,9.459,10.034,123.2,4.7,25.9,8.64,232.7
2022-12-02 00:00:00.000,359.76041666666663,26.915,9.557,10.065,118.6,4.9,25.9,7.44,228.5
2022-12-07 00:00:00.000,359.5766666666666,26.756666666666668,9.658,10.097,113.9,5.1,26.0,6.25,223.1
2022-12-12 00:00:00.000,359.44124999999997,26.611666666666668,9.763,10.129,109.2,5.3,26.0,5.1,215.8
2022-12-17 00:00:00.000,359.35374999999993,26.481388888888887,9.87,10.161,104.5,5.4,26.0,4.05,205.2
2022-12-22 00:00:00.000,359.3129166666666,26.368055555555557,9.979,10.192,99.8,5.5,26.1,3.18,188.7
2022-12-27 00:00:00.000,359.31749999999994,26.272499999999997,10.089,10.224,95.1,5.5,26.1,2.68,164.4
2023-01-01 00:00:00.000,359.3658333333333,26.19638888888889,10.2,10.256,90.5,5.5,26.2,2.73,136.8
2023-01-06 00:00:00.000,359.4554166666666,26.140277777777776,10.311,10.287,85.9,5.5,26.2,3.26,115.0
2023-07-15 00:00:00.000,9.110416666666666,34.63138888888889,11.438,11.466,89.1,5.1,26.9,8.67,336.2
2023-07-20 00:00:00.000,8.948333333333332,34.88861111111111,11.394,11.497,93.3,5.1,26.9,8.74,329.0
2023-07-25 00:00:00.000,8.744583333333333,35.13055555555555,11.351,11.527,97.5,5.0,26.9,8.9,321.9
2023-07-30 00:00:00.000,8.500416666666665,35.35527777777778,11.309,11.558,101.7,4.9,26.9,9.15,315.1
2023-08-04 00:00:00.000,8.216666666666667,35.56166666666666,11.269,11.588,105.9,4.8,26.9,9.46,308.6
2023-08-09 00:00:00.000,7.894583333333332,35.74805555555556,11.231,11.618,110.1,4.7,26.9,9.84,302.5
2023-08-14 00:00:00.000,7.535833333333333,35.913333333333334,11.195,11.649,114.3,4.5,26.9,10.25,296.8
2023-08-19 00:00:00.000,7.142083333333333,36.05555555555555,11.163,11.679,118.4,4.4,26.9,10.69,291.5
2023-08-24 00:00:00.000,6.716666666666666,36.17388888888889,11.135,11.709,122.5,4.2,26.9,11.13,286.6
2023-08-29 00:00:00.000,6.2625,36.2675,11.112,11.74,126.4,4.0,26.9,11.56,282.1
2023-09-03 00:00:00.000,5.783333333333333,36.33583333333333,11.092,11.77,130.3,3.8,26.9,11.97,278.0
2023-09-08 00:00:00.000,5.282916666666666,36.378055555555555,11.079,11.8,133.9,3.5,26.9,12.34,274.1
2023-11-12 00:00:00.000,359.01,34.89805555555556,11.477,12.19,134.4,3.3,27.2,10.18,233.1
2023-11-17 00:00:00.000,358.69833333333327,34.69333333333333,11.552,12.22,130.7,3.5,27.2,9.47,229.4
2023-11-22 00:00:00.000,358.42708333333326,34.48833333333334,11.633,12.25,126.8,3.7,27.2,8.72,225.4
2023-11-27 00:00:00.000,358.19666666666666,34.28611111111111,11.718,12.28,122.7,3.9,27.2,7.94,220.9
2023-12-02 00:00:00.000,358.00791666666663,34.08888888888889,11.808,12.31,118.5,4.0,27.3,7.16,215.6
2023-12-07 00:00:00.000,357.86083333333335,33.89888888888889,11.902,12.339,114.3,4.2,27.3,6.39,209.4
2023-12-12 00:00:00.000,357.7558333333333,33.718333333333334,11.998,12.369,110.0,4.3,27.3,5.65,201.8
2023-12-17 00:00:00.000,357.6929166666666,33.54944444444444,12.098,12.399,105.6,4.4,27.3,4.99,192.4
2023-12-22 00:00:00.000,357.6704166666666,33.39416666666666,12.199,12.428,101.2,4.5,27.4,4.44,180.8
2023-12-27 00:00:00.000,357.68708333333325,33.25388888888889,12.302,12.458,96.8,4.5,27.4,4.07,167.2
2024-01-01 00:00:00.000,357.7416666666666,33.13,12.406,12.488,92.5,4.5,27.4,3.92,152.1
2024-01-06 00:00:00.000,357.8329166666667,33.02305555555555,12.511,12.517,88.1,4.5,27.5,4.01,137.0
