Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-06 00:00:00.000,179.3095833333333,7.142222222222222,4.978,5.691,131.0,7.7,26.3,12.66,286.1
2022-05-11 00:00:00.000,178.93416666666664,7.242222222222222,5.044,5.695,125.9,8.3,26.3,10.47,283.8
2022-05-16 00:00:00.000,178.62708333333333,7.3086111111111105,5.114,5.698,120.8,8.8,26.3,8.25,280.4
2022-05-21 00:00:00.000,178.38916666666663,7.341944444444444,5.187,5.701,115.8,9.2,26.3,6.06,274.8
2022-05-26 00:00:00.000,178.22124999999997,7.342777777777777,5.264,5.704,110.9,9.6,26.4,3.98,263.5
2022-05-31 00:00:00.000,178.12333333333333,7.3125,5.343,5.707,106.0,9.8,26.4,2.32,233.7
2022-06-05 00:00:00.000,178.095,7.251666666666667,5.424,5.709,101.3,10.0,26.4,2.27,175.6
2022-06-10 00:00:00.000,178.13416666666666,7.161944444444445,5.506,5.712,96.6,10.2,26.5,3.78,145.2
2022-06-15 00:00:00.000,178.23875,7.045277777777778,5.589,5.714,92.0,10.2,26.5,5.63,133.7
2022-06-20 00:00:00.000,178.40666666666664,6.9030555555555555,5.671,5.716,87.4,10.2,26.5,7.51,128.1
2023-01-11 00:00:00.000,205.07874999999996,-3.608888888888889,5.665,5.675,85.6,9.9,26.5,9.11,90.3
2023-01-16 00:00:00.000,205.35166666666666,-3.596388888888889,5.577,5.671,90.4,10.0,26.5,7.25,83.6
2023-01-21 00:00:00.000,205.55874999999997,-3.554444444444444,5.49,5.667,95.3,10.0,26.4,5.46,71.9
2023-01-26 00:00:00.000,205.6970833333333,-3.4830555555555556,5.403,5.662,100.3,9.9,26.4,4.03,49.9
2023-01-31 00:00:00.000,205.76375,-3.381666666666667,5.317,5.657,105.3,9.7,26.4,3.6,14.7
2023-02-05 00:00:00.000,205.7575,-3.2508333333333335,5.233,5.653,110.4,9.4,26.3,4.56,343.3
2023-02-10 00:00:00.000,205.67624999999995,-3.0908333333333333,5.152,5.648,115.5,9.1,26.3,6.33,325.7
2023-02-15 00:00:00.000,205.51916666666665,-2.902222222222222,5.074,5.642,120.7,8.7,26.3,8.43,316.1
2023-02-20 00:00:00.000,205.28583333333333,-2.6861111111111113,4.999,5.637,126.0,8.2,26.2,10.65,310.3
2023-02-25 00:00:00.000,204.9775,-2.443888888888889,4.929,5.632,131.3,7.6,26.2,12.86,306.4
2023-05-21 00:00:00.000,194.42041666666663,2.2319444444444447,4.781,5.515,132.5,7.8,26.1,14.11,283.4
2023-05-26 00:00:00.000,193.9958333333333,2.3238888888888884,4.833,5.507,127.4,8.4,26.1,11.93,280.8
2023-05-31 00:00:00.000,193.63916666666665,2.381388888888889,4.89,5.499,122.3,9.0,26.1,9.72,277.2
2023-06-05 00:00:00.000,193.35291666666663,2.404722222222222,4.95,5.49,117.3,9.5,26.1,7.51,271.5
2023-06-10 00:00:00.000,193.13833333333332,2.395,5.014,5.481,112.4,9.9,26.2,5.42,261.7
2023-06-15 00:00:00.000,192.99541666666664,2.3530555555555557,5.08,5.472,107.5,10.2,26.2,3.63,241.4
2023-06-20 00:00:00.000,192.92541666666665,2.279722222222222,5.148,5.463,102.8,10.5,26.2,2.85,201.2
2023-06-25 00:00:00.000,192.92624999999995,2.176111111111111,5.218,5.454,98.1,10.6,26.2,3.7,162.8
2023-06-30 00:00:00.000,192.99749999999997,2.0444444444444443,5.288,5.445,93.5,10.7,26.3,5.38,144.1
2023-07-05 00:00:00.000,193.13583333333332,1.886111111111111,5.358,5.435,88.9,10.8,26.3,7.26,134.9
2024-01-31 00:00:00.000,224.30249999999998,-9.17861111111111,4.852,4.879,85.7,11.6,25.8,12.81,88.5
2024-02-05 00:00:00.000,224.7,-9.153611111111111,4.754,4.862,90.4,11.7,25.8,10.76,83.8
2024-02-10 00:00:00.000,225.0233333333333,-9.100555555555555,4.656,4.844,95.1,11.7,25.7,8.68,76.6
2024-02-15 00:00:00.000,225.26833333333332,-9.019444444444446,4.558,4.827,99.9,11.6,25.7,6.7,64.7
2024-02-20 00:00:00.000,225.4308333333333,-8.909722222222223,4.461,4.809,104.8,11.5,25.6,5.14,43.8
2024-02-25 00:00:00.000,225.5075,-8.771944444444445,4.366,4.791,109.7,11.2,25.6,4.65,11.9
2024-03-01 00:00:00.000,225.495,-8.606388888888889,4.273,4.773,114.7,10.9,25.5,5.65,342.2
2024-03-06 00:00:00.000,225.39,-8.413333333333334,4.183,4.755,119.8,10.4,25.5,7.66,324.0
2024-03-11 00:00:00.000,225.19124999999997,-8.193611111111112,4.096,4.736,125.0,9.9,25.4,10.11,313.6
2024-03-16 00:00:00.000,224.89708333333328,-7.948611111111111,4.014,4.717,130.2,9.3,25.4,12.73,307.3
