Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-06 00:00:00.000,324.97374999999994,-23.298333333333336,6.173,6.179,85.7,9.4,23.4,9.66,84.7
2022-05-11 00:00:00.000,325.29166666666663,-23.279166666666665,6.112,6.198,90.2,9.4,23.4,7.89,88.2
2022-05-16 00:00:00.000,325.5458333333333,-23.281944444444445,6.052,6.217,94.7,9.3,23.4,6.12,93.8
2022-05-21 00:00:00.000,325.7345833333333,-23.30611111111111,5.992,6.236,99.3,9.2,23.3,4.41,103.7
2022-05-26 00:00:00.000,325.8566666666666,-23.351666666666667,5.933,6.255,103.9,9.0,23.3,2.95,124.9
2022-05-31 00:00:00.000,325.9099999999999,-23.418055555555558,5.876,6.274,108.7,8.8,23.3,2.36,167.3
2022-06-05 00:00:00.000,325.89416666666665,-23.505,5.82,6.293,113.4,8.5,23.3,3.21,205.6
2022-06-10 00:00:00.000,325.8095833333333,-23.610555555555557,5.768,6.312,118.2,8.1,23.3,4.75,223.5
2022-06-15 00:00:00.000,325.65666666666664,-23.733611111111113,5.719,6.33,123.1,7.7,23.3,6.46,232.5
2022-06-20 00:00:00.000,325.4370833333333,-23.872222222222224,5.673,6.349,128.0,7.2,23.3,8.19,237.7
2022-06-25 00:00:00.000,325.15208333333334,-24.024444444444445,5.632,6.368,132.9,6.7,23.3,9.89,241.3
2022-09-23 00:00:00.000,315.74666666666667,-25.91472222222222,6.0,6.695,130.5,6.6,23.6,8.47,281.2
2022-09-28 00:00:00.000,315.4708333333333,-25.849722222222223,6.082,6.713,125.4,7.0,23.6,6.96,289.0
2022-10-03 00:00:00.000,315.2595833333333,-25.764166666666668,6.167,6.73,120.5,7.4,23.6,5.59,300.7
2022-10-08 00:00:00.000,315.11499999999995,-25.659444444444443,6.257,6.748,115.5,7.7,23.6,4.56,318.6
2022-10-13 00:00:00.000,315.0366666666666,-25.53666666666667,6.349,6.765,110.6,7.9,23.7,4.13,342.9
2022-10-18 00:00:00.000,315.0249999999999,-25.396666666666665,6.444,6.783,105.8,8.1,23.7,4.48,7.4
2022-10-23 00:00:00.000,315.07916666666665,-25.240833333333335,6.541,6.8,100.9,8.3,23.7,5.44,25.6
2022-10-28 00:00:00.000,315.1975,-25.06972222222222,6.639,6.818,96.1,8.3,23.8,6.73,37.4
2022-11-02 00:00:00.000,315.3791666666666,-24.884722222222223,6.738,6.835,91.4,8.3,23.8,8.15,45.1
2022-11-07 00:00:00.000,315.6208333333333,-24.686666666666667,6.837,6.852,86.7,8.3,23.9,9.6,50.3
2023-05-26 00:00:00.000,339.41875,-15.323611111111111,7.45,7.5,89.0,7.8,24.2,5.71,78.6
2023-05-31 00:00:00.000,339.5870833333333,-15.296111111111111,7.384,7.516,93.6,7.7,24.2,4.17,82.8
2023-06-05 00:00:00.000,339.7045833333333,-15.288611111111111,7.318,7.531,98.2,7.7,24.2,2.65,91.6
2023-06-10 00:00:00.000,339.7704166666666,-15.301111111111112,7.254,7.546,102.9,7.5,24.2,1.32,120.5
2023-06-15 00:00:00.000,339.7829166666666,-15.333333333333334,7.19,7.561,107.7,7.4,24.2,1.32,197.5
2023-06-20 00:00:00.000,339.74249999999995,-15.384722222222221,7.129,7.576,112.5,7.1,24.2,2.67,226.7
2023-06-25 00:00:00.000,339.64874999999995,-15.455277777777777,7.07,7.591,117.3,6.8,24.2,4.21,235.6
2023-06-30 00:00:00.000,339.50249999999994,-15.543333333333333,7.015,7.605,122.2,6.5,24.2,5.75,239.8
2023-07-05 00:00:00.000,339.305,-15.647777777777778,6.963,7.62,127.1,6.1,24.2,7.26,242.4
2023-07-10 00:00:00.000,339.05791666666664,-15.767222222222223,6.916,7.635,132.1,5.7,24.2,8.71,244.1
2023-10-08 00:00:00.000,331.15124999999995,-18.016944444444444,7.183,7.892,132.4,5.4,24.4,8.33,267.2
2023-10-13 00:00:00.000,330.88374999999996,-18.02027777777778,7.261,7.906,127.3,5.8,24.4,6.94,271.6
2023-10-18 00:00:00.000,330.6658333333333,-18.004166666666666,7.343,7.919,122.2,6.1,24.4,5.53,278.1
2023-10-23 00:00:00.000,330.5,-17.968055555555555,7.429,7.933,117.1,6.4,24.4,4.21,289.0
2023-10-28 00:00:00.000,330.38708333333324,-17.913055555555555,7.519,7.947,112.1,6.7,24.4,3.14,308.1
2023-11-02 00:00:00.000,330.3275,-17.839444444444442,7.611,7.96,107.1,6.8,24.4,2.66,339.0
2023-11-07 00:00:00.000,330.3204166666666,-17.747777777777777,7.706,7.974,102.2,7.0,24.5,3.07,10.6
2023-11-12 00:00:00.000,330.3666666666666,-17.638333333333332,7.802,7.987,97.2,7.1,24.5,4.09,30.3
2023-11-17 00:00:00.000,330.4649999999999,-17.51222222222222,7.899,8.001,92.4,7.1,24.5,5.36,41.3
2023-11-22 00:00:00.000,330.61375,-17.37027777777778,7.996,8.014,87.5,7.1,24.6,6.7,47.9
