Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-11-12 00:00:00.000,146.19166666666663,15.455277777777777,4.643,4.68,86.0,12.2,20.0,18.78,110.0
2022-11-17 00:00:00.000,146.76708333333332,15.251388888888888,4.558,4.672,90.5,12.2,20.0,16.65,110.3
2022-11-22 00:00:00.000,147.26916666666665,15.070277777777777,4.473,4.663,95.0,12.2,19.9,14.37,110.7
2022-11-27 00:00:00.000,147.69416666666666,14.91388888888889,4.388,4.656,99.6,12.1,19.9,11.97,111.1
2022-12-02 00:00:00.000,148.03833333333333,14.78361111111111,4.305,4.648,104.3,11.9,19.8,9.47,111.7
2022-12-07 00:00:00.000,148.29958333333332,14.680555555555555,4.223,4.64,109.1,11.6,19.8,6.89,112.9
2022-12-12 00:00:00.000,148.475,14.605555555555556,4.144,4.632,114.0,11.2,19.7,4.23,115.6
2022-12-17 00:00:00.000,148.56208333333333,14.55888888888889,4.067,4.625,119.0,10.7,19.7,1.56,127.9
2022-12-22 00:00:00.000,148.55916666666667,14.541666666666666,3.994,4.618,124.1,10.2,19.7,1.39,266.4
2022-12-27 00:00:00.000,148.46666666666664,14.553055555555556,3.925,4.61,129.2,9.5,19.6,4.07,280.9
2023-01-01 00:00:00.000,148.28541666666666,14.592500000000001,3.86,4.603,134.5,8.8,19.6,6.71,283.7
2023-03-27 00:00:00.000,139.73499999999999,16.484166666666667,3.778,4.499,131.3,9.6,19.4,6.01,269.0
2023-04-01 00:00:00.000,139.57083333333333,16.46722222222222,3.831,4.494,126.2,10.3,19.4,3.53,255.2
2023-04-06 00:00:00.000,139.49791666666664,16.42388888888889,3.888,4.489,121.2,11.0,19.5,1.88,204.6
2023-04-11 00:00:00.000,139.51666666666665,16.353611111111114,3.949,4.484,116.3,11.5,19.5,3.11,143.4
2023-04-16 00:00:00.000,139.62666666666667,16.25722222222222,4.013,4.48,111.6,12.0,19.5,5.56,126.3
2023-04-21 00:00:00.000,139.82749999999996,16.134444444444444,4.079,4.475,106.9,12.4,19.6,8.16,119.9
2023-04-26 00:00:00.000,140.11666666666665,15.98611111111111,4.146,4.471,102.3,12.7,19.6,10.74,116.8
2023-05-01 00:00:00.000,140.4908333333333,15.812222222222223,4.216,4.466,97.9,12.9,19.6,13.23,114.9
2023-05-06 00:00:00.000,140.94666666666666,15.614166666666666,4.286,4.462,93.5,13.0,19.7,15.62,113.8
2023-05-11 00:00:00.000,141.47916666666663,15.3925,4.356,4.458,89.2,13.1,19.7,17.9,113.0
2024-01-01 00:00:00.000,192.15916666666664,-7.237222222222222,4.392,4.429,85.7,12.8,19.7,20.64,119.1
2024-01-06 00:00:00.000,192.72958333333332,-7.557777777777778,4.318,4.431,90.2,12.8,19.6,18.34,120.1
2024-01-11 00:00:00.000,193.22541666666666,-7.848888888888888,4.244,4.434,94.7,12.8,19.6,15.91,121.4
2024-01-16 00:00:00.000,193.64249999999998,-8.109444444444444,4.171,4.437,99.3,12.6,19.6,13.38,123.3
2024-01-21 00:00:00.000,193.97791666666663,-8.337777777777779,4.099,4.441,104.0,12.4,19.5,10.79,126.1
2024-01-26 00:00:00.000,194.22916666666666,-8.533055555555556,4.028,4.444,108.8,12.1,19.5,8.18,130.9
2024-01-31 00:00:00.000,194.39416666666662,-8.693888888888889,3.96,4.447,113.6,11.7,19.5,5.6,140.2
2024-02-05 00:00:00.000,194.4708333333333,-8.819722222222222,3.894,4.451,118.6,11.2,19.4,3.37,163.6
2024-02-10 00:00:00.000,194.45791666666665,-8.909166666666668,3.832,4.455,123.6,10.6,19.4,2.73,218.4
2024-02-15 00:00:00.000,194.3570833333333,-8.962222222222222,3.774,4.459,128.7,10.0,19.4,4.41,256.3
2024-02-20 00:00:00.000,194.17,-8.97888888888889,3.72,4.463,133.9,9.2,19.3,6.77,270.3
2024-05-15 00:00:00.000,186.2520833333333,-6.429166666666667,3.791,4.55,133.9,9.2,19.5,5.89,296.2
