Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-21 00:00:00.000,340.40124999999995,-24.46611111111111,7.44,7.459,87.2,7.8,19.7,8.01,87.5
2022-05-26 00:00:00.000,340.66958333333326,-24.465,7.348,7.445,91.6,7.8,19.7,6.65,92.5
2022-05-31 00:00:00.000,340.88708333333324,-24.485277777777778,7.255,7.43,96.0,7.8,19.7,5.3,100.1
2022-06-05 00:00:00.000,341.0516666666666,-24.52638888888889,7.163,7.416,100.5,7.7,19.6,4.06,112.5
2022-06-10 00:00:00.000,341.16125,-24.58833333333333,7.073,7.402,105.1,7.6,19.6,3.1,133.9
2022-06-15 00:00:00.000,341.215,-24.669722222222223,6.984,7.387,109.6,7.4,19.6,2.81,165.7
2022-06-20 00:00:00.000,341.2116666666666,-24.76972222222222,6.897,7.373,114.2,7.2,19.6,3.39,195.0
2022-06-25 00:00:00.000,341.1504166666667,-24.88722222222222,6.814,7.358,118.9,6.9,19.5,4.51,213.2
2022-06-30 00:00:00.000,341.0304166666666,-25.020833333333332,6.733,7.344,123.5,6.6,19.5,5.86,223.9
2022-07-05 00:00:00.000,340.85124999999994,-25.168055555555558,6.657,7.329,128.2,6.3,19.5,7.28,230.8
2022-07-10 00:00:00.000,340.61499999999995,-25.326944444444443,6.585,7.315,132.9,5.8,19.5,8.7,235.6
2022-10-03 00:00:00.000,332.0295833333333,-26.915277777777778,6.34,7.062,133.2,5.9,19.3,11.37,284.4
2022-10-08 00:00:00.000,331.64416666666665,-26.807222222222222,6.384,7.047,128.3,6.4,19.3,10.28,290.8
2022-10-13 00:00:00.000,331.3133333333333,-26.672222222222224,6.433,7.032,123.4,6.8,19.3,9.24,298.8
2022-10-18 00:00:00.000,331.0408333333333,-26.511111111111113,6.487,7.017,118.5,7.2,19.3,8.34,308.7
2022-10-23 00:00:00.000,330.8295833333333,-26.325,6.543,7.002,113.6,7.5,19.3,7.67,320.9
2022-10-28 00:00:00.000,330.68125,-26.114722222222223,6.603,6.986,108.8,7.7,19.3,7.34,334.9
2022-11-02 00:00:00.000,330.5979166666666,-25.88222222222222,6.665,6.971,103.9,7.9,19.3,7.43,349.3
2022-11-07 00:00:00.000,330.57916666666665,-25.628888888888888,6.729,6.956,99.2,8.1,19.4,7.91,2.6
2022-11-12 00:00:00.000,330.62416666666667,-25.35611111111111,6.794,6.94,94.4,8.2,19.4,8.71,13.8
2022-11-17 00:00:00.000,330.7320833333333,-25.065,6.86,6.925,89.7,8.2,19.4,9.74,22.8
2023-06-10 00:00:00.000,355.9929166666666,-10.526944444444446,6.251,6.271,86.5,9.3,18.9,10.39,64.2
2023-06-15 00:00:00.000,356.28416666666664,-10.386944444444444,6.156,6.255,90.9,9.3,18.9,8.71,63.7
2023-06-20 00:00:00.000,356.52124999999995,-10.269722222222223,6.06,6.238,95.4,9.3,18.9,6.94,62.7
2023-06-25 00:00:00.000,356.70124999999996,-10.174999999999999,5.966,6.222,99.9,9.3,18.8,5.11,60.8
2023-06-30 00:00:00.000,356.8225,-10.103055555555555,5.872,6.205,104.5,9.1,18.8,3.25,56.1
2023-07-05 00:00:00.000,356.88375,-10.05388888888889,5.781,6.189,109.1,8.9,18.8,1.45,38.1
2023-07-10 00:00:00.000,356.88249999999994,-10.026944444444446,5.691,6.172,113.8,8.7,18.7,1.07,296.0
2023-07-15 00:00:00.000,356.81791666666663,-10.0225,5.604,6.155,118.6,8.3,18.7,2.87,266.3
2023-07-20 00:00:00.000,356.6883333333333,-10.039166666666667,5.52,6.139,123.4,7.9,18.7,4.84,260.3
2023-07-25 00:00:00.000,356.49458333333325,-10.07611111111111,5.44,6.122,128.3,7.5,18.6,6.81,258.2
2023-07-30 00:00:00.000,356.23749999999995,-10.131666666666668,5.365,6.106,133.3,7.0,18.6,8.73,257.2
2023-10-23 00:00:00.000,347.0587499999999,-11.29888888888889,5.08,5.821,134.5,7.0,18.4,12.04,279.9
2023-10-28 00:00:00.000,346.6870833333333,-11.216111111111111,5.124,5.804,129.2,7.6,18.4,10.42,286.2
2023-11-02 00:00:00.000,346.3795833333333,-11.105277777777777,5.173,5.787,124.0,8.2,18.4,8.89,294.9
2023-11-07 00:00:00.000,346.1404166666666,-10.966666666666667,5.225,5.77,118.9,8.6,18.4,7.56,307.2
2023-11-12 00:00:00.000,345.97124999999994,-10.800555555555556,5.282,5.753,113.8,9.1,18.4,6.67,324.0
2023-11-17 00:00:00.000,345.8745833333333,-10.606944444444444,5.341,5.736,108.8,9.4,18.4,6.47,344.0
2023-11-22 00:00:00.000,345.8508333333333,-10.386388888888888,5.402,5.719,103.8,9.7,18.4,7.02,2.9
2023-11-27 00:00:00.000,345.8983333333333,-10.139999999999999,5.465,5.703,98.9,9.8,18.4,8.15,17.6
2023-12-02 00:00:00.000,346.01666666666665,-9.86888888888889,5.529,5.686,94.1,10.0,18.5,9.63,28.0
2023-12-07 00:00:00.000,346.2041666666666,-9.573888888888888,5.594,5.669,89.3,10.0,18.5,11.29,35.4
