Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,289.4333333333333,-8.108333333333333,3.993,4.437,109.8,12.3,23.5,4.71,333.0
2022-05-06 00:00:00.000,289.31291666666664,-7.9783333333333335,3.954,4.469,114.6,11.8,23.5,6.16,305.6
2022-05-11 00:00:00.000,289.09666666666664,-7.87,3.917,4.5,119.4,11.3,23.5,8.34,290.4
2022-05-16 00:00:00.000,288.78791666666666,-7.784722222222222,3.883,4.531,124.3,10.6,23.5,10.75,281.8
2022-05-21 00:00:00.000,288.38999999999993,-7.724166666666667,3.854,4.562,129.2,9.9,23.5,13.18,276.2
2022-05-26 00:00:00.000,287.90791666666667,-7.690277777777778,3.829,4.593,134.2,9.1,23.5,15.55,272.3
2022-08-14 00:00:00.000,277.02666666666664,-10.460555555555555,4.305,5.069,134.7,8.2,24.2,13.78,231.8
2022-08-19 00:00:00.000,276.69999999999993,-10.744166666666667,4.39,5.098,129.9,8.8,24.3,11.96,224.7
2022-08-24 00:00:00.000,276.45625,-11.026666666666667,4.479,5.127,125.0,9.3,24.4,10.31,215.2
2022-08-29 00:00:00.000,276.2966666666666,-11.305555555555557,4.572,5.155,120.2,9.7,24.4,8.99,202.6
2022-09-03 00:00:00.000,276.22124999999994,-11.579166666666666,4.669,5.184,115.5,10.1,24.5,8.17,186.9
2022-09-08 00:00:00.000,276.22916666666663,-11.845555555555556,4.769,5.212,110.7,10.4,24.6,8.0,169.8
2022-09-13 00:00:00.000,276.3175,-12.10361111111111,4.871,5.24,106.1,10.6,24.6,8.47,153.7
2022-09-18 00:00:00.000,276.4841666666666,-12.351666666666667,4.975,5.268,101.5,10.8,24.7,9.44,140.5
2022-09-23 00:00:00.000,276.72625,-12.589166666666667,5.081,5.296,96.9,10.8,24.8,10.73,130.4
2022-09-28 00:00:00.000,277.04124999999993,-12.814722222222223,5.187,5.324,92.4,10.8,24.8,12.18,122.7
2022-10-03 00:00:00.000,277.42541666666665,-13.027222222222223,5.294,5.352,87.9,10.8,24.9,13.68,116.8
2023-04-26 00:00:00.000,307.8170833333333,-11.088055555555556,6.354,6.395,87.8,9.0,26.1,6.32,64.3
2023-05-01 00:00:00.000,307.9795833333333,-11.004166666666666,6.296,6.419,92.5,9.0,26.1,4.5,59.3
2023-05-06 00:00:00.000,308.0795833333333,-10.935277777777777,6.238,6.442,97.2,8.9,26.1,2.72,47.9
2023-05-11 00:00:00.000,308.11625000000004,-10.882777777777779,6.181,6.465,101.9,8.8,26.1,1.33,6.2
2023-05-16 00:00:00.000,308.08916666666664,-10.847222222222223,6.125,6.488,106.7,8.6,26.1,1.92,294.4
2023-05-21 00:00:00.000,307.99749999999995,-10.83,6.071,6.511,111.6,8.3,26.1,3.65,273.8
2023-05-26 00:00:00.000,307.8424999999999,-10.831388888888888,6.019,6.534,116.5,8.0,26.0,5.51,266.6
2023-05-31 00:00:00.000,307.62499999999994,-10.852222222222222,5.971,6.557,121.4,7.6,26.0,7.36,262.9
2023-06-05 00:00:00.000,307.3470833333333,-10.892222222222221,5.926,6.579,126.4,7.1,26.0,9.16,260.6
2023-06-10 00:00:00.000,307.01208333333324,-10.951388888888888,5.886,6.602,131.5,6.6,26.0,10.89,259.1
2023-09-08 00:00:00.000,297.76874999999995,-14.029166666666667,6.279,6.993,131.9,6.2,26.4,9.98,237.6
2023-09-13 00:00:00.000,297.50833333333327,-14.203055555555554,6.363,7.014,126.9,6.6,26.5,8.41,232.9
2023-09-18 00:00:00.000,297.30791666666664,-14.366944444444444,6.452,7.034,121.8,7.0,26.5,6.86,226.1
2023-09-23 00:00:00.000,297.16875,-14.520000000000001,6.545,7.055,116.8,7.3,26.6,5.42,215.4
2023-09-28 00:00:00.000,297.09166666666664,-14.661388888888888,6.641,7.076,111.9,7.6,26.6,4.28,198.4
2023-10-03 00:00:00.000,297.0754166666666,-14.790833333333333,6.739,7.096,107.0,7.8,26.7,3.72,173.7
2023-10-08 00:00:00.000,297.1195833333333,-14.907777777777778,6.84,7.117,102.1,7.9,26.7,3.95,147.0
2023-10-13 00:00:00.000,297.22375,-15.011666666666667,6.942,7.137,97.3,8.0,26.7,4.85,127.1
2023-10-18 00:00:00.000,297.38583333333327,-15.102222222222222,7.045,7.157,92.5,8.0,26.8,6.07,114.5
2023-10-23 00:00:00.000,297.6045833333333,-15.179444444444444,7.148,7.177,87.7,8.0,26.8,7.42,106.5
2024-05-05 00:00:00.000,318.86125,-11.659444444444444,7.891,7.902,87.0,7.3,27.5,4.67,71.2
2024-05-10 00:00:00.000,318.9866666666666,-11.616944444444444,7.825,7.919,91.7,7.3,27.5,3.14,70.5
2024-05-15 00:00:00.000,319.0620833333333,-11.59,7.759,7.936,96.4,7.3,27.4,1.58,68.9
