Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-12-02 00:00:00.000,164.50666666666663,14.837222222222223,5.454,5.533,89.4,10.3,19.1,11.98,100.4
2022-12-07 00:00:00.000,164.88041666666663,14.779444444444445,5.377,5.536,94.1,10.2,19.1,9.97,97.5
2022-12-12 00:00:00.000,165.18749999999997,14.750277777777777,5.3,5.538,98.9,10.1,19.1,7.91,93.2
2022-12-17 00:00:00.000,165.42416666666668,14.75,5.225,5.541,103.7,9.9,19.0,5.85,85.8
2022-12-22 00:00:00.000,165.58874999999998,14.77888888888889,5.151,5.543,108.6,9.7,19.0,3.92,70.5
2022-12-27 00:00:00.000,165.67874999999998,14.836944444444445,5.079,5.546,113.6,9.4,19.0,2.64,35.0
2023-01-01 00:00:00.000,165.6933333333333,14.923055555555555,5.01,5.549,118.6,9.0,18.9,3.06,347.4
2023-01-06 00:00:00.000,165.6325,15.035555555555556,4.945,5.551,123.7,8.5,18.9,4.72,322.9
2023-01-11 00:00:00.000,165.4970833333333,15.173333333333332,4.883,5.554,128.9,7.9,18.9,6.71,311.9
2023-01-16 00:00:00.000,165.28833333333333,15.33361111111111,4.827,5.557,134.1,7.3,18.9,8.74,305.9
2023-04-11 00:00:00.000,157.04666666666665,17.873055555555556,4.895,5.605,131.2,7.7,18.9,8.13,263.0
2023-04-16 00:00:00.000,156.79749999999999,17.825,4.958,5.608,126.2,8.3,19.0,6.41,252.9
2023-04-21 00:00:00.000,156.6183333333333,17.747222222222224,5.025,5.612,121.2,8.8,19.0,4.96,236.0
2023-04-26 00:00:00.000,156.51,17.640277777777776,5.095,5.615,116.3,9.2,19.0,4.17,209.6
2023-05-01 00:00:00.000,156.47374999999997,17.505555555555556,5.169,5.618,111.6,9.6,19.1,4.45,180.2
2023-05-06 00:00:00.000,156.50875,17.344444444444445,5.245,5.621,106.8,9.9,19.1,5.59,158.9
2023-05-11 00:00:00.000,156.61374999999998,17.158055555555553,5.323,5.624,102.2,10.1,19.1,7.17,146.1
2023-05-16 00:00:00.000,156.7870833333333,16.947777777777777,5.403,5.627,97.7,10.3,19.2,8.92,138.2
2023-05-21 00:00:00.000,157.02708333333334,16.715,5.483,5.63,93.2,10.3,19.2,10.71,133.1
2023-05-26 00:00:00.000,157.33083333333332,16.460555555555555,5.564,5.634,88.8,10.4,19.2,12.49,129.5
2023-12-27 00:00:00.000,190.2758333333333,0.6675,5.782,5.788,85.5,9.8,19.4,12.47,110.1
2024-01-01 00:00:00.000,190.63666666666663,0.5377777777777778,5.705,5.791,90.1,9.8,19.4,10.52,109.4
2024-01-06 00:00:00.000,190.93624999999997,0.43444444444444447,5.628,5.795,94.9,9.7,19.4,8.47,108.5
2024-01-11 00:00:00.000,191.17166666666662,0.35888888888888887,5.551,5.799,99.7,9.6,19.4,6.35,107.0
2024-01-16 00:00:00.000,191.34041666666664,0.3108333333333333,5.476,5.803,104.6,9.4,19.3,4.18,104.2
2024-01-21 00:00:00.000,191.44166666666663,0.29027777777777775,5.402,5.807,109.6,9.2,19.3,2.02,95.7
2024-01-26 00:00:00.000,191.47374999999997,0.2972222222222222,5.331,5.811,114.6,8.9,19.3,0.61,354.2
2024-01-31 00:00:00.000,191.43749999999997,0.3308333333333333,5.263,5.815,119.8,8.5,19.3,2.56,303.3
2024-02-05 00:00:00.000,191.33166666666665,0.3905555555555556,5.198,5.819,124.9,8.0,19.2,4.72,297.3
2024-02-10 00:00:00.000,191.15791666666664,0.47500000000000003,5.138,5.823,130.2,7.4,19.2,6.86,295.0
2024-05-10 00:00:00.000,183.08791666666664,2.960277777777778,5.172,5.896,132.0,7.3,19.3,7.9,271.8
2024-05-15 00:00:00.000,182.85458333333332,2.9547222222222222,5.236,5.9,127.0,7.9,19.3,6.1,264.6
