Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-12-17 00:00:00.000,182.18124999999998,6.551111111111111,3.688,3.739,85.3,15.2,22.1,18.09,101.9
2022-12-22 00:00:00.000,182.72999999999996,6.448333333333333,3.63,3.759,89.9,15.2,22.0,15.18,99.2
2022-12-27 00:00:00.000,183.18458333333328,6.390277777777778,3.572,3.778,94.5,15.0,22.0,12.16,95.0
2023-01-01 00:00:00.000,183.5408333333333,6.378055555555555,3.515,3.798,99.2,14.8,22.0,9.12,88.0
2023-01-06 00:00:00.000,183.795,6.411666666666667,3.458,3.817,104.0,14.5,22.0,6.25,74.2
2023-01-11 00:00:00.000,183.94291666666663,6.491666666666667,3.403,3.837,109.0,14.0,22.0,4.17,42.2
2023-01-16 00:00:00.000,183.9820833333333,6.617500000000001,3.349,3.856,114.0,13.5,22.0,4.49,353.7
2023-01-21 00:00:00.000,183.90916666666664,6.788611111111111,3.299,3.875,119.2,12.8,22.0,6.96,326.4
2023-01-26 00:00:00.000,183.72374999999997,7.003333333333333,3.251,3.894,124.4,12.0,22.0,10.08,314.5
2023-01-31 00:00:00.000,183.42666666666665,7.258333333333334,3.208,3.913,129.8,11.2,22.0,13.3,308.1
2023-04-26 00:00:00.000,171.17374999999998,11.855,3.473,4.208,131.6,10.3,22.4,12.0,269.6
2023-05-01 00:00:00.000,170.8133333333333,11.829722222222221,3.547,4.224,126.5,11.1,22.5,9.27,261.2
2023-05-06 00:00:00.000,170.54999999999998,11.761388888888888,3.625,4.24,121.5,11.7,22.6,6.86,247.0
2023-05-11 00:00:00.000,170.38291666666663,11.652222222222223,3.707,4.256,116.6,12.2,22.6,5.21,222.1
2023-05-16 00:00:00.000,170.31124999999997,11.504444444444445,3.791,4.272,111.8,12.7,22.7,5.04,188.3
2023-05-21 00:00:00.000,170.33291666666662,11.320277777777777,3.878,4.287,107.2,13.0,22.8,6.37,161.9
2023-05-26 00:00:00.000,170.4445833333333,11.101666666666667,3.967,4.302,102.6,13.3,22.8,8.39,147.0
2023-05-31 00:00:00.000,170.64208333333332,10.851944444444444,4.057,4.317,98.1,13.4,22.9,10.61,138.5
2023-06-05 00:00:00.000,170.92041666666663,10.573055555555555,4.147,4.332,93.7,13.5,23.0,12.83,133.2
2023-06-10 00:00:00.000,171.27499999999998,10.267777777777779,4.238,4.347,89.4,13.5,23.0,14.98,129.6
2023-06-15 00:00:00.000,171.70125,9.938055555555556,4.329,4.362,85.1,13.4,23.1,17.04,127.0
2024-01-16 00:00:00.000,209.42291666666662,-7.308888888888888,4.845,4.86,85.1,11.6,23.8,12.3,104.7
2024-01-21 00:00:00.000,209.7858333333333,-7.398055555555556,4.772,4.868,89.8,11.7,23.8,9.94,103.0
2024-01-26 00:00:00.000,210.0733333333333,-7.457777777777778,4.699,4.877,94.6,11.6,23.7,7.51,100.4
2024-01-31 00:00:00.000,210.28124999999997,-7.487777777777778,4.626,4.885,99.4,11.5,23.7,5.0,95.1
2024-02-05 00:00:00.000,210.40708333333333,-7.4875,4.554,4.893,104.4,11.3,23.7,2.53,79.4
2024-02-10 00:00:00.000,210.4475,-7.456944444444445,4.484,4.901,109.4,10.9,23.7,1.38,356.1
2024-02-15 00:00:00.000,210.40041666666664,-7.395833333333334,4.417,4.909,114.5,10.6,23.6,3.54,310.2
2024-02-20 00:00:00.000,210.26541666666665,-7.305,4.352,4.916,119.7,10.1,23.6,6.18,300.7
2024-02-25 00:00:00.000,210.0433333333333,-7.185555555555556,4.29,4.924,124.9,9.5,23.6,8.85,296.9
2024-03-01 00:00:00.000,209.73541666666662,-7.038333333333333,4.233,4.931,130.2,8.8,23.6,11.48,294.8
