Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-11 00:00:00.000,328.46999999999997,-23.025277777777777,4.502,4.568,87.3,12.8,24.5,9.97,99.5
2022-05-16 00:00:00.000,328.78416666666664,-23.096666666666664,4.441,4.586,91.8,12.7,24.5,7.95,109.3
2022-05-21 00:00:00.000,329.0129166666666,-23.200833333333332,4.381,4.605,96.4,12.6,24.5,6.24,125.6
2022-05-26 00:00:00.000,329.15125,-23.33861111111111,4.32,4.623,101.1,12.4,24.4,5.29,151.3
2022-05-31 00:00:00.000,329.19624999999996,-23.51,4.261,4.64,105.8,12.1,24.4,5.64,180.8
2022-06-05 00:00:00.000,329.145,-23.714166666666667,4.203,4.658,110.6,11.8,24.4,7.15,202.6
2022-06-10 00:00:00.000,328.99541666666664,-23.949444444444445,4.147,4.675,115.5,11.3,24.4,9.28,216.0
2022-06-15 00:00:00.000,328.7466666666666,-24.214166666666667,4.095,4.692,120.4,10.8,24.4,11.67,224.3
2022-06-20 00:00:00.000,328.3991666666666,-24.505277777777778,4.046,4.709,125.5,10.1,24.4,14.17,230.0
2022-06-25 00:00:00.000,327.95208333333335,-24.81972222222222,4.001,4.725,130.6,9.4,24.4,16.66,234.2
2022-09-18 00:00:00.000,313.50208333333325,-28.789166666666667,4.24,4.971,132.2,8.6,24.6,15.26,273.4
2022-09-23 00:00:00.000,312.97041666666667,-28.74277777777778,4.314,4.984,127.0,9.3,24.6,12.85,278.4
2022-09-28 00:00:00.000,312.5366666666666,-28.665,4.393,4.996,121.9,9.8,24.7,10.47,285.4
2022-10-03 00:00:00.000,312.2033333333333,-28.558611111111112,4.475,5.008,116.9,10.3,24.7,8.28,295.8
2022-10-08 00:00:00.000,311.97041666666667,-28.425833333333333,4.56,5.02,111.9,10.6,24.8,6.51,311.9
2022-10-13 00:00:00.000,311.8358333333333,-28.269444444444442,4.648,5.031,107.0,10.9,24.8,5.51,335.7
2022-10-18 00:00:00.000,311.79791666666665,-28.091666666666665,4.738,5.043,102.2,11.1,24.8,5.64,2.5
2022-10-23 00:00:00.000,311.85375,-27.894444444444446,4.829,5.054,97.4,11.3,24.9,6.76,23.5
2022-10-28 00:00:00.000,312.00041666666664,-27.679444444444446,4.921,5.065,92.6,11.3,24.9,8.39,37.1
2022-11-02 00:00:00.000,312.23291666666665,-27.448333333333334,5.013,5.076,88.0,11.3,25.0,10.22,45.6
2023-05-26 00:00:00.000,343.4387499999999,-16.448888888888888,5.322,5.345,85.8,10.9,25.2,8.87,90.6
2023-05-31 00:00:00.000,343.7141666666666,-16.46722222222222,5.244,5.347,90.3,10.9,25.2,7.04,98.2
2023-06-05 00:00:00.000,343.9216666666666,-16.516111111111112,5.166,5.349,94.9,10.9,25.2,5.34,111.2
2023-06-10 00:00:00.000,344.0591666666666,-16.59611111111111,5.089,5.351,99.5,10.8,25.1,4.08,134.7
2023-06-15 00:00:00.000,344.1225,-16.70777777777778,5.012,5.353,104.2,10.6,25.1,3.89,169.1
2023-06-20 00:00:00.000,344.1091666666666,-16.850833333333334,4.937,5.355,109.0,10.3,25.1,5.0,197.5
2023-06-25 00:00:00.000,344.0170833333333,-17.025,4.865,5.357,113.8,10.0,25.0,6.82,213.7
2023-06-30 00:00:00.000,343.84541666666667,-17.229166666666664,4.794,5.358,118.7,9.6,25.0,8.94,222.9
2023-07-05 00:00:00.000,343.59291666666655,-17.461111111111112,4.728,5.359,123.7,9.1,25.0,11.16,228.7
2023-07-10 00:00:00.000,343.2595833333333,-17.71972222222222,4.665,5.36,128.7,8.5,25.0,13.41,232.7
2023-07-15 00:00:00.000,342.84666666666664,-18.001666666666665,4.606,5.361,133.8,7.9,25.0,15.63,235.8
2023-10-08 00:00:00.000,330.3616666666666,-22.18138888888889,4.648,5.344,129.9,8.3,25.0,14.2,267.8
2023-10-13 00:00:00.000,329.89124999999996,-22.182222222222222,4.71,5.341,124.7,8.8,25.0,11.94,272.4
2023-10-18 00:00:00.000,329.50374999999997,-22.149166666666666,4.777,5.339,119.5,9.4,25.0,9.7,278.9
2023-10-23 00:00:00.000,329.2020833333333,-22.083055555555557,4.847,5.336,114.4,9.8,25.0,7.59,288.9
2023-10-28 00:00:00.000,328.9870833333333,-21.98611111111111,4.92,5.332,109.3,10.1,25.1,5.84,305.0
2023-11-02 00:00:00.000,328.85791666666665,-21.860277777777778,4.996,5.329,104.3,10.4,25.1,4.83,330.2
2023-11-07 00:00:00.000,328.81374999999997,-21.70722222222222,5.073,5.325,99.4,10.6,25.1,4.99,359.4
2023-11-12 00:00:00.000,328.8533333333333,-21.528333333333332,5.151,5.321,94.5,10.7,25.1,6.15,21.4
2023-11-17 00:00:00.000,328.9741666666667,-21.325833333333332,5.229,5.317,89.7,10.7,25.2,7.83,34.9
