Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,317.4991666666666,-24.96361111111111,3.68,3.779,87.9,15.5,25.6,16.23,86.9
2022-05-06 00:00:00.000,318.04499999999996,-24.950277777777778,3.621,3.796,92.2,15.4,25.6,13.46,90.3
2022-05-11 00:00:00.000,318.48749999999995,-24.96833333333333,3.563,3.813,96.6,15.3,25.6,10.65,95.5
2022-05-16 00:00:00.000,318.82291666666663,-25.01888888888889,3.505,3.829,101.1,15.0,25.6,7.9,104.7
2022-05-21 00:00:00.000,319.0479166666666,-25.102222222222224,3.447,3.846,105.7,14.7,25.5,5.46,123.2
2022-05-26 00:00:00.000,319.15749999999997,-25.21833333333333,3.392,3.862,110.3,14.2,25.5,4.2,160.8
2022-05-31 00:00:00.000,319.14874999999995,-25.366666666666667,3.338,3.879,115.1,13.7,25.5,5.26,200.9
2022-06-05 00:00:00.000,319.01874999999995,-25.545555555555556,3.287,3.894,120.0,13.0,25.5,7.77,221.7
2022-06-10 00:00:00.000,318.7670833333333,-25.752777777777776,3.239,3.91,124.9,12.3,25.5,10.72,231.9
2022-06-15 00:00:00.000,318.395,-25.985,3.195,3.926,130.0,11.4,25.5,13.75,237.9
2022-09-08 00:00:00.000,303.6379166666666,-28.640555555555554,3.401,4.162,133.8,10.1,25.9,14.09,282.2
2022-09-13 00:00:00.000,303.17249999999996,-28.52722222222222,3.471,4.175,128.7,10.8,25.9,11.39,289.6
2022-09-18 00:00:00.000,302.8241666666666,-28.386944444444445,3.546,4.187,123.6,11.5,26.0,8.91,300.9
2022-09-23 00:00:00.000,302.59333333333336,-28.222777777777775,3.624,4.199,118.7,12.1,26.0,6.96,319.2
2022-09-28 00:00:00.000,302.47999999999996,-28.03666666666667,3.705,4.21,113.8,12.6,26.1,6.07,346.0
2022-10-03 00:00:00.000,302.4816666666666,-27.830833333333334,3.789,4.222,109.0,13.0,26.1,6.62,13.5
2022-10-08 00:00:00.000,302.59458333333333,-27.60777777777778,3.875,4.233,104.3,13.2,26.2,8.23,32.6
2022-10-13 00:00:00.000,302.8133333333333,-27.36888888888889,3.962,4.245,99.6,13.4,26.3,10.31,44.2
2022-10-18 00:00:00.000,303.13291666666663,-27.115555555555556,4.051,4.256,95.0,13.5,26.3,12.55,51.5
2022-10-23 00:00:00.000,303.54749999999996,-26.848888888888887,4.14,4.266,90.5,13.5,26.4,14.8,56.4
2022-10-28 00:00:00.000,304.05249999999995,-26.56972222222222,4.229,4.277,86.1,13.4,26.4,17.01,59.8
2023-05-31 00:00:00.000,346.25208333333325,-10.877500000000001,4.53,4.57,85.9,12.8,26.9,13.04,71.2
2023-06-05 00:00:00.000,346.635,-10.7525,4.455,4.573,90.3,12.8,26.8,10.74,72.2
2023-06-10 00:00:00.000,346.9445833333333,-10.658611111111112,4.379,4.576,94.7,12.8,26.8,8.33,73.7
2023-06-15 00:00:00.000,347.1762499999999,-10.597222222222223,4.304,4.579,99.2,12.6,26.8,5.8,76.6
2023-06-20 00:00:00.000,347.32583333333326,-10.569166666666666,4.23,4.581,103.9,12.4,26.7,3.2,84.2
2023-06-25 00:00:00.000,347.39124999999996,-10.575555555555555,4.158,4.584,108.5,12.1,26.7,0.96,137.2
2023-06-30 00:00:00.000,347.36999999999995,-10.616388888888888,4.087,4.586,113.3,11.7,26.7,2.6,228.0
2023-07-05 00:00:00.000,347.25999999999993,-10.69138888888889,4.019,4.588,118.2,11.3,26.6,5.32,238.8
2023-07-10 00:00:00.000,347.06041666666664,-10.799722222222222,3.954,4.59,123.2,10.7,26.6,8.13,242.5
2023-07-15 00:00:00.000,346.7704166666667,-10.94138888888889,3.892,4.591,128.2,10.0,26.6,10.95,244.4
2023-07-20 00:00:00.000,346.3904166666666,-11.113888888888889,3.835,4.593,133.4,9.3,26.5,13.69,245.7
2023-10-13 00:00:00.000,334.0845833333333,-14.795555555555556,3.871,4.593,131.5,9.4,26.6,12.97,265.3
2023-10-18 00:00:00.000,333.685,-14.812777777777779,3.933,4.592,126.2,10.1,26.6,10.24,270.1
2023-10-23 00:00:00.000,333.37958333333324,-14.794722222222221,3.999,4.59,120.9,10.7,26.6,7.56,278.1
2023-10-28 00:00:00.000,333.1691666666666,-14.741944444444444,4.068,4.589,115.8,11.2,26.7,5.16,293.9
2023-11-02 00:00:00.000,333.0541666666666,-14.655555555555557,4.14,4.587,110.7,11.7,26.7,3.65,327.4
2023-11-07 00:00:00.000,333.0329166666666,-14.537222222222223,4.215,4.584,105.8,12.0,26.7,4.1,10.5
2023-11-12 00:00:00.000,333.1045833333333,-14.3875,4.291,4.582,100.9,12.3,26.8,6.01,34.5
2023-11-17 00:00:00.000,333.2666666666666,-14.2075,4.368,4.58,96.1,12.4,26.8,8.36,45.7
2023-11-22 00:00:00.000,333.515,-13.999166666666666,4.446,4.577,91.3,12.5,26.8,10.76,51.7
2023-11-27 00:00:00.000,333.8454166666666,-13.76361111111111,4.524,4.574,86.7,12.4,26.9,13.11,55.3
