Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,307.66875,-21.44361111111111,5.33,5.52,95.6,10.5,20.1,9.74,83.2
2022-05-06 00:00:00.000,307.9795833333333,-21.41361111111111,5.252,5.52,100.2,10.4,20.0,7.69,85.3
2022-05-11 00:00:00.000,308.2170833333333,-21.40138888888889,5.175,5.519,104.8,10.2,20.0,5.6,88.9
2022-05-16 00:00:00.000,308.38041666666663,-21.406666666666666,5.099,5.519,109.5,9.9,20.0,3.54,97.0
2022-05-21 00:00:00.000,308.46791666666667,-21.43,5.026,5.518,114.2,9.6,19.9,1.69,124.9
2022-05-26 00:00:00.000,308.4791666666667,-21.47111111111111,4.955,5.518,119.0,9.2,19.9,1.68,207.0
2022-05-31 00:00:00.000,308.4133333333333,-21.529722222222222,4.888,5.517,123.9,8.8,19.9,3.54,235.2
2022-06-05 00:00:00.000,308.27125,-21.60527777777778,4.824,5.517,128.8,8.2,19.8,5.6,243.4
2022-06-10 00:00:00.000,308.055,-21.696666666666665,4.765,5.516,133.8,7.6,19.8,7.63,247.2
2022-09-08 00:00:00.000,299.1220833333333,-23.615000000000002,4.792,5.51,131.4,7.9,19.8,6.63,267.2
2022-09-13 00:00:00.000,298.91875,-23.618055555555557,4.853,5.51,126.4,8.5,19.8,4.54,271.8
2022-09-18 00:00:00.000,298.7925,-23.605555555555558,4.919,5.51,121.4,9.0,19.9,2.47,284.4
2022-09-23 00:00:00.000,298.7454166666666,-23.5775,4.988,5.51,116.5,9.4,19.9,1.09,349.8
2022-09-28 00:00:00.000,298.77875,-23.534166666666668,5.06,5.509,111.6,9.7,19.9,2.53,53.1
2022-10-03 00:00:00.000,298.8920833333333,-23.476388888888888,5.135,5.509,106.9,10.0,20.0,4.65,65.1
2022-10-08 00:00:00.000,299.085,-23.403888888888886,5.212,5.509,102.1,10.2,20.0,6.8,69.5
2022-10-13 00:00:00.000,299.3545833333333,-23.3175,5.29,5.509,97.4,10.3,20.0,8.91,71.7
2022-10-18 00:00:00.000,299.69833333333327,-23.217499999999998,5.369,5.509,92.8,10.4,20.1,10.97,73.0
2022-10-23 00:00:00.000,300.11499999999995,-23.10388888888889,5.448,5.509,88.3,10.4,20.1,12.98,73.9
2023-05-26 00:00:00.000,338.0929166666666,-11.838055555555556,5.443,5.517,88.9,10.6,20.1,12.49,72.7
2023-05-31 00:00:00.000,338.46875,-11.72638888888889,5.366,5.517,93.3,10.6,20.1,10.56,73.6
2023-06-05 00:00:00.000,338.78166666666664,-11.639444444444443,5.289,5.518,97.7,10.5,20.0,8.56,74.9
2023-06-10 00:00:00.000,339.0304166666666,-11.577777777777778,5.213,5.518,102.3,10.4,20.0,6.51,77.0
2023-06-15 00:00:00.000,339.2125,-11.5425,5.138,5.519,106.9,10.1,20.0,4.4,81.3
2023-06-20 00:00:00.000,339.32583333333326,-11.533888888888889,5.065,5.519,111.5,9.9,19.9,2.32,93.6
2023-06-25 00:00:00.000,339.36999999999995,-11.552222222222223,4.994,5.52,116.3,9.5,19.9,0.99,164.1
2023-06-30 00:00:00.000,339.34458333333333,-11.596944444444444,4.927,5.52,121.1,9.1,19.9,2.48,225.5
2023-07-05 00:00:00.000,339.24999999999994,-11.667499999999999,4.863,5.521,125.9,8.6,19.9,4.54,236.6
2023-07-10 00:00:00.000,339.0870833333333,-11.763333333333334,4.803,5.522,130.9,8.0,19.8,6.62,240.7
2023-10-08 00:00:00.000,330.8979166666666,-14.73472222222222,4.798,5.534,133.6,7.5,19.8,7.66,258.6
2023-10-13 00:00:00.000,330.67333333333335,-14.772222222222224,4.859,5.535,128.4,8.1,19.9,5.56,262.5
2023-10-18 00:00:00.000,330.51916666666665,-14.78277777777778,4.925,5.536,123.3,8.6,19.9,3.43,271.5
2023-10-23 00:00:00.000,330.43708333333325,-14.766111111111112,4.995,5.537,118.3,9.1,19.9,1.59,304.5
2023-10-28 00:00:00.000,330.42875,-14.723055555555556,5.068,5.537,113.3,9.5,20.0,1.88,25.9
2023-11-02 00:00:00.000,330.4937499999999,-14.653333333333334,5.144,5.538,108.4,9.8,20.0,3.84,49.9
2023-11-07 00:00:00.000,330.63124999999997,-14.558055555555557,5.222,5.539,103.6,10.0,20.0,5.99,57.2
2023-11-12 00:00:00.000,330.8404166666666,-14.437222222222223,5.301,5.54,98.8,10.2,20.1,8.15,60.6
2023-11-17 00:00:00.000,331.11958333333325,-14.291944444444445,5.382,5.541,94.1,10.3,20.1,10.26,62.6
2023-11-22 00:00:00.000,331.46624999999995,-14.1225,5.463,5.542,89.4,10.3,20.1,12.3,63.8
