Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-09-28 00:00:00.000,98.80208333333331,6.368055555555555,9.686,9.661,85.6,5.9,23.8,6.14,129.7
2022-10-03 00:00:00.000,98.93958333333332,6.2375,9.605,9.66,90.2,5.9,23.8,5.24,138.4
2022-10-08 00:00:00.000,99.03499999999998,6.1075,9.524,9.659,94.8,5.9,23.7,4.46,150.4
2022-10-13 00:00:00.000,99.08708333333333,5.979444444444445,9.444,9.657,99.4,5.9,23.7,3.91,166.5
2022-10-18 00:00:00.000,99.09583333333332,5.854166666666666,9.364,9.656,104.1,5.7,23.7,3.72,186.2
2022-10-23 00:00:00.000,99.06041666666665,5.733333333333333,9.287,9.655,108.9,5.6,23.7,3.95,205.9
2022-10-28 00:00:00.000,98.98041666666664,5.617777777777778,9.212,9.653,113.6,5.4,23.7,4.53,222.1
2022-11-02 00:00:00.000,98.85708333333332,5.509444444444444,9.14,9.652,118.4,5.2,23.7,5.34,234.0
2022-11-07 00:00:00.000,98.69124999999998,5.408888888888889,9.071,9.65,123.3,4.9,23.6,6.27,242.7
2022-11-12 00:00:00.000,98.48458333333332,5.317777777777778,9.007,9.649,128.1,4.6,23.6,7.24,249.1
2022-11-17 00:00:00.000,98.23916666666665,5.237222222222222,8.947,9.647,132.9,4.3,23.6,8.21,254.1
2023-02-05 00:00:00.000,92.29791666666667,5.848888888888888,8.908,9.62,134.0,4.2,23.6,9.02,298.2
2023-02-10 00:00:00.000,92.05041666666666,5.995,8.964,9.618,129.2,4.6,23.6,8.16,303.4
2023-02-15 00:00:00.000,91.8420833333333,6.148333333333333,9.024,9.616,124.3,4.9,23.6,7.31,309.9
2023-02-20 00:00:00.000,91.67541666666665,6.307222222222222,9.089,9.614,119.5,5.1,23.6,6.5,318.2
2023-02-25 00:00:00.000,91.55208333333331,6.470555555555555,9.157,9.612,114.6,5.4,23.6,5.8,328.6
2023-03-02 00:00:00.000,91.47333333333331,6.636666666666666,9.229,9.61,109.8,5.6,23.7,5.29,341.5
2023-03-07 00:00:00.000,91.43916666666665,6.804444444444444,9.303,9.608,105.0,5.7,23.7,5.06,356.1
2023-03-12 00:00:00.000,91.44999999999999,6.972777777777778,9.379,9.606,100.2,5.8,23.7,5.13,11.1
2023-03-17 00:00:00.000,91.50541666666665,7.140000000000001,9.457,9.604,95.5,5.9,23.7,5.51,24.8
2023-03-22 00:00:00.000,91.60499999999998,7.305555555555555,9.535,9.601,90.8,6.0,23.7,6.11,36.3
2023-03-27 00:00:00.000,91.74791666666665,7.468055555555556,9.613,9.599,86.2,6.0,23.7,6.86,45.4
2023-10-13 00:00:00.000,109.35958333333332,7.169722222222222,9.454,9.493,89.2,6.0,23.7,5.12,134.1
2023-10-18 00:00:00.000,109.46166666666666,7.053055555555555,9.37,9.489,93.9,6.0,23.6,4.18,145.2
2023-10-23 00:00:00.000,109.51958333333332,6.9413888888888895,9.286,9.486,98.6,6.0,23.6,3.43,161.9
2023-10-28 00:00:00.000,109.53291666666665,6.835833333333333,9.204,9.483,103.4,5.9,23.6,3.07,184.8
2023-11-02 00:00:00.000,109.50208333333332,6.737777777777778,9.123,9.48,108.2,5.7,23.6,3.24,209.4
2023-11-07 00:00:00.000,109.42624999999998,6.648055555555555,9.045,9.476,113.0,5.5,23.5,3.88,228.8
2023-11-12 00:00:00.000,109.30624999999999,6.567777777777778,8.969,9.473,117.9,5.3,23.5,4.8,242.0
2023-11-17 00:00:00.000,109.14249999999998,6.498333333333333,8.897,9.47,122.8,5.0,23.5,5.84,250.9
2023-11-22 00:00:00.000,108.93666666666665,6.440555555555556,8.829,9.466,127.8,4.7,23.5,6.91,257.1
2023-11-27 00:00:00.000,108.69124999999998,6.395555555555556,8.766,9.463,132.7,4.4,23.5,7.97,261.7
2024-02-20 00:00:00.000,102.44708333333332,7.710555555555556,8.73,9.402,130.5,4.6,23.4,8.35,305.5
2024-02-25 00:00:00.000,102.23874999999998,7.873611111111112,8.788,9.398,125.6,4.9,23.4,7.43,311.5
2024-03-01 00:00:00.000,102.07291666666666,8.038333333333334,8.851,9.394,120.6,5.2,23.5,6.55,319.2
2024-03-06 00:00:00.000,101.95124999999999,8.20361111111111,8.917,9.39,115.7,5.5,23.5,5.77,329.3
2024-03-11 00:00:00.000,101.87458333333332,8.368333333333334,8.987,9.386,110.8,5.7,23.5,5.17,342.1
2024-03-16 00:00:00.000,101.84416666666665,8.531111111111112,9.059,9.382,106.0,5.8,23.5,4.85,357.4
2024-03-21 00:00:00.000,101.85999999999999,8.690833333333334,9.134,9.379,101.2,6.0,23.5,4.87,13.6
2024-03-26 00:00:00.000,101.92124999999999,8.846111111111112,9.21,9.375,96.5,6.1,23.5,5.22,28.4
2024-03-31 00:00:00.000,102.02749999999997,8.996388888888887,9.287,9.371,91.8,6.1,23.6,5.83,40.7
2024-04-05 00:00:00.000,102.1775,9.140833333333333,9.364,9.367,87.1,6.1,23.6,6.62,50.2
