Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,302.3679166666666,-30.551666666666666,6.524,6.808,102.2,8.3,29.9,4.73,139.3
2022-05-06 00:00:00.000,302.4529166666666,-30.678333333333335,6.428,6.791,106.9,8.2,29.9,4.22,161.9
2022-05-11 00:00:00.000,302.46874999999994,-30.819166666666668,6.335,6.773,111.7,8.0,29.8,4.45,186.4
2022-05-16 00:00:00.000,302.41416666666663,-30.972777777777775,6.244,6.755,116.5,7.7,29.8,5.32,205.8
2022-05-21 00:00:00.000,302.28874999999994,-31.138333333333332,6.156,6.737,121.3,7.4,29.7,6.59,218.9
2022-05-26 00:00:00.000,302.0916666666666,-31.31416666666667,6.071,6.719,126.1,7.0,29.7,8.06,227.8
2022-05-31 00:00:00.000,301.82291666666663,-31.49888888888889,5.991,6.701,131.0,6.6,29.6,9.61,234.0
2022-08-29 00:00:00.000,290.9983333333333,-33.49388888888889,5.646,6.359,131.4,6.8,29.3,10.89,278.4
2022-09-03 00:00:00.000,290.6033333333333,-33.43222222222222,5.689,6.34,126.4,7.4,29.3,9.22,283.2
2022-09-08 00:00:00.000,290.2825,-33.353611111111114,5.735,6.32,121.5,7.8,29.3,7.55,290.0
2022-09-13 00:00:00.000,290.0379166666666,-33.26,5.786,6.3,116.5,8.2,29.3,5.97,300.4
2022-09-18 00:00:00.000,289.8720833333333,-33.153055555555554,5.839,6.28,111.7,8.6,29.3,4.65,317.1
2022-09-23 00:00:00.000,289.78624999999994,-33.03361111111111,5.895,6.26,106.8,8.8,29.3,3.92,343.1
2022-09-28 00:00:00.000,289.78125,-32.90333333333333,5.953,6.24,102.0,9.0,29.3,4.15,12.4
2022-10-03 00:00:00.000,289.8566666666666,-32.76361111111111,6.012,6.219,97.3,9.2,29.3,5.21,33.9
2022-10-08 00:00:00.000,290.01124999999996,-32.61555555555556,6.073,6.199,92.6,9.3,29.3,6.68,47.0
2022-10-13 00:00:00.000,290.24249999999995,-32.46,6.133,6.179,88.0,9.3,29.3,8.31,55.0
2023-05-06 00:00:00.000,325.47416666666663,-24.895833333333332,5.244,5.262,85.5,11.0,28.3,14.6,89.5
2023-05-11 00:00:00.000,325.97999999999996,-24.904444444444444,5.142,5.238,89.9,11.1,28.2,12.93,92.9
2023-05-16 00:00:00.000,326.4216666666666,-24.939444444444444,5.04,5.213,94.2,11.2,28.2,11.2,97.5
2023-05-21 00:00:00.000,326.795,-25.001944444444444,4.939,5.189,98.7,11.1,28.1,9.46,104.0
2023-05-26 00:00:00.000,327.0958333333333,-25.092222222222222,4.839,5.164,103.1,11.0,28.1,7.81,113.7
2023-05-31 00:00:00.000,327.3204166666666,-25.211111111111112,4.74,5.139,107.7,10.8,28.0,6.43,128.3
2023-06-05 00:00:00.000,327.4666666666666,-25.35777777777778,4.643,5.115,112.3,10.6,27.9,5.61,149.3
2023-06-10 00:00:00.000,327.53124999999994,-25.5325,4.549,5.09,116.9,10.2,27.9,5.68,173.9
2023-06-15 00:00:00.000,327.51041666666663,-25.734166666666667,4.458,5.065,121.6,9.8,27.8,6.68,195.1
2023-06-20 00:00:00.000,327.4020833333333,-25.961666666666666,4.37,5.04,126.4,9.3,27.7,8.28,209.8
2023-06-25 00:00:00.000,327.205,-26.2125,4.286,5.014,131.2,8.8,27.7,10.19,219.6
2023-09-18 00:00:00.000,315.69083333333333,-29.79361111111111,3.82,4.572,133.6,9.2,27.0,14.34,275.3
2023-09-23 00:00:00.000,315.18791666666664,-29.730277777777776,3.85,4.545,128.6,9.9,27.0,12.14,281.8
2023-09-28 00:00:00.000,314.7808333333333,-29.628611111111113,3.885,4.518,123.6,10.6,27.0,10.0,291.1
2023-10-03 00:00:00.000,314.47416666666663,-29.490833333333335,3.924,4.491,118.7,11.3,27.0,8.12,304.9
2023-10-08 00:00:00.000,314.27166666666665,-29.319444444444443,3.966,4.464,113.8,11.8,27.0,6.85,325.2
2023-10-13 00:00:00.000,314.17625,-29.116111111111113,4.011,4.436,108.9,12.3,27.0,6.64,350.5
2023-10-18 00:00:00.000,314.1883333333333,-28.883055555555558,4.058,4.409,104.2,12.7,27.0,7.61,13.2
2023-10-23 00:00:00.000,314.3079166666666,-28.6225,4.107,4.382,99.5,12.9,27.0,9.38,28.9
2023-10-28 00:00:00.000,314.5320833333333,-28.336666666666666,4.156,4.354,94.9,13.1,27.0,11.53,39.1
2023-11-02 00:00:00.000,314.85791666666665,-28.026666666666667,4.206,4.327,90.3,13.3,27.0,13.84,45.9
2023-11-07 00:00:00.000,315.28166666666664,-27.69472222222222,4.256,4.299,85.8,13.3,27.0,16.21,50.6
