Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,141.33624999999998,21.824444444444445,5.433,5.636,96.5,10.2,28.7,4.42,139.2
2022-05-06 00:00:00.000,141.47666666666663,21.7025,5.515,5.638,91.8,10.3,28.7,6.32,128.9
2022-05-11 00:00:00.000,141.68833333333333,21.560277777777777,5.597,5.639,87.2,10.3,28.8,8.23,123.5
2022-12-07 00:00:00.000,171.43499999999997,11.104722222222222,5.545,5.578,86.8,10.2,28.7,9.32,91.7
2022-12-12 00:00:00.000,171.71958333333333,11.110833333333334,5.458,5.573,91.6,10.2,28.6,7.44,84.9
2022-12-17 00:00:00.000,171.93791666666664,11.148888888888889,5.371,5.569,96.5,10.1,28.6,5.65,73.3
2022-12-22 00:00:00.000,172.08625,11.219722222222222,5.285,5.564,101.4,10.0,28.6,4.21,51.7
2022-12-27 00:00:00.000,172.16124999999997,11.323333333333332,5.2,5.559,106.4,9.8,28.5,3.78,17.2
2023-01-01 00:00:00.000,172.16124999999997,11.459999999999999,5.118,5.554,111.5,9.5,28.5,4.73,346.3
2023-01-06 00:00:00.000,172.0845833333333,11.629166666666666,5.037,5.549,116.7,9.1,28.5,6.51,328.6
2023-01-11 00:00:00.000,171.93041666666664,11.83,4.96,5.544,121.9,8.7,28.4,8.62,318.8
2023-01-16 00:00:00.000,171.69791666666666,12.060555555555556,4.887,5.538,127.2,8.1,28.4,10.85,312.7
2023-01-21 00:00:00.000,171.3875,12.319722222222222,4.819,5.533,132.6,7.5,28.3,13.09,308.6
2023-04-16 00:00:00.000,160.68666666666664,16.926111111111112,4.718,5.416,129.9,8.2,28.2,12.68,279.8
2023-04-21 00:00:00.000,160.28791666666663,16.980277777777776,4.773,5.408,124.7,8.8,28.2,10.44,276.0
2023-04-26 00:00:00.000,159.96416666666667,16.999166666666667,4.832,5.4,119.6,9.3,28.2,8.18,270.3
2023-05-01 00:00:00.000,159.71791666666664,16.983888888888888,4.894,5.391,114.6,9.8,28.3,6.03,260.9
2023-05-06 00:00:00.000,159.54958333333332,16.935833333333335,4.959,5.383,109.7,10.2,28.3,4.18,242.7
2023-05-11 00:00:00.000,159.45874999999998,16.85666666666667,5.026,5.374,104.8,10.5,28.3,3.2,207.9
2023-05-16 00:00:00.000,159.445,16.747500000000002,5.095,5.365,100.1,10.7,28.3,3.77,169.3
2023-05-21 00:00:00.000,159.50708333333333,16.610000000000003,5.165,5.356,95.4,10.8,28.4,5.36,147.8
2023-05-26 00:00:00.000,159.64249999999996,16.445833333333333,5.236,5.347,90.8,10.9,28.4,7.25,137.1
2023-05-31 00:00:00.000,159.84916666666666,16.256666666666668,5.306,5.338,86.3,10.9,28.4,9.19,131.0
2024-01-01 00:00:00.000,192.8495833333333,2.686944444444445,4.707,4.791,89.0,11.8,27.7,12.16,93.9
2024-01-06 00:00:00.000,193.22,2.677222222222222,4.611,4.775,93.7,11.9,27.6,10.02,88.6
2024-01-11 00:00:00.000,193.51666666666665,2.7038888888888892,4.514,4.759,98.4,11.8,27.5,7.87,80.1
2024-01-16 00:00:00.000,193.73583333333332,2.7680555555555557,4.418,4.742,103.3,11.6,27.5,5.91,65.1
2024-01-21 00:00:00.000,193.8733333333333,2.87,4.324,4.726,108.3,11.4,27.4,4.62,38.2
2024-01-26 00:00:00.000,193.9258333333333,3.01,4.232,4.709,113.3,11.1,27.4,4.77,3.2
2024-01-31 00:00:00.000,193.89,3.1875,4.143,4.692,118.4,10.6,27.3,6.37,337.7
2024-02-05 00:00:00.000,193.76374999999996,3.4025,4.056,4.674,123.6,10.1,27.2,8.7,323.6
2024-02-10 00:00:00.000,193.54541666666665,3.653888888888889,3.974,4.657,128.8,9.5,27.2,11.31,315.4
2024-02-15 00:00:00.000,193.23416666666665,3.939166666666667,3.897,4.639,134.2,8.8,27.1,13.99,310.2
2024-05-05 00:00:00.000,181.7733333333333,8.979722222222222,3.586,4.334,132.7,9.8,26.6,16.5,279.3
2024-05-10 00:00:00.000,181.26624999999999,9.044444444444444,3.623,4.313,127.5,10.7,26.6,13.79,275.1
2024-05-15 00:00:00.000,180.84833333333333,9.061944444444444,3.665,4.292,122.4,11.5,26.6,11.04,269.1
