Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,264.21958333333333,-48.236111111111114,5.658,6.347,129.5,7.0,25.3,16.25,226.1
2022-05-06 00:00:00.000,263.58374999999995,-48.602222222222224,5.589,6.328,133.7,6.6,25.2,17.28,231.9
2022-07-20 00:00:00.000,249.02666666666667,-49.794444444444444,5.318,6.036,131.2,7.3,24.9,14.91,292.8
2022-07-25 00:00:00.000,248.36708333333334,-49.59305555555556,5.349,6.015,127.0,7.8,24.9,13.4,298.0
2022-07-30 00:00:00.000,247.81208333333328,-49.37694444444445,5.385,5.995,122.7,8.2,24.9,11.84,304.2
2022-08-04 00:00:00.000,247.36541666666662,-49.15083333333333,5.425,5.974,118.4,8.6,24.9,10.3,311.8
2022-08-09 00:00:00.000,247.02999999999992,-48.92027777777778,5.468,5.954,114.1,8.9,24.9,8.87,321.5
2022-08-14 00:00:00.000,246.80541666666664,-48.689166666666665,5.514,5.933,109.7,9.2,24.9,7.67,334.1
2022-08-19 00:00:00.000,246.69083333333333,-48.461111111111116,5.562,5.912,105.4,9.5,24.9,6.86,350.0
2022-08-24 00:00:00.000,246.68499999999997,-48.24,5.612,5.891,101.1,9.7,24.9,6.58,8.4
2022-08-29 00:00:00.000,246.78624999999994,-48.028055555555554,5.664,5.87,96.8,9.8,25.0,6.91,26.5
2022-09-03 00:00:00.000,246.99166666666665,-47.828611111111115,5.716,5.849,92.6,9.9,25.0,7.75,41.7
2022-09-08 00:00:00.000,247.2970833333333,-47.64277777777778,5.768,5.828,88.4,10.0,25.0,8.93,53.2
2023-04-06 00:00:00.000,300.07916666666665,-52.723055555555554,4.809,4.835,85.5,11.9,23.8,24.7,127.7
2023-04-11 00:00:00.000,301.11791666666664,-53.243611111111115,4.716,4.809,89.3,12.0,23.7,24.15,131.9
2023-04-16 00:00:00.000,302.0779166666666,-53.79888888888889,4.624,4.782,93.0,12.1,23.6,23.67,136.6
2023-04-21 00:00:00.000,302.94999999999993,-54.39,4.533,4.756,96.7,12.1,23.6,23.27,141.7
2023-04-26 00:00:00.000,303.7245833333333,-55.016666666666666,4.444,4.729,100.4,12.1,23.5,22.97,147.2
2023-05-01 00:00:00.000,304.3925,-55.677499999999995,4.356,4.703,104.0,12.0,23.4,22.81,153.0
2023-05-06 00:00:00.000,304.9441666666666,-56.37166666666667,4.27,4.676,107.7,11.9,23.4,22.8,159.1
2023-05-11 00:00:00.000,305.36791666666664,-57.09666666666667,4.188,4.649,111.2,11.7,23.3,22.93,165.4
2023-05-16 00:00:00.000,305.65125,-57.849444444444444,4.108,4.622,114.7,11.5,23.2,23.2,171.8
2023-05-21 00:00:00.000,305.7799999999999,-58.62583333333333,4.031,4.595,118.1,11.2,23.2,23.59,178.2
2023-05-26 00:00:00.000,305.74125,-59.41916666666666,3.958,4.568,121.3,10.9,23.1,24.07,184.6
2023-05-31 00:00:00.000,305.5229166666666,-60.222500000000004,3.89,4.541,124.4,10.6,23.0,24.61,190.9
2023-06-05 00:00:00.000,305.1129166666666,-61.026944444444446,3.826,4.513,127.3,10.3,23.0,25.17,197.1
2023-06-10 00:00:00.000,304.5,-61.823055555555555,3.767,4.485,129.8,10.0,22.9,25.74,203.3
2023-06-15 00:00:00.000,303.6745833333333,-62.599444444444444,3.713,4.458,132.1,9.7,22.8,26.25,209.4
2023-06-20 00:00:00.000,302.6320833333333,-63.34305555555556,3.664,4.43,133.9,9.5,22.8,26.65,215.6
2023-07-20 00:00:00.000,292.50333333333333,-66.38972222222223,3.489,4.26,134.2,9.8,22.5,25.36,254.3
2023-07-25 00:00:00.000,290.4708333333333,-66.565,3.479,4.231,132.5,10.2,22.5,24.42,261.4
2023-07-30 00:00:00.000,288.47499999999997,-66.6325,3.474,4.203,130.3,10.6,22.4,23.31,268.9
2023-08-04 00:00:00.000,286.57,-66.5961111111111,3.474,4.174,127.8,11.1,22.4,22.1,276.8
2023-08-09 00:00:00.000,284.80625,-66.46166666666667,3.479,4.145,125.0,11.6,22.4,20.83,285.1
2023-08-14 00:00:00.000,283.2258333333333,-66.23666666666666,3.488,4.115,122.0,12.0,22.4,19.55,294.2
2023-08-19 00:00:00.000,281.86499999999995,-65.93194444444445,3.5,4.086,118.9,12.5,22.3,18.32,304.0
2023-08-24 00:00:00.000,280.74791666666664,-65.55833333333334,3.517,4.057,115.6,13.0,22.3,17.26,314.6
2023-08-29 00:00:00.000,279.88708333333324,-65.1275,3.536,4.027,112.2,13.4,22.3,16.48,326.0
2023-09-03 00:00:00.000,279.2858333333333,-64.65083333333334,3.558,3.998,108.7,13.8,22.3,16.08,337.9
2023-09-08 00:00:00.000,278.9420833333333,-64.1375,3.582,3.968,105.3,14.2,22.3,16.12,349.9
2023-09-13 00:00:00.000,278.84916666666663,-63.59583333333334,3.607,3.938,101.8,14.5,22.2,16.6,1.4
2023-09-18 00:00:00.000,278.99875,-63.03388888888889,3.635,3.908,98.3,14.7,22.2,17.49,12.0
2023-09-23 00:00:00.000,279.37708333333336,-62.45722222222223,3.663,3.878,94.8,14.9,22.2,18.73,21.2
2023-09-28 00:00:00.000,279.9695833333333,-61.87111111111111,3.692,3.848,91.3,15.1,22.2,20.23,29.0
2023-10-03 00:00:00.000,280.7595833333333,-61.278888888888886,3.72,3.817,87.9,15.2,22.2,21.92,35.6
