Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,271.64374999999995,-34.32138888888889,3.697,4.391,128.1,10.4,26.8,15.24,247.8
2022-05-06 00:00:00.000,271.0154166666666,-34.5075,3.662,4.415,133.3,9.6,26.8,17.79,252.4
2022-07-30 00:00:00.000,255.1908333333333,-33.760555555555555,4.078,4.795,130.1,9.3,27.4,12.57,298.8
2022-08-04 00:00:00.000,254.80541666666667,-33.56027777777778,4.16,4.815,125.1,9.9,27.4,10.17,305.8
2022-08-09 00:00:00.000,254.53124999999997,-33.365,4.245,4.835,120.2,10.4,27.5,7.96,316.4
2022-08-14 00:00:00.000,254.36624999999998,-33.176944444444445,4.334,4.856,115.4,10.9,27.5,6.17,333.1
2022-08-19 00:00:00.000,254.30749999999995,-32.998333333333335,4.426,4.876,110.6,11.2,27.6,5.21,358.2
2022-08-24 00:00:00.000,254.3520833333333,-32.830555555555556,4.521,4.895,105.9,11.5,27.7,5.42,26.3
2022-08-29 00:00:00.000,254.49666666666664,-32.67444444444444,4.617,4.915,101.3,11.6,27.7,6.63,47.3
2022-09-03 00:00:00.000,254.73666666666662,-32.530833333333334,4.714,4.934,96.7,11.7,27.8,8.32,60.3
2022-09-08 00:00:00.000,255.06666666666663,-32.39972222222222,4.812,4.953,92.2,11.7,27.9,10.17,68.4
2022-09-13 00:00:00.000,255.48124999999996,-32.28111111111111,4.91,4.972,87.7,11.7,27.9,12.03,73.7
2023-04-06 00:00:00.000,293.05,-31.206944444444442,5.585,5.602,85.8,10.3,28.7,9.04,107.0
2023-04-11 00:00:00.000,293.3479166666666,-31.302500000000002,5.516,5.614,90.4,10.3,28.7,7.29,114.9
2023-04-16 00:00:00.000,293.565,-31.411944444444444,5.446,5.625,95.1,10.2,28.7,5.7,127.9
2023-04-21 00:00:00.000,293.69791666666663,-31.53527777777778,5.378,5.637,99.8,10.1,28.7,4.53,149.5
2023-04-26 00:00:00.000,293.7441666666666,-31.672222222222224,5.31,5.648,104.6,9.9,28.6,4.3,179.3
2023-05-01 00:00:00.000,293.70166666666665,-31.82138888888889,5.244,5.66,109.5,9.7,28.6,5.16,205.5
2023-05-06 00:00:00.000,293.56999999999994,-31.981944444444444,5.18,5.671,114.3,9.3,28.6,6.7,222.2
2023-05-11 00:00:00.000,293.3479166666666,-32.15222222222222,5.119,5.682,119.3,8.9,28.6,8.56,232.4
2023-05-16 00:00:00.000,293.0358333333333,-32.32972222222222,5.062,5.693,124.3,8.4,28.6,10.55,239.1
2023-05-21 00:00:00.000,292.6345833333333,-32.51277777777778,5.008,5.703,129.3,7.9,28.6,12.55,243.8
2023-05-26 00:00:00.000,292.1466666666666,-32.698055555555555,4.959,5.714,134.4,7.3,28.5,14.49,247.4
2023-08-19 00:00:00.000,279.01374999999996,-33.664722222222224,5.152,5.87,131.3,7.4,28.7,12.44,285.0
2023-08-24 00:00:00.000,278.5754166666666,-33.55138888888889,5.222,5.878,126.3,8.0,28.8,10.5,289.9
2023-08-29 00:00:00.000,278.2245833333333,-33.42777777777778,5.297,5.885,121.3,8.4,28.8,8.59,296.5
2023-09-03 00:00:00.000,277.9616666666666,-33.29611111111111,5.375,5.893,116.4,8.8,28.9,6.82,306.5
2023-09-08 00:00:00.000,277.7870833333333,-33.158055555555556,5.456,5.9,111.5,9.1,28.9,5.34,322.2
2023-09-13 00:00:00.000,277.7008333333333,-33.015277777777776,5.54,5.907,106.7,9.4,28.9,4.47,346.2
2023-09-18 00:00:00.000,277.70166666666665,-32.86944444444445,5.625,5.915,101.9,9.6,29.0,4.55,14.0
2023-09-23 00:00:00.000,277.78749999999997,-32.72166666666667,5.712,5.922,97.1,9.7,29.0,5.5,35.8
2023-09-28 00:00:00.000,277.9549999999999,-32.572500000000005,5.8,5.928,92.5,9.7,29.0,6.89,49.5
2023-10-03 00:00:00.000,278.20125,-32.42333333333333,5.888,5.935,87.8,9.7,29.1,8.47,58.1
2024-04-20 00:00:00.000,308.60541666666666,-27.77472222222222,6.072,6.087,86.2,9.5,29.3,8.05,99.1
2024-04-25 00:00:00.000,308.8712499999999,-27.82638888888889,5.991,6.088,90.8,9.5,29.2,6.41,106.5
2024-04-30 00:00:00.000,309.06791666666663,-27.89638888888889,5.911,6.089,95.4,9.5,29.2,4.89,119.2
2024-05-05 00:00:00.000,309.1920833333333,-27.985,5.831,6.09,100.1,9.4,29.2,3.74,141.9
2024-05-10 00:00:00.000,309.24125,-28.092222222222222,5.753,6.09,104.9,9.2,29.1,3.51,175.2
2024-05-15 00:00:00.000,309.2133333333333,-28.217499999999998,5.676,6.091,109.7,9.0,29.1,4.39,203.7
