Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-11-27 00:00:00.000,158.79041666666666,14.36,4.237,4.339,89.3,13.1,27.5,11.75,102.6
2022-12-02 00:00:00.000,159.14124999999999,14.292222222222222,4.172,4.354,94.1,13.1,27.5,9.05,99.5
2022-12-07 00:00:00.000,159.40291666666664,14.260277777777778,4.107,4.368,98.9,12.9,27.5,6.29,93.8
2022-12-12 00:00:00.000,159.57166666666663,14.264722222222222,4.043,4.383,103.8,12.6,27.5,3.6,78.9
2022-12-17 00:00:00.000,159.64458333333332,14.306666666666667,3.981,4.397,108.8,12.2,27.4,1.94,20.8
2022-12-22 00:00:00.000,159.6183333333333,14.385833333333332,3.921,4.412,113.9,11.8,27.4,3.68,322.8
2022-12-27 00:00:00.000,159.49124999999998,14.501944444444444,3.863,4.426,119.1,11.2,27.4,6.56,307.9
2023-01-01 00:00:00.000,159.2625,14.65388888888889,3.809,4.44,124.4,10.5,27.4,9.54,302.1
2023-01-06 00:00:00.000,158.9345833333333,14.83888888888889,3.759,4.453,129.8,9.8,27.4,12.49,298.8
2023-04-01 00:00:00.000,146.7745833333333,18.565833333333334,3.94,4.666,131.9,9.2,27.7,12.17,273.4
2023-04-06 00:00:00.000,146.39374999999998,18.573055555555555,4.011,4.677,126.6,9.9,27.7,9.52,268.3
2023-04-11 00:00:00.000,146.10625,18.547500000000003,4.086,4.688,121.5,10.5,27.8,6.96,259.7
2023-04-16 00:00:00.000,145.9125,18.490277777777777,4.166,4.699,116.5,11.0,27.8,4.71,242.5
2023-04-21 00:00:00.000,145.8120833333333,18.403055555555554,4.248,4.71,111.5,11.4,27.9,3.42,206.5
2023-04-26 00:00:00.000,145.80416666666665,18.28666666666667,4.332,4.721,106.7,11.8,27.9,4.05,164.8
2023-05-01 00:00:00.000,145.88541666666666,18.143333333333334,4.418,4.731,102.0,12.0,28.0,5.88,142.9
2023-05-06 00:00:00.000,146.05166666666662,17.974166666666665,4.506,4.742,97.4,12.2,28.0,8.03,132.6
2023-05-11 00:00:00.000,146.29874999999998,17.781388888888888,4.594,4.752,92.8,12.3,28.1,10.21,126.9
2023-05-16 00:00:00.000,146.62249999999997,17.56638888888889,4.683,4.762,88.4,12.3,28.1,12.35,123.3
2023-12-22 00:00:00.000,181.99166666666667,1.8038888888888889,5.005,5.074,88.4,11.2,28.6,9.84,112.3
2023-12-27 00:00:00.000,182.2595833333333,1.695,4.927,5.078,93.2,11.1,28.5,7.5,111.9
2024-01-01 00:00:00.000,182.45458333333332,1.6177777777777778,4.85,5.082,98.1,11.0,28.5,5.06,111.2
2024-01-06 00:00:00.000,182.57291666666663,1.5730555555555557,4.773,5.086,103.1,10.9,28.5,2.51,109.4
2024-01-11 00:00:00.000,182.61208333333332,1.5625,4.698,5.09,108.1,10.6,28.4,0.2,344.9
2024-01-16 00:00:00.000,182.56916666666663,1.5858333333333334,4.624,5.094,113.3,10.2,28.4,2.8,295.8
2024-01-21 00:00:00.000,182.44375,1.6436111111111111,4.554,5.097,118.5,9.8,28.4,5.47,294.1
2024-01-26 00:00:00.000,182.23624999999998,1.7347222222222223,4.487,5.1,123.8,9.2,28.3,8.13,293.4
2024-01-31 00:00:00.000,181.94708333333332,1.8586111111111112,4.424,5.104,129.2,8.6,28.3,10.74,293.0
2024-02-05 00:00:00.000,181.57791666666665,2.013888888888889,4.366,5.107,134.6,7.9,28.3,13.26,292.7
2024-04-25 00:00:00.000,171.2770833333333,5.779166666666667,4.38,5.138,134.7,8.0,28.3,13.34,285.0
2024-04-30 00:00:00.000,170.8820833333333,5.878333333333334,4.439,5.139,129.5,8.7,28.3,10.97,283.1
2024-05-05 00:00:00.000,170.56208333333333,5.945,4.503,5.139,124.3,9.3,28.4,8.53,280.2
2024-05-10 00:00:00.000,170.32,5.978888888888889,4.571,5.14,119.2,9.9,28.4,6.07,274.9
2024-05-15 00:00:00.000,170.15666666666664,5.98,4.642,5.14,114.3,10.3,28.4,3.73,263.0
