Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-21 00:00:00.000,342.2804166666666,-29.174166666666668,9.178,9.191,87.6,6.3,24.9,7.16,110.6
2022-05-26 00:00:00.000,342.5145833333333,-29.267777777777777,9.106,9.196,91.9,6.3,24.9,6.37,119.1
2022-05-31 00:00:00.000,342.7049999999999,-29.380555555555556,9.035,9.201,96.3,6.3,24.9,5.71,129.9
2022-06-05 00:00:00.000,342.85,-29.511666666666667,8.964,9.207,100.7,6.2,24.9,5.27,142.9
2022-06-10 00:00:00.000,342.9483333333333,-29.66,8.895,9.212,105.2,6.1,24.9,5.09,157.5
2022-06-15 00:00:00.000,342.99916666666667,-29.82472222222222,8.827,9.218,109.6,6.0,24.9,5.21,172.2
2022-06-20 00:00:00.000,343.00249999999994,-30.003888888888888,8.762,9.223,114.0,5.8,24.9,5.61,185.5
2022-06-25 00:00:00.000,342.9579166666667,-30.19638888888889,8.7,9.228,118.5,5.6,24.8,6.22,196.7
2022-06-30 00:00:00.000,342.86499999999995,-30.400277777777777,8.641,9.233,122.9,5.3,24.8,6.96,205.8
2022-07-05 00:00:00.000,342.72416666666663,-30.613333333333333,8.586,9.239,127.4,5.0,24.8,7.77,213.1
2022-07-10 00:00:00.000,342.53708333333327,-30.833333333333332,8.536,9.244,131.7,4.7,24.8,8.58,219.0
2022-10-03 00:00:00.000,335.68791666666664,-33.09388888888889,8.632,9.328,131.7,4.6,24.9,8.76,279.5
2022-10-08 00:00:00.000,335.3633333333333,-33.033055555555556,8.694,9.332,127.2,4.9,24.9,7.98,286.0
2022-10-13 00:00:00.000,335.0791666666666,-32.9475,8.761,9.337,122.6,5.2,24.9,7.24,293.8
2022-10-18 00:00:00.000,334.8379166666667,-32.83861111111111,8.832,9.342,118.0,5.4,24.9,6.58,303.3
2022-10-23 00:00:00.000,334.64333333333326,-32.70722222222223,8.907,9.346,113.4,5.6,25.0,6.07,314.6
2022-10-28 00:00:00.000,334.49625000000003,-32.55472222222222,8.984,9.351,108.7,5.8,25.0,5.78,327.6
2022-11-02 00:00:00.000,334.3983333333333,-32.3825,9.064,9.355,104.1,5.9,25.0,5.75,341.3
2022-11-07 00:00:00.000,334.3508333333333,-32.19194444444444,9.146,9.36,99.5,6.0,25.0,6.0,354.4
2022-11-12 00:00:00.000,334.35249999999996,-31.984722222222224,9.229,9.364,94.8,6.0,25.0,6.48,6.0
2022-11-17 00:00:00.000,334.40374999999995,-31.7625,9.313,9.369,90.2,6.1,25.1,7.15,15.7
2022-11-22 00:00:00.000,334.50333333333333,-31.52638888888889,9.397,9.373,85.6,6.0,25.1,7.93,23.6
2023-05-31 00:00:00.000,352.2204166666666,-24.065555555555555,9.534,9.52,86.2,6.1,25.2,6.71,105.4
2023-06-05 00:00:00.000,352.43749999999994,-24.134166666666665,9.459,9.523,90.5,6.1,25.2,5.89,113.5
2023-06-10 00:00:00.000,352.6141666666666,-24.221944444444443,9.385,9.526,94.9,6.1,25.2,5.18,124.2
2023-06-15 00:00:00.000,352.74999999999994,-24.328055555555554,9.311,9.53,99.4,6.0,25.1,4.66,137.8
2023-06-20 00:00:00.000,352.8433333333333,-24.451944444444443,9.239,9.533,103.8,5.9,25.1,4.42,153.8
2023-06-25 00:00:00.000,352.8929166666666,-24.592222222222222,9.168,9.536,108.3,5.8,25.1,4.51,170.3
2023-06-30 00:00:00.000,352.89874999999995,-24.748055555555556,9.099,9.539,112.8,5.6,25.1,4.9,185.2
2023-07-05 00:00:00.000,352.86041666666665,-24.9175,9.033,9.542,117.3,5.4,25.1,5.52,197.2
2023-07-10 00:00:00.000,352.77833333333325,-25.099166666666665,8.971,9.545,121.8,5.2,25.1,6.29,206.7
2023-07-15 00:00:00.000,352.6525,-25.291111111111114,8.912,9.549,126.3,4.9,25.0,7.13,214.1
2023-07-20 00:00:00.000,352.48374999999993,-25.491666666666667,8.858,9.552,130.7,4.6,25.0,7.99,220.1
2023-10-13 00:00:00.000,346.10166666666663,-27.770555555555553,8.885,9.599,133.4,4.3,25.1,8.92,275.9
2023-10-18 00:00:00.000,345.78416666666664,-27.72722222222222,8.945,9.601,128.8,4.6,25.1,8.13,281.8
2023-10-23 00:00:00.000,345.5029166666667,-27.65972222222222,9.009,9.604,124.2,4.9,25.1,7.36,288.9
2023-10-28 00:00:00.000,345.26083333333327,-27.56861111111111,9.078,9.606,119.5,5.2,25.1,6.65,297.6
2023-11-02 00:00:00.000,345.06,-27.454722222222223,9.15,9.609,114.8,5.4,25.1,6.07,308.1
2023-11-07 00:00:00.000,344.9025,-27.319444444444443,9.226,9.611,110.1,5.6,25.2,5.67,320.5
2023-11-12 00:00:00.000,344.78999999999996,-27.16333333333333,9.304,9.613,105.3,5.7,25.2,5.52,334.2
2023-11-17 00:00:00.000,344.72291666666655,-26.988333333333333,9.384,9.616,100.6,5.8,25.2,5.66,348.0
2023-11-22 00:00:00.000,344.7020833333333,-26.795,9.466,9.618,95.9,5.9,25.2,6.05,0.5
2023-11-27 00:00:00.000,344.72708333333327,-26.585833333333333,9.548,9.62,91.2,5.9,25.2,6.64,11.1
2023-12-02 00:00:00.000,344.79708333333326,-26.36138888888889,9.631,9.623,86.6,5.9,25.3,7.37,19.7
