Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-10-03 00:00:00.000,104.63749999999999,23.43861111111111,8.208,8.2,86.1,7.0,22.2,6.63,90.6
2022-10-08 00:00:00.000,104.85249999999999,23.439166666666665,8.128,8.203,90.8,7.0,22.2,5.21,89.1
2022-10-13 00:00:00.000,105.01499999999999,23.444444444444446,8.049,8.207,95.6,7.0,22.2,3.75,86.3
2022-10-18 00:00:00.000,105.12374999999999,23.455277777777777,7.971,8.21,100.4,6.9,22.2,2.27,79.7
2022-10-23 00:00:00.000,105.17666666666665,23.47138888888889,7.894,8.213,105.4,6.7,22.1,0.9,50.2
2022-10-28 00:00:00.000,105.17333333333332,23.493333333333336,7.818,8.217,110.3,6.5,22.1,1.14,310.5
2022-11-02 00:00:00.000,105.11375,23.520833333333332,7.745,8.22,115.4,6.3,22.1,2.58,290.6
2022-11-07 00:00:00.000,104.99833333333332,23.553611111111113,7.676,8.223,120.5,6.0,22.1,4.08,285.1
2022-11-12 00:00:00.000,104.82791666666665,23.591666666666665,7.61,8.227,125.7,5.6,22.1,5.56,282.6
2022-11-17 00:00:00.000,104.60416666666666,23.634166666666665,7.548,8.23,130.9,5.2,22.0,6.99,281.0
2023-02-15 00:00:00.000,97.02874999999999,24.404166666666665,7.609,8.287,130.7,5.2,22.1,6.77,273.9
2023-02-20 00:00:00.000,96.80749999999999,24.41777777777778,7.677,8.29,125.4,5.6,22.1,5.32,273.9
2023-02-25 00:00:00.000,96.64083333333333,24.428333333333335,7.75,8.293,120.2,5.9,22.1,3.81,274.0
2023-03-02 00:00:00.000,96.52916666666667,24.435833333333335,7.827,8.296,115.1,6.2,22.2,2.28,274.5
2023-03-07 00:00:00.000,96.47416666666666,24.440277777777776,7.906,8.299,110.1,6.4,22.2,0.74,277.3
2023-03-12 00:00:00.000,96.47541666666666,24.441944444444445,7.988,8.302,105.1,6.6,22.2,0.8,89.0
2023-03-17 00:00:00.000,96.53291666666665,24.441111111111113,8.072,8.305,100.1,6.8,22.2,2.32,91.6
2023-03-22 00:00:00.000,96.64541666666666,24.43777777777778,8.157,8.307,95.3,6.9,22.3,3.83,92.1
2023-03-27 00:00:00.000,96.81249999999999,24.431944444444447,8.242,8.31,90.5,6.9,22.3,5.3,92.3
2023-04-01 00:00:00.000,97.03249999999998,24.42361111111111,8.328,8.313,85.7,6.9,22.3,6.71,92.5
2023-10-18 00:00:00.000,119.94041666666665,22.249722222222225,8.415,8.414,86.5,6.8,22.4,6.27,93.8
2023-10-23 00:00:00.000,120.14083333333332,22.240555555555556,8.334,8.416,91.3,6.8,22.4,4.86,91.5
2023-10-28 00:00:00.000,120.29041666666666,22.24138888888889,8.254,8.418,96.1,6.7,22.3,3.44,87.1
2023-11-02 00:00:00.000,120.38791666666667,22.252222222222223,8.174,8.42,101.0,6.6,22.3,2.04,76.3
2023-11-07 00:00:00.000,120.4325,22.27361111111111,8.095,8.422,106.0,6.5,22.3,0.93,31.6
2023-11-12 00:00:00.000,120.42291666666665,22.30527777777778,8.018,8.424,111.0,6.3,22.3,1.5,317.4
2023-11-17 00:00:00.000,120.35916666666667,22.34722222222222,7.944,8.426,116.1,6.0,22.3,2.89,299.2
2023-11-22 00:00:00.000,120.24166666666666,22.399166666666666,7.873,8.428,121.3,5.7,22.2,4.34,293.1
2023-11-27 00:00:00.000,120.07166666666664,22.460277777777776,7.806,8.43,126.5,5.4,22.2,5.77,290.0
2023-12-02 00:00:00.000,119.85083333333331,22.529999999999998,7.743,8.432,131.8,5.0,22.2,7.15,288.1
2024-03-01 00:00:00.000,112.54041666666666,23.945833333333333,7.796,8.466,129.9,5.1,22.2,6.57,277.4
2024-03-06 00:00:00.000,112.32791666666665,23.97,7.863,8.467,124.7,5.5,22.3,5.16,276.6
2024-03-11 00:00:00.000,112.16708333333332,23.985555555555557,7.934,8.469,119.6,5.9,22.3,3.7,275.3
2024-03-16 00:00:00.000,112.05958333333332,23.9925,8.01,8.471,114.5,6.1,22.3,2.21,272.4
2024-03-21 00:00:00.000,112.00624999999998,23.991666666666667,8.088,8.472,109.5,6.4,22.3,0.74,258.2
2024-03-26 00:00:00.000,112.00666666666666,23.982777777777777,8.168,8.474,104.5,6.5,22.3,0.85,117.0
2024-03-31 00:00:00.000,112.06083333333332,23.96611111111111,8.251,8.475,99.6,6.7,22.4,2.3,105.5
2024-04-05 00:00:00.000,112.16833333333332,23.941944444444445,8.334,8.477,94.8,6.8,22.4,3.75,102.8
2024-04-10 00:00:00.000,112.32749999999999,23.910555555555554,8.418,8.479,90.1,6.8,22.4,5.18,101.7
2024-04-15 00:00:00.000,112.53708333333331,23.871944444444445,8.502,8.48,85.3,6.8,22.4,6.56,101.1
