Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-07-20 00:00:00.000,29.535416666666663,7.126944444444444,1.942,2.145,87.0,28.2,20.8,61.92,84.5
2022-07-25 00:00:00.000,31.577916666666663,7.291111111111111,1.885,2.138,89.8,28.4,20.7,60.03,86.3
2022-07-30 00:00:00.000,33.557916666666664,7.3875,1.829,2.133,92.7,28.4,20.6,57.91,88.2
2022-08-04 00:00:00.000,35.46541666666666,7.413055555555556,1.773,2.128,95.6,28.3,20.5,55.58,90.3
2022-08-09 00:00:00.000,37.291666666666664,7.365277777777777,1.719,2.123,98.7,28.2,20.4,53.07,92.8
2022-08-14 00:00:00.000,39.02583333333333,7.241944444444444,1.666,2.12,101.8,27.9,20.4,50.37,95.5
2022-08-19 00:00:00.000,40.656666666666666,7.041111111111111,1.614,2.117,105.1,27.5,20.3,47.44,98.7
2022-08-24 00:00:00.000,42.170416666666654,6.760833333333333,1.564,2.115,108.5,27.0,20.2,44.28,102.5
2022-08-29 00:00:00.000,43.55416666666666,6.400277777777778,1.516,2.113,112.0,26.3,20.2,40.97,107.0
2022-09-03 00:00:00.000,44.79416666666666,5.960555555555556,1.47,2.112,115.6,25.5,20.1,37.6,112.5
2022-09-08 00:00:00.000,45.87958333333333,5.444166666666667,1.427,2.112,119.4,24.6,20.0,34.29,119.0
2022-09-13 00:00:00.000,46.799166666666665,4.8549999999999995,1.386,2.113,123.3,23.5,20.0,31.16,126.9
2022-09-18 00:00:00.000,47.54208333333333,4.197777777777778,1.348,2.114,127.3,22.2,19.9,28.4,136.7
2022-09-23 00:00:00.000,48.09791666666666,3.479722222222222,1.313,2.116,131.5,20.8,19.8,26.25,148.4
2022-12-17 00:00:00.000,41.90666666666666,-2.8725,1.473,2.247,131.2,19.2,20.4,14.51,11.4
2022-12-22 00:00:00.000,42.08333333333333,-2.358611111111111,1.527,2.26,126.9,20.4,20.5,18.25,24.9
2022-12-27 00:00:00.000,42.41958333333332,-1.7730555555555556,1.585,2.273,122.8,21.3,20.6,22.32,33.9
2023-01-01 00:00:00.000,42.912083333333335,-1.1280555555555556,1.645,2.287,118.7,22.2,20.7,26.37,40.3
2023-01-06 00:00:00.000,43.55291666666666,-0.435,1.709,2.301,114.8,22.8,20.8,30.24,45.0
2023-01-11 00:00:00.000,44.33333333333333,0.29527777777777775,1.774,2.316,110.9,23.4,20.9,33.86,48.6
2023-01-16 00:00:00.000,45.244583333333324,1.0538888888888889,1.842,2.331,107.2,23.8,21.0,37.24,51.7
2023-01-21 00:00:00.000,46.27833333333333,1.8330555555555554,1.912,2.346,103.5,24.1,21.1,40.38,54.2
2023-01-26 00:00:00.000,47.42708333333333,2.625,1.983,2.362,100.0,24.2,21.2,43.25,56.5
2023-01-31 00:00:00.000,48.68166666666666,3.4230555555555555,2.056,2.378,96.5,24.3,21.3,45.82,58.5
2023-02-05 00:00:00.000,50.0325,4.220277777777778,2.13,2.394,93.1,24.3,21.4,48.11,60.3
2023-02-10 00:00:00.000,51.47124999999999,5.011666666666667,2.205,2.411,89.7,24.2,21.5,50.15,61.9
2023-02-15 00:00:00.000,52.99083333333333,5.793055555555555,2.28,2.428,86.5,23.9,21.6,51.98,63.4
2023-11-17 00:00:00.000,148.46041666666665,6.1994444444444445,3.464,3.529,85.6,16.2,24.2,19.73,110.6
2023-11-22 00:00:00.000,149.03083333333333,5.985555555555556,3.407,3.548,90.0,16.2,24.2,16.62,110.8
2023-11-27 00:00:00.000,149.5008333333333,5.807222222222222,3.351,3.567,94.5,16.0,24.1,13.37,111.0
2023-12-02 00:00:00.000,149.8658333333333,5.667777777777778,3.295,3.587,99.2,15.7,24.1,9.96,111.0
2023-12-07 00:00:00.000,150.1220833333333,5.570277777777777,3.239,3.606,103.9,15.4,24.1,6.39,110.8
2023-12-12 00:00:00.000,150.265,5.517777777777778,3.185,3.625,108.8,14.9,24.1,2.7,108.8
2023-12-17 00:00:00.000,150.2925,5.513333333333334,3.132,3.643,113.9,14.3,24.1,1.11,303.0
2023-12-22 00:00:00.000,150.20291666666665,5.5586111111111105,3.083,3.662,119.0,13.6,24.1,4.89,295.7
2023-12-27 00:00:00.000,149.99749999999997,5.655,3.036,3.681,124.3,12.8,24.1,8.66,295.0
2024-01-01 00:00:00.000,149.67791666666665,5.803055555555555,2.993,3.7,129.7,11.8,24.1,12.37,294.9
2024-03-26 00:00:00.000,138.04958333333332,12.293611111111112,3.272,3.999,131.1,10.8,24.6,11.6,318.5
2024-03-31 00:00:00.000,137.84041666666664,12.564722222222223,3.347,4.016,125.9,11.6,24.7,8.84,328.9
2024-04-05 00:00:00.000,137.73791666666662,12.79861111111111,3.426,4.032,120.9,12.3,24.7,6.62,347.3
2024-04-10 00:00:00.000,137.74124999999995,12.995,3.509,4.049,115.9,12.9,24.8,5.57,16.9
2024-04-15 00:00:00.000,137.8475,13.154166666666667,3.595,4.065,111.1,13.3,24.9,6.22,47.4
2024-04-20 00:00:00.000,138.05291666666665,13.27638888888889,3.683,4.081,106.4,13.7,24.9,8.03,67.1
2024-04-25 00:00:00.000,138.35208333333333,13.363055555555555,3.772,4.097,101.7,13.9,25.0,10.27,78.3
2024-04-30 00:00:00.000,138.74041666666665,13.415000000000001,3.863,4.113,97.2,14.1,25.1,12.61,85.2
2024-05-05 00:00:00.000,139.21166666666667,13.43388888888889,3.955,4.129,92.8,14.1,25.1,14.92,89.7
2024-05-10 00:00:00.000,139.76125,13.420277777777777,4.046,4.144,88.5,14.1,25.2,17.16,92.9
