Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-06-10 00:00:00.000,208.69375,-8.11888888888889,3.002,3.743,130.6,11.9,22.6,14.24,270.3
2022-06-15 00:00:00.000,208.26916666666665,-8.136388888888888,3.047,3.73,125.5,12.8,22.6,11.04,264.2
2022-06-20 00:00:00.000,207.95499999999998,-8.193611111111112,3.096,3.716,120.5,13.6,22.7,8.01,253.2
2022-06-25 00:00:00.000,207.7533333333333,-8.290555555555555,3.148,3.702,115.6,14.3,22.7,5.56,230.9
2022-06-30 00:00:00.000,207.6645833333333,-8.426944444444445,3.203,3.688,110.8,14.9,22.7,4.77,191.8
2022-07-05 00:00:00.000,207.6870833333333,-8.601111111111111,3.26,3.674,106.1,15.4,22.7,6.23,158.3
2022-07-10 00:00:00.000,207.81874999999997,-8.812222222222223,3.318,3.66,101.5,15.8,22.7,8.78,141.3
2022-07-15 00:00:00.000,208.0558333333333,-9.057222222222222,3.378,3.645,97.1,16.1,22.8,11.6,132.6
2022-07-20 00:00:00.000,208.39374999999998,-9.334722222222222,3.437,3.63,92.7,16.2,22.8,14.45,127.4
2022-07-25 00:00:00.000,208.8295833333333,-9.6425,3.497,3.615,88.4,16.3,22.8,17.26,124.1
2023-04-06 00:00:00.000,291.3691666666667,-26.41888888888889,2.5,2.636,86.5,22.3,20.7,43.77,92.6
2023-04-11 00:00:00.000,292.9654166666666,-26.490833333333335,2.413,2.613,90.0,22.5,20.6,42.05,93.2
2023-04-16 00:00:00.000,294.4941666666666,-26.576666666666668,2.327,2.591,93.6,22.7,20.5,40.14,94.1
2023-04-21 00:00:00.000,295.9470833333333,-26.68166666666667,2.241,2.568,97.2,22.8,20.3,38.02,95.2
2023-04-26 00:00:00.000,297.31666666666666,-26.810000000000002,2.156,2.545,100.8,22.8,20.2,35.73,96.8
2023-05-01 00:00:00.000,298.5945833333333,-26.96638888888889,2.073,2.522,104.6,22.7,20.1,33.29,98.9
2023-05-06 00:00:00.000,299.7733333333333,-27.15611111111111,1.991,2.5,108.4,22.5,20.0,30.69,101.7
2023-05-11 00:00:00.000,300.8429166666666,-27.383333333333333,1.911,2.477,112.3,22.2,19.8,27.95,105.4
2023-05-16 00:00:00.000,301.79208333333327,-27.653333333333332,1.833,2.454,116.3,21.7,19.7,25.1,110.5
2023-05-21 00:00:00.000,302.60791666666665,-27.97083333333333,1.757,2.431,120.4,21.0,19.6,22.26,117.5
2023-05-26 00:00:00.000,303.2795833333333,-28.33888888888889,1.685,2.409,124.6,20.3,19.5,19.68,127.0
2023-05-31 00:00:00.000,303.79499999999996,-28.760555555555555,1.615,2.386,128.9,19.3,19.3,17.66,139.7
2023-06-05 00:00:00.000,304.14416666666665,-29.236666666666668,1.549,2.363,133.3,18.2,19.2,16.59,155.6
2023-08-29 00:00:00.000,291.6333333333333,-36.39277777777778,1.189,2.003,131.1,22.3,17.9,6.62,333.6
2023-09-03 00:00:00.000,291.64666666666665,-36.158055555555556,1.21,1.985,126.6,24.1,17.9,8.89,23.9
2023-09-08 00:00:00.000,291.9308333333333,-35.853611111111114,1.234,1.967,122.3,25.7,17.9,14.36,45.2
2023-09-13 00:00:00.000,292.48375,-35.48583333333333,1.261,1.949,118.2,27.1,17.9,20.55,54.5
2023-09-18 00:00:00.000,293.2979166666666,-35.05972222222222,1.289,1.932,114.2,28.3,17.9,26.83,59.5
2023-09-23 00:00:00.000,294.3616666666667,-34.57916666666667,1.319,1.916,110.4,29.4,17.9,32.94,62.5
2023-09-28 00:00:00.000,295.65749999999997,-34.04611111111111,1.35,1.9,106.8,30.3,17.9,38.75,64.4
2023-10-03 00:00:00.000,297.16624999999993,-33.46194444444445,1.382,1.885,103.4,31.1,18.0,44.23,65.6
2023-10-08 00:00:00.000,298.86999999999995,-32.825833333333335,1.415,1.87,100.1,31.7,18.0,49.43,66.3
2023-10-13 00:00:00.000,300.7516666666666,-32.13722222222222,1.449,1.857,97.0,32.2,18.0,54.35,66.7
2023-10-18 00:00:00.000,302.79499999999996,-31.394166666666667,1.483,1.843,94.0,32.6,18.0,58.96,66.9
2023-10-23 00:00:00.000,304.9816666666666,-30.595555555555553,1.518,1.831,91.1,32.9,18.0,63.23,66.9
2023-10-28 00:00:00.000,307.29375,-29.740833333333335,1.553,1.82,88.4,33.1,18.1,67.15,66.8
2023-11-02 00:00:00.000,309.71374999999995,-28.828611111111112,1.588,1.809,85.7,33.2,18.1,70.78,66.5
