Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-05-01 00:00:00.000,309.35958333333326,-22.948055555555555,6.645,6.797,94.5,8.5,24.4,5.84,84.6
2022-05-06 00:00:00.000,309.53916666666663,-22.9375,6.58,6.813,99.1,8.4,24.4,4.09,88.6
2022-05-11 00:00:00.000,309.6558333333333,-22.941666666666666,6.517,6.829,103.8,8.3,24.4,2.37,98.4
2022-05-16 00:00:00.000,309.70916666666665,-22.960555555555555,6.455,6.845,108.6,8.0,24.4,0.99,142.6
2022-05-21 00:00:00.000,309.6991666666666,-22.99361111111111,6.396,6.861,113.4,7.8,24.4,1.67,223.7
2022-05-26 00:00:00.000,309.62541666666664,-23.040833333333335,6.339,6.877,118.3,7.5,24.4,3.32,240.9
2022-05-31 00:00:00.000,309.4891666666666,-23.100833333333334,6.286,6.893,123.2,7.1,24.4,5.03,246.6
2022-06-05 00:00:00.000,309.29166666666663,-23.173333333333336,6.236,6.909,128.2,6.6,24.4,6.7,249.6
2022-06-10 00:00:00.000,309.03499999999997,-23.25638888888889,6.191,6.925,133.2,6.1,24.4,8.29,251.4
2022-09-08 00:00:00.000,300.67375,-24.610277777777778,6.486,7.206,132.5,5.9,24.6,7.33,272.6
2022-09-13 00:00:00.000,300.43375,-24.592777777777776,6.564,7.221,127.5,6.3,24.7,5.8,277.1
2022-09-18 00:00:00.000,300.25249999999994,-24.56277777777778,6.647,7.236,122.5,6.7,24.7,4.27,284.7
2022-09-23 00:00:00.000,300.1316666666666,-24.520555555555553,6.733,7.252,117.5,7.1,24.7,2.86,300.3
2022-09-28 00:00:00.000,300.0720833333333,-24.466666666666665,6.823,7.267,112.6,7.3,24.8,1.95,336.6
2022-10-03 00:00:00.000,300.07499999999993,-24.40138888888889,6.915,7.282,107.7,7.5,24.8,2.31,23.3
2022-10-08 00:00:00.000,300.13874999999996,-24.325277777777778,7.009,7.297,102.9,7.7,24.9,3.55,46.5
2022-10-13 00:00:00.000,300.2629166666666,-24.238611111111112,7.105,7.313,98.1,7.8,24.9,5.03,56.8
2022-10-18 00:00:00.000,300.4458333333333,-24.141944444444444,7.202,7.328,93.3,7.8,24.9,6.55,62.3
2022-10-23 00:00:00.000,300.68583333333333,-24.035555555555558,7.3,7.343,88.6,7.8,25.0,8.07,65.6
2023-05-11 00:00:00.000,324.41291666666666,-17.083055555555557,7.882,7.923,88.6,7.3,25.5,5.95,74.2
2023-05-16 00:00:00.000,324.5879166666667,-17.037222222222223,7.814,7.937,93.3,7.3,25.5,4.46,75.2
2023-05-21 00:00:00.000,324.7129166666666,-17.0075,7.746,7.95,98.0,7.2,25.4,2.93,77.3
2023-05-26 00:00:00.000,324.78708333333327,-16.994444444444447,7.68,7.964,102.7,7.1,25.4,1.4,83.9
2023-05-31 00:00:00.000,324.80999999999995,-16.997500000000002,7.615,7.978,107.5,7.0,25.4,0.35,191.7
2023-06-05 00:00:00.000,324.7820833333333,-17.016944444444444,7.551,7.992,112.3,6.7,25.4,1.74,241.9
2023-06-10 00:00:00.000,324.70374999999996,-17.051944444444445,7.491,8.006,117.2,6.5,25.4,3.25,246.7
2023-06-15 00:00:00.000,324.5745833333333,-17.102222222222224,7.434,8.019,122.1,6.2,25.4,4.74,248.5
2023-06-20 00:00:00.000,324.39624999999995,-17.16722222222222,7.38,8.033,127.0,5.8,25.4,6.19,249.6
2023-06-25 00:00:00.000,324.16999999999996,-17.245833333333334,7.331,8.046,132.0,5.4,25.4,7.57,250.3
2023-09-23 00:00:00.000,316.88,-19.119722222222222,7.555,8.286,134.2,5.0,25.6,7.56,262.0
2023-09-28 00:00:00.000,316.63875,-19.147777777777776,7.631,8.299,129.1,5.4,25.6,6.21,264.3
2023-10-03 00:00:00.000,316.44458333333324,-19.16111111111111,7.711,8.312,124.0,5.7,25.6,4.82,267.8
2023-10-08 00:00:00.000,316.2991666666666,-19.16,7.795,8.325,119.0,6.0,25.7,3.42,274.2
2023-10-13 00:00:00.000,316.2045833333333,-19.144444444444446,7.883,8.338,113.9,6.3,25.7,2.08,289.3
2023-10-18 00:00:00.000,316.16083333333324,-19.11416666666667,7.974,8.351,109.0,6.5,25.7,1.23,336.1
2023-10-23 00:00:00.000,316.1691666666666,-19.069444444444443,8.067,8.364,104.0,6.6,25.8,1.82,31.8
2023-10-28 00:00:00.000,316.2283333333333,-19.010833333333334,8.161,8.376,99.1,6.7,25.8,3.1,50.6
2023-11-02 00:00:00.000,316.3379166666666,-18.93861111111111,8.257,8.389,94.2,6.8,25.8,4.48,58.1
2023-11-07 00:00:00.000,316.49625,-18.853055555555557,8.354,8.402,89.4,6.8,25.9,5.87,61.9
