Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2022-07-30 00:00:00.000,36.76166666666667,8.966666666666667,5.012,5.099,89.2,11.5,19.1,13.48,92.2
2022-08-04 00:00:00.000,37.182916666666664,8.935277777777777,4.94,5.104,93.5,11.4,19.0,11.57,96.7
2022-08-09 00:00:00.000,37.536249999999995,8.87638888888889,4.868,5.109,98.0,11.3,19.0,9.68,103.0
2022-08-14 00:00:00.000,37.818749999999994,8.79,4.797,5.114,102.5,11.2,19.0,7.9,112.4
2022-08-19 00:00:00.000,38.02791666666666,8.67611111111111,4.728,5.118,107.1,10.9,19.0,6.37,126.9
2022-08-24 00:00:00.000,38.16166666666666,8.534722222222221,4.66,5.123,111.8,10.6,18.9,5.44,148.7
2022-08-29 00:00:00.000,38.217499999999994,8.366388888888888,4.595,5.128,116.6,10.1,18.9,5.47,174.6
2022-09-03 00:00:00.000,38.195833333333326,8.172222222222222,4.533,5.133,121.5,9.6,18.9,6.46,196.2
2022-09-08 00:00:00.000,38.096666666666664,7.953333333333333,4.475,5.138,126.4,9.1,18.9,8.04,210.5
2022-09-13 00:00:00.000,37.92166666666666,7.711388888888889,4.421,5.143,131.5,8.4,18.8,9.87,219.8
2022-12-07 00:00:00.000,29.71625,3.366111111111111,4.494,5.224,133.7,7.8,18.9,8.99,255.4
2022-12-12 00:00:00.000,29.46083333333333,3.3077777777777775,4.559,5.229,128.5,8.5,19.0,6.69,259.5
2022-12-17 00:00:00.000,29.27833333333333,3.2844444444444445,4.628,5.234,123.3,9.0,19.0,4.37,267.6
2022-12-22 00:00:00.000,29.170416666666664,3.2952777777777778,4.701,5.239,118.2,9.5,19.1,2.25,291.8
2022-12-27 00:00:00.000,29.138749999999998,3.3397222222222225,4.778,5.243,113.2,9.9,19.1,1.84,6.6
2023-01-01 00:00:00.000,29.184166666666663,3.4166666666666665,4.857,5.248,108.2,10.3,19.1,3.73,42.1
2023-01-06 00:00:00.000,29.305416666666662,3.5238888888888886,4.939,5.253,103.3,10.5,19.2,5.98,52.4
2023-01-11 00:00:00.000,29.5,3.6594444444444445,5.021,5.258,98.5,10.7,19.2,8.24,57.1
2023-01-16 00:00:00.000,29.766666666666662,3.8213888888888885,5.105,5.262,93.8,10.8,19.3,10.45,59.9
2023-01-21 00:00:00.000,30.103333333333328,4.008055555555556,5.19,5.267,89.1,10.8,19.3,12.59,61.8
2023-08-29 00:00:00.000,68.05874999999999,11.847777777777779,5.425,5.465,86.9,10.6,19.5,13.13,106.1
2023-09-03 00:00:00.000,68.45541666666665,11.71861111111111,5.352,5.469,91.3,10.6,19.5,11.43,111.1
2023-09-08 00:00:00.000,68.78374999999998,11.573888888888888,5.279,5.473,95.8,10.6,19.5,9.75,117.9
2023-09-13 00:00:00.000,69.04041666666666,11.415000000000001,5.206,5.477,100.4,10.4,19.5,8.17,127.6
2023-09-18 00:00:00.000,69.22333333333331,11.242222222222221,5.135,5.482,105.0,10.2,19.4,6.86,141.5
2023-09-23 00:00:00.000,69.33,11.057222222222222,5.066,5.486,109.7,9.9,19.4,6.06,160.6
2023-09-28 00:00:00.000,69.35958333333333,10.861666666666666,4.999,5.49,114.5,9.6,19.4,6.02,182.5
2023-10-03 00:00:00.000,69.31208333333333,10.656666666666666,4.934,5.494,119.3,9.1,19.4,6.77,202.1
2023-10-08 00:00:00.000,69.18666666666665,10.443888888888889,4.873,5.498,124.2,8.6,19.3,8.08,216.7
2023-10-13 00:00:00.000,68.98499999999999,10.225277777777778,4.817,5.502,129.2,8.1,19.3,9.69,226.9
2023-10-18 00:00:00.000,68.70833333333333,10.003055555555555,4.764,5.506,134.2,7.5,19.3,11.41,234.1
2024-01-06 00:00:00.000,60.199166666666656,7.981944444444444,4.844,5.568,133.6,7.3,19.4,10.14,278.2
2024-01-11 00:00:00.000,59.896249999999995,8.0425,4.907,5.572,128.5,7.9,19.4,8.23,285.4
2024-01-16 00:00:00.000,59.66583333333333,8.126944444444446,4.974,5.576,123.4,8.5,19.4,6.42,296.6
2024-01-21 00:00:00.000,59.510416666666664,8.23361111111111,5.045,5.579,118.3,8.9,19.5,4.96,315.2
2024-01-26 00:00:00.000,59.430833333333325,8.360833333333334,5.119,5.583,113.3,9.3,19.5,4.29,343.4
2024-01-31 00:00:00.000,59.427499999999995,8.506944444444445,5.197,5.587,108.4,9.6,19.6,4.76,12.5
2024-02-05 00:00:00.000,59.49999999999999,8.67,5.276,5.59,103.6,9.9,19.6,6.08,32.5
2024-02-10 00:00:00.000,59.647499999999994,8.848055555555556,5.357,5.594,98.8,10.0,19.6,7.79,44.5
2024-02-15 00:00:00.000,59.86833333333333,9.039444444444444,5.44,5.598,94.1,10.1,19.7,9.64,52.1
2024-02-20 00:00:00.000,60.15999999999999,9.241944444444444,5.522,5.601,89.5,10.2,19.7,11.49,57.2
