id        desg         alt
--------- ------------ --------------
     1209    C/2017 U7
      801    A/2018 V3               
      805    A/2018 W1               
     1239    C/2019 C1 
     1180    A/2019 G2               
     1179    A/2019 G3               
     1178    A/2019 G4               
     1199    A/2019 K6               
     1205    A/2019 O2               
     1206    C/2019 O3      
     1207    A/2019 O4               
     1211    A/2019 Q1               
     1214    A/2019 Q2               
     1218    C/2019 S4
     1219    A/2019 T1               
     1220    C/2019 T2
     1226    A/2019 U5               
     1227    C/2019 U6
     1249    A/2019 Y5               
     1248    A/2020 A1               
     1254    A/2020 B1               
     1316    A/2020 F7               
     1340    A/2020 H9               
     1345    A/2020 M4               
        1   C/2001 M10               
      477    C/2005 L3               
      488    C/2006 S3               
      493    C/2007 D1               
      499    C/2007 S2               
      504  C/2008 FK75               
      507    C/2008 S3               
      511    C/2009 F4               
      512    C/2009 P1               
      515    C/2009 S3               
      526    C/2010 L3               
      527    C/2010 R1               
      532    C/2010 U3               
      537    C/2011 F1               
      539    C/2011 J2               
      541  C/2011 KP36               
      542    C/2011 L4               
        2    C/2011 P2               
      547    C/2011 R1               
      557    C/2012 C1               
      559    C/2012 F3               
      560    C/2012 K1               
      562    C/2012 K8               
      563  C/2012 LP26               
      567    C/2012 Q1               
      568    C/2012 S1               
      574    C/2012 U1               
      577    C/2012 X1               
      578    C/2013 A1               
        3    C/2013 C2               
      580    C/2013 E1               
      582    C/2013 F2               
      584    C/2013 G3               
      586    C/2013 G7               
      587    C/2013 G8               
      588    C/2013 G9               
      589    C/2013 H2               
        4    C/2013 P4               
      595    C/2013 U2               
      596  C/2013 US10               
      597    C/2013 V2               
      598    C/2013 V4               
      600    C/2013 W2               
      601    C/2013 X1               
      605    C/2014 A4               
      606    C/2014 B1               
      609    C/2014 F2               
      610    C/2014 F3               
      611    C/2014 G3               
      612 C/2014 HU195               
      614    C/2014 L5               
      615    C/2014 M1               
      616    C/2014 M2               
      619    C/2014 N3               
      621   C/2014 OE4               
      622    C/2014 Q6               
      623    C/2014 R3               
      625    C/2014 S1               
      626    C/2014 S2               
      634   C/2014 W11               
      631    C/2014 W2               
      632    C/2014 W3               
      637    C/2014 Y1               
      639    C/2015 B2               
      642    C/2015 D2               
      643    C/2015 D3               
      646  C/2015 ER61               
      648    C/2015 H2               
      650    C/2015 J1               
      651    C/2015 J2               
      653    C/2015 K1               
      655   C/2015 LC2               
      656    C/2015 O1               
      663    C/2015 T2               
      664    C/2015 T4               
        5    C/2015 T5               
      667 C/2015 TQ209               
      668    C/2015 V1               
      669    C/2015 V2               
      670    C/2015 V3               
      671    C/2015 V4               
      672  C/2015 VL62               
      677    C/2015 X4               
      678    C/2015 X5               
      680    C/2015 X7               
      675   C/2015 XY1               
      681    C/2015 Y1               
      682    C/2016 A1               
      686    C/2016 A8               
      687    C/2016 B1               
      689    C/2016 C1               
      690    C/2016 E1               
      695    C/2016 K1               
      694    C/2016 KA               
      696    C/2016 M1               
      697    C/2016 N4               
      698    C/2016 N6               
      700    C/2016 P4               
      701    C/2016 Q2               
        6    C/2016 Q4               
      702    C/2016 R2               
      705    C/2016 T1               
      706    C/2016 T2               
      707    C/2016 T3               
      709    C/2016 X1               
      710    C/2017 A1               
      711    C/2017 A3               
      712   C/2017 AB5               
      713    C/2017 B3               
      714    C/2017 C1               
      715    C/2017 C2               
      717    C/2017 D2               
      718    C/2017 D3               
      720    C/2017 D5               
      721    C/2017 E1               
      722    C/2017 E2               
      723    C/2017 E3               
      724    C/2017 E4               
      725    C/2017 E5               
      726    C/2017 F1               
      727    C/2017 F2               
      730    C/2017 G3               
      731    C/2017 K1               
      732    C/2017 K2               
      734    C/2017 K4               
      735    C/2017 K5               
      736    C/2017 K6               
      737    C/2017 M3               
      738    C/2017 M4               
      739    C/2017 M5               
      740    C/2017 O1               
      742    C/2017 P2               
      744    C/2017 S2               
      745    C/2017 S3               
      747    C/2017 S6               
      748    C/2017 S7               
      751    C/2017 T1               
      752    C/2017 T2               
      753    C/2017 T3               
      755    C/2017 U2               
      757    C/2017 U4               
      758    C/2017 U5               
      760    C/2017 W2               
      762    C/2017 X1               
      763    C/2017 Y1               
      764    C/2017 Y2               
      766    C/2018 A1               
      767    C/2018 A3               
      768    C/2018 A4               
      770    C/2018 A6               
      771    C/2018 B1               
      773    C/2018 C2               
     1237   C/2018 DO4               
      774    C/2018 E1               
      775    C/2018 E2               
      777   C/2018 EF9               
      776   C/2018 EN4               
      778    C/2018 F1               
      779    C/2018 F3               
      780    C/2018 F4               
      782    C/2018 K1               
      783   C/2018 KJ3               
      785    C/2018 L2               
      788    C/2018 M1               
      789    C/2018 N1               
      790    C/2018 N2               
      791    C/2018 O1               
      794    C/2018 P5               
      795    C/2018 R3               
      796    C/2018 R4               
      797    C/2018 R5               
      798    C/2018 U1               
      799    C/2018 V1               
      800    C/2018 V2               
      802    C/2018 V4               
      803   C/2018 VN2               
     1189    C/2018 W1               
      804    C/2018 W2               
     1152    C/2018 X2               
     1153    C/2018 X3               
     1154    C/2018 Y1               
     1163    C/2019 A5               
     1171    C/2019 A9               
     1165    C/2019 B1               
     1172    C/2019 B3               
     1173    C/2019 D1               
     1174    C/2019 E3               
     1177    C/2019 F1               
     1181    C/2019 F2               
     1183    C/2019 H1               
     1184    C/2019 J1               
     1185    C/2019 J2               
     1187    C/2019 J3               
     1188   C/2019 JU6               
     1186    C/2019 K1               
     1190    C/2019 K4               
     1192    C/2019 K5               
     1336    C/2019 K6               
     1195    C/2019 K7               
     1196    C/2019 K8               
     1191    C/2019 L1               
     1193    C/2019 L2               
     1194    C/2019 L3               
     1197   C/2019 LB7               
     1200    C/2019 M3               
     1202    C/2019 N1               
     1359   C/2019 NJ3               
     1213    C/2019 Q3               
     1212    C/2019 Q4               
     1215    C/2019 S2               
     1344    C/2019 T2               
     1221    C/2019 T3               
     1222    C/2019 T4               
     1223    C/2019 T5               
     1228    C/2019 V1               
     1244    C/2019 Y1               
     1247    C/2019 Y4               
     1349    C/2019 Y5               
     1252    C/2020 A2               
     1253    C/2020 A3               
     1255    C/2020 B2               
     1308    C/2020 B3               
     1311    C/2020 F2               
     1312    C/2020 F3               
     1314    C/2020 F5               
     1315    C/2020 F6               
     1317    C/2020 F8               
     1319    C/2020 H2               
     1320    C/2020 H3               
     1321    C/2020 H4               
     1322    C/2020 H5               
     1323    C/2020 H6               
     1327    C/2020 H7               
     1328    C/2020 H8               
     1324    C/2020 J1               
     1329    C/2020 K1               
     1330    C/2020 K2               
     1332    C/2020 K3               
     1333    C/2020 K4               
     1334    C/2020 K5               
     1335    C/2020 K6               
     1337    C/2020 K7               
     1338    C/2020 K8               
     1343    C/2020 M3               
     1346    C/2020 M5               
     1347    C/2020 N1               
     1350    C/2020 N2               
     1355    C/2020 O2               
     1358    C/2020 P1               
     1360    C/2020 P3               
     1364    C/2020 P4               
     1365  C/2020 P4-A               
     1361    C/2020 Q1               
     1362    C/2020 Q2               
     1368    C/2020 R2               
     1369    C/2020 R4               
     1374    C/2020 R6               
     1375    C/2020 R7               
     1372    C/2020 S2               
     1373    C/2020 S3               
     1376    C/2020 S4               
      448    P/1996 R2               
      449    P/1997 B1               
      450  P/1998 VS24               
      451    P/1999 D1               
      452    P/1999 R1               
      453  P/1999 RO28               
      454 P/1999 XN120               
      455    P/2000 R2               
      456         381P P/2000 S4     
      457  P/2001 BB50               
      458    P/2001 H5               
      459  P/2002 EJ57               
      460    P/2002 T5               
     1304    P/2002 T6               
      461    P/2003 F2               
      462         377P P/2003 L1
      463  P/2003 QX29               
      464   P/2003 T12               
      465    P/2003 U3               
        7    P/2004 A1               
      466  P/2004 DO29               
      467 P/2004 FY140               
      468    P/2004 R3               
      469    P/2004 V3               
      470  P/2004 V5-A               
      471         392P P/2004 WR9
      472    P/2005 E1               
      473         376P P/2005 GF8
      474    P/2005 J1               
      475         395P P/2005 JD108
      476    P/2005 L1               
        8    P/2005 S2               
      478 P/2005 SB216               
      479    P/2005 T2               
        9    P/2005 T3               
     1305    P/2005 T5               
      480    P/2005 W3               
      481  P/2005 XA54               
      482         378P P/2005 Y2
      483         391P P/2006 F1
      484         379P P/2006 F4
      485    P/2006 H1               
      486         389P P/2006 R1
      487         383P P/2006 S1
      489    P/2006 S4               
      490         390P P/2006 W1
      491    P/2007 A2               
      492    P/2007 B1               
     1306    P/2007 C2               
      494    P/2007 Q2               
      495         382P P/2007 R1
      496    P/2007 R2               
      497    P/2007 R4               
      498    P/2007 S1               
      500    P/2007 T2               
      501         388P P/2007 T4
      502  P/2007 VQ11               
      503  P/2008 CL94               
      505    P/2008 L2               
      506  P/2008 QP20               
      508  P/2008 WZ96               
      509         387P P/2008 Y1
      510   P/2008 Y12               
      513    P/2009 Q1               
      514    P/2009 Q4               
      516         393P P/2009 SK280
      517    P/2009 U4               
      518  P/2009 WX51               
     1307    P/2010 A3               
      519    P/2010 A5               
      520    P/2010 B2               
      521    P/2010 C1               
      522    P/2010 H2               
      523    P/2010 H3               
      524    P/2010 H4               
      525    P/2010 H5               
      528    P/2010 T2               
      529  P/2010 TO20               
      530    P/2010 U1               
      531         385P P/2010 U2
      533    P/2010 WK               
      534    P/2011 A2               
      535    P/2011 C2               
      536  P/2011 CR42               
      538 P/2011 FR143               
      540  P/2011 JB15               
      543    P/2011 N1               
      544   P/2011 NO1               
