Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2024-01-02 00:00:00.000,194.01125,-0.8080555555555556,7.923,7.941,87.5,7.1,25.0,5.27,94.4
2024-01-07 00:00:00.000,194.1625,-0.8105555555555556,7.85,7.954,92.5,7.1,25.0,3.81,86.4
2024-01-12 00:00:00.000,194.2645833333333,-0.7916666666666666,7.778,7.966,97.5,7.0,25.0,2.47,68.8
2024-01-17 00:00:00.000,194.3158333333333,-0.7511111111111111,7.707,7.978,102.5,6.9,25.0,1.73,26.9
2024-01-22 00:00:00.000,194.31624999999997,-0.6891666666666667,7.638,7.99,107.6,6.7,24.9,2.3,340.9
2024-01-27 00:00:00.000,194.26583333333332,-0.6066666666666667,7.57,8.002,112.7,6.5,24.9,3.6,320.7
2024-02-01 00:00:00.000,194.16416666666663,-0.5036111111111111,7.506,8.014,117.9,6.2,24.9,5.09,311.7
2024-02-06 00:00:00.000,194.01249999999996,-0.38111111111111107,7.445,8.026,123.1,5.9,24.8,6.61,306.8
2024-02-11 00:00:00.000,193.81166666666664,-0.24,7.388,8.038,128.4,5.5,24.8,8.1,303.7
2024-02-16 00:00:00.000,193.56375,-0.08194444444444444,7.336,8.05,133.7,5.1,24.8,9.52,301.5
2024-05-11 00:00:00.000,186.56125,2.986111111111111,7.508,8.243,134.1,5.0,24.9,9.07,286.1
2024-05-16 00:00:00.000,186.2908333333333,3.0594444444444444,7.579,8.254,129.1,5.5,24.9,7.7,284.1
2024-05-21 00:00:00.000,186.06291666666664,3.111666666666667,7.655,8.264,124.1,5.8,25.0,6.3,281.4
2024-05-26 00:00:00.000,185.87916666666663,3.1425,7.735,8.275,119.1,6.1,25.0,4.88,277.3
2024-05-31 00:00:00.000,185.74041666666665,3.1527777777777777,7.818,8.286,114.2,6.4,25.0,3.48,269.8
2024-06-05 00:00:00.000,185.6470833333333,3.1419444444444444,7.904,8.296,109.4,6.6,25.1,2.19,253.3
2024-06-10 00:00:00.000,185.59999999999997,3.1108333333333333,7.993,8.307,104.6,6.8,25.1,1.43,210.1
2024-06-15 00:00:00.000,185.59875,3.0594444444444444,8.083,8.317,99.8,6.9,25.2,1.94,160.5
2024-06-20 00:00:00.000,185.64291666666665,2.9891666666666667,8.175,8.327,95.1,7.0,25.2,3.11,140.3
2024-06-25 00:00:00.000,185.73083333333332,2.9005555555555556,8.267,8.338,90.5,7.0,25.2,4.4,131.7
2024-06-30 00:00:00.000,185.86166666666665,2.7941666666666665,8.359,8.348,85.9,7.0,25.2,5.7,127.1
2025-01-11 00:00:00.000,203.05916666666664,-4.264722222222222,8.686,8.703,87.8,6.5,25.4,4.56,92.1
2025-01-16 00:00:00.000,203.18916666666664,-4.260833333333333,8.609,8.711,92.7,6.5,25.4,3.25,83.1
2025-01-21 00:00:00.000,203.27416666666667,-4.238611111111111,8.533,8.719,97.7,6.4,25.3,2.08,62.9
2025-01-26 00:00:00.000,203.31291666666664,-4.197777777777778,8.457,8.727,102.7,6.3,25.3,1.57,16.6
2025-01-31 00:00:00.000,203.30416666666665,-4.138333333333334,8.383,8.735,107.8,6.2,25.3,2.27,334.7
2025-02-05 00:00:00.000,203.24791666666664,-4.060833333333333,8.311,8.743,113.0,6.0,25.3,3.52,317.3
2025-02-10 00:00:00.000,203.14499999999995,-3.966111111111111,8.242,8.751,118.1,5.7,25.2,4.88,309.4
2025-02-15 00:00:00.000,202.99624999999997,-3.855,8.177,8.758,123.3,5.4,25.2,6.25,304.9
2025-02-20 00:00:00.000,202.80291666666668,-3.7280555555555557,8.115,8.766,128.6,5.1,25.2,7.6,302.0
2025-02-25 00:00:00.000,202.56624999999997,-3.5869444444444447,8.059,8.773,133.8,4.7,25.2,8.9,300.0
2025-05-21 00:00:00.000,195.9370833333333,-0.8522222222222222,8.15,8.893,134.9,4.6,25.2,8.88,285.2
