Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-12-03 00:00:00.000,163.1870833333333,13.51361111111111,0.711,1.224,90.9,53.6,23.5,62.43,303.3,0,62.4
2023-12-08 00:00:00.000,161.1595833333333,14.7575,0.682,1.275,98.2,49.9,23.4,77.74,301.4,0,67.3
2023-12-13 00:00:00.000,158.57124999999996,16.22138888888889,0.652,1.323,106.1,45.7,23.2,96.3,299.5,0,71.4
2023-12-18 00:00:00.000,155.29958333333332,17.916944444444447,0.623,1.367,114.7,40.9,23.1,117.51,297.5,0,74.8
2023-12-23 00:00:00.000,151.23541666666662,19.823055555555555,0.598,1.407,123.9,35.4,22.9,140.07,295.3,0,77.3
2023-12-28 00:00:00.000,146.30999999999997,21.8725,0.577,1.445,133.9,29.4,22.7,161.87,292.7,0,78.8
2024-02-11 00:00:00.000,95.85791666666665,28.854722222222225,0.818,1.659,133.5,25.6,23.6,71.6,260.8,0,61.7
2024-02-16 00:00:00.000,93.53999999999999,28.46472222222222,0.883,1.671,126.5,28.4,23.9,53.14,257.1,0,60.2
2024-02-21 00:00:00.000,91.89166666666665,28.07611111111111,0.95,1.68,120.1,30.6,24.1,37.52,252.3,0,59.1
2024-02-26 00:00:00.000,90.80499999999999,27.709444444444443,1.02,1.687,114.1,32.4,24.3,24.64,244.6,0,58.2
2024-03-02 00:00:00.000,90.18708333333333,27.37388888888889,1.091,1.692,108.6,33.7,24.5,14.52,228.8,0,57.7
2024-03-07 00:00:00.000,89.96249999999999,27.07111111111111,1.163,1.694,103.4,34.7,24.7,8.71,188.8,0,57.3
2024-03-12 00:00:00.000,90.06916666666666,26.799166666666668,1.234,1.694,98.5,35.5,24.9,10.32,138.6,0,57.2
2024-03-17 00:00:00.000,90.45624999999998,26.553611111111113,1.304,1.692,93.8,35.9,25.0,15.43,117.1,0,57.2
2024-03-22 00:00:00.000,91.07958333333332,26.329444444444444,1.372,1.688,89.4,36.2,25.1,20.63,108.3,0,57.4
2024-03-27 00:00:00.000,91.90333333333332,26.120833333333334,1.439,1.681,85.2,36.3,25.2,25.36,103.9,0,57.6
2024-11-27 00:00:00.000,158.5245833333333,13.090277777777779,1.22,1.564,89.6,39.1,24.8,7.36,71.1,0,72.6
2024-12-02 00:00:00.000,158.63916666666663,13.225277777777778,1.167,1.587,94.6,38.2,24.7,5.82,355.4,0,73.3
2024-12-07 00:00:00.000,158.47916666666666,13.4825,1.114,1.609,99.9,37.1,24.6,13.29,316.9,0,73.7
2024-12-12 00:00:00.000,158.00166666666667,13.877777777777778,1.059,1.628,105.5,35.6,24.4,23.67,306.6,0,74.5
2024-12-17 00:00:00.000,157.1558333333333,14.427777777777777,1.004,1.644,111.6,33.8,24.3,35.91,301.9,0,75.3
2024-12-22 00:00:00.000,155.88166666666666,15.148888888888889,0.95,1.658,118.0,31.6,24.1,50.06,299.1,0,76.2
2024-12-27 00:00:00.000,154.11083333333332,16.053611111111113,0.898,1.67,125.0,28.8,23.9,66.08,297.0,0,77.0
2025-01-01 00:00:00.000,151.77416666666667,17.14638888888889,0.85,1.679,132.5,25.6,23.7,83.64,295.1,0,77.7
2025-02-20 00:00:00.000,106.32583333333332,27.035833333333336,0.807,1.649,133.1,25.9,23.6,95.54,270.0,0,64.9
2025-02-25 00:00:00.000,103.08916666666666,26.97222222222222,0.848,1.634,125.3,29.6,23.8,77.65,267.4,0,63.0
2025-03-02 00:00:00.000,100.51166666666666,26.814722222222223,0.893,1.616,118.0,32.8,24.0,60.85,264.6,0,61.3
2025-03-07 00:00:00.000,98.54249999999999,26.604444444444447,0.94,1.596,111.3,35.4,24.1,45.75,261.5,0,60.0
2025-03-12 00:00:00.000,97.11375,26.369444444444444,0.988,1.573,105.0,37.6,24.3,32.61,257.2,0,58.9
2025-03-17 00:00:00.000,96.15333333333334,26.12777777777778,1.036,1.547,99.2,39.4,24.4,21.42,250.2,0,58.1
2025-03-22 00:00:00.000,95.59666666666665,25.88888888888889,1.083,1.519,93.8,40.9,24.5,12.33,235.0,0,57.5
2025-03-27 00:00:00.000,95.38708333333332,25.65694444444444,1.128,1.488,88.6,42.1,24.6,6.98,191.7,0,57.0
2025-12-02 00:00:00.000,163.6245833333333,10.184166666666666,1.401,1.694,88.7,35.6,25.1,25.82,105.8,0,74.1
2025-12-07 00:00:00.000,164.38916666666663,9.985555555555555,1.326,1.693,93.0,35.5,25.0,20.79,103.4,0,74.2
2025-12-12 00:00:00.000,164.9845833333333,9.867222222222223,1.25,1.689,97.5,35.3,24.9,14.95,98.4,0,74.4
2025-12-17 00:00:00.000,165.37875,9.844722222222222,1.173,1.683,102.2,34.9,24.7,8.37,83.6,0,74.8
2025-12-22 00:00:00.000,165.5333333333333,9.936388888888889,1.096,1.675,107.1,34.2,24.5,4.7,7.2,0,75.2
2025-12-27 00:00:00.000,165.4008333333333,10.163333333333334,1.018,1.664,112.4,33.1,24.3,12.55,316.2,0,75.8
2026-01-01 00:00:00.000,164.92374999999998,10.549722222222222,0.942,1.651,118.1,31.7,24.1,24.43,305.7,0,76.5
