Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-29 00:00:00.000,95.97041666666667,15.873888888888889,24.15,24.161,89.5,2.4,23.4,1.32,122.4,,
2023-10-04 00:00:00.000,96.00041666666665,15.850555555555555,24.069,24.165,94.3,2.4,23.4,0.92,138.9,,
2023-10-09 00:00:00.000,96.01208333333334,15.828055555555554,23.988,24.168,99.2,2.3,23.4,0.67,173.3,,
2023-10-14 00:00:00.000,96.00583333333333,15.80638888888889,23.909,24.172,104.1,2.3,23.4,0.77,215.1,,
2023-10-19 00:00:00.000,95.98125,15.785833333333333,23.832,24.175,109.0,2.2,23.4,1.13,238.3,,
2023-10-24 00:00:00.000,95.93916666666667,15.766666666666667,23.757,24.179,114.0,2.2,23.3,1.57,249.4,,
2023-10-29 00:00:00.000,95.87958333333333,15.749166666666666,23.685,24.182,119.0,2.1,23.3,2.02,255.6,,
2023-11-03 00:00:00.000,95.80375,15.733055555555556,23.617,24.186,124.0,1.9,23.3,2.47,259.5,,
2023-11-08 00:00:00.000,95.71166666666664,15.719166666666666,23.553,24.189,129.0,1.8,23.3,2.91,262.2,,
2023-11-13 00:00:00.000,95.60416666666666,15.706944444444444,23.494,24.193,134.1,1.7,23.3,3.33,264.3,,
2024-02-11 00:00:00.000,92.80083333333333,15.876666666666667,23.597,24.255,130.9,1.8,23.3,3.09,285.0,,
2024-02-16 00:00:00.000,92.70499999999998,15.90388888888889,23.667,24.258,125.8,1.9,23.3,2.67,288.2,,
2024-02-21 00:00:00.000,92.62541666666667,15.932222222222222,23.741,24.261,120.7,2.0,23.3,2.24,292.5,,
2024-02-26 00:00:00.000,92.56208333333333,15.96111111111111,23.819,24.265,115.7,2.1,23.4,1.8,299.1,,
2024-03-02 00:00:00.000,92.51625,15.990555555555554,23.9,24.268,110.7,2.2,23.4,1.39,309.7,,
2024-03-07 00:00:00.000,92.48791666666666,16.02027777777778,23.984,24.272,105.7,2.3,23.4,1.05,328.3,,
2024-03-12 00:00:00.000,92.47791666666666,16.05,24.07,24.275,100.7,2.3,23.4,0.9,358.4,,
2024-03-17 00:00:00.000,92.48624999999998,16.08,24.158,24.279,95.8,2.3,23.4,1.02,29.4,,
2024-03-22 00:00:00.000,92.51249999999999,16.109444444444446,24.246,24.282,90.9,2.4,23.4,1.35,49.4,,
2024-03-27 00:00:00.000,92.55708333333332,16.138333333333332,24.334,24.285,86.0,2.3,23.4,1.76,60.8,,
2024-09-28 00:00:00.000,98.96999999999998,16.04388888888889,24.455,24.412,86.4,2.3,23.4,1.58,116.5,,
2024-10-03 00:00:00.000,99.00999999999998,16.020833333333332,24.373,24.415,91.2,2.3,23.4,1.13,127.0,,
2024-10-08 00:00:00.000,99.03249999999998,15.99861111111111,24.292,24.418,96.1,2.3,23.4,0.75,149.3,,
2024-10-13 00:00:00.000,99.03666666666665,15.977777777777778,24.212,24.422,101.0,2.3,23.4,0.62,192.5,,
2024-10-18 00:00:00.000,99.02291666666665,15.958333333333332,24.133,24.425,105.9,2.2,23.4,0.86,229.0,,
2024-10-23 00:00:00.000,98.99166666666665,15.940277777777778,24.057,24.428,110.8,2.2,23.4,1.26,246.0,,
2024-10-28 00:00:00.000,98.94333333333331,15.924166666666666,23.983,24.432,115.8,2.1,23.4,1.71,254.4,,
2024-11-02 00:00:00.000,98.87749999999998,15.909722222222223,23.912,24.435,120.8,2.0,23.4,2.17,259.4,,
2024-11-07 00:00:00.000,98.79541666666665,15.897499999999999,23.845,24.439,125.9,1.9,23.4,2.62,262.6,,
2024-11-12 00:00:00.000,98.69791666666664,15.887222222222222,23.782,24.442,130.9,1.8,23.3,3.04,264.9,,
2025-02-10 00:00:00.000,95.91666666666666,16.092222222222222,23.805,24.503,134.1,1.7,23.3,3.32,284.3,,
2025-02-15 00:00:00.000,95.81208333333333,16.12,23.872,24.506,129.1,1.8,23.4,2.92,286.8,,
2025-02-20 00:00:00.000,95.72291666666665,16.148333333333333,23.943,24.509,124.0,1.9,23.4,2.5,290.2,,
2025-02-25 00:00:00.000,95.64958333333331,16.177222222222223,24.019,24.513,118.9,2.0,23.4,2.06,295.0,,
2025-03-02 00:00:00.000,95.59333333333332,16.20638888888889,24.098,24.516,113.9,2.1,23.4,1.63,302.5,,
2025-03-07 00:00:00.000,95.55458333333333,16.235555555555557,24.18,24.52,108.9,2.2,23.4,1.23,315.3,,
2025-03-12 00:00:00.000,95.53333333333332,16.264722222222222,24.265,24.523,103.9,2.3,23.4,0.94,337.9,,
2025-03-17 00:00:00.000,95.52999999999997,16.29361111111111,24.351,24.526,99.0,2.3,23.4,0.87,10.8,,
2025-03-22 00:00:00.000,95.54458333333332,16.321666666666665,24.439,24.53,94.1,2.3,23.4,1.08,39.1,,
2025-03-27 00:00:00.000,95.57708333333332,16.349166666666665,24.527,24.533,89.2,2.3,23.5,1.45,55.8,,
2025-10-03 00:00:00.000,101.95875,16.14527777777778,24.672,24.66,88.1,2.3,23.5,1.36,119.6,,
2025-10-08 00:00:00.000,101.99125,16.12361111111111,24.59,24.663,93.0,2.3,23.5,0.93,132.9,,
2025-10-13 00:00:00.000,102.00583333333331,16.103055555555557,24.509,24.666,97.9,2.3,23.5,0.61,163.8,,
2025-10-18 00:00:00.000,102.00291666666665,16.084166666666665,24.429,24.669,102.8,2.3,23.5,0.64,212.3,,
2025-10-23 00:00:00.000,101.98249999999999,16.06722222222222,24.351,24.673,107.8,2.2,23.4,0.98,240.4,,
2025-10-28 00:00:00.000,101.94416666666666,16.051944444444445,24.275,24.676,112.7,2.1,23.4,1.42,252.6,,
2025-11-02 00:00:00.000,101.88874999999999,16.03888888888889,24.202,24.679,117.7,2.0,23.4,1.87,258.9,,
2025-11-07 00:00:00.000,101.81708333333333,16.028055555555554,24.132,24.683,122.8,1.9,23.4,2.32,262.8,,
2025-11-12 00:00:00.000,101.72958333333332,16.019444444444442,24.067,24.686,127.8,1.8,23.4,2.76,265.4,,
2025-11-17 00:00:00.000,101.62666666666665,16.013333333333332,24.006,24.689,132.9,1.7,23.4,3.17,267.3,,
2026-02-15 00:00:00.000,98.86833333333333,16.28777777777778,24.074,24.748,132.3,1.7,23.4,3.15,285.9,,
2026-02-20 00:00:00.000,98.77083333333331,16.316666666666666,24.142,24.752,127.2,1.8,23.4,2.74,288.6,,
2026-02-25 00:00:00.000,98.68833333333332,16.34611111111111,24.215,24.755,122.1,1.9,23.4,2.31,292.3,,
2026-03-02 00:00:00.000,98.62208333333331,16.37527777777778,24.292,24.758,117.1,2.0,23.4,1.88,297.8,,
2026-03-07 00:00:00.000,98.57291666666666,16.404166666666665,24.372,24.762,112.1,2.1,23.5,1.46,306.4,,
2026-03-12 00:00:00.000,98.54083333333332,16.43305555555556,24.455,24.765,107.1,2.2,23.5,1.08,321.8,,
2026-03-17 00:00:00.000,98.52624999999999,16.461111111111112,24.54,24.768,102.1,2.3,23.5,0.85,349.1,,
2026-03-22 00:00:00.000,98.52999999999999,16.488333333333333,24.627,24.771,97.2,2.3,23.5,0.88,23.9,,
2026-03-27 00:00:00.000,98.55124999999998,16.514722222222222,24.715,24.775,92.3,2.3,23.5,1.16,48.3,,
2026-04-01 00:00:00.000,98.58999999999999,16.540000000000003,24.803,24.778,87.4,2.3,23.5,1.56,61.8,,
2026-10-03 00:00:00.000,104.84749999999998,16.22694444444444,24.963,24.898,85.1,2.3,23.5,1.62,114.8,,
2026-10-08 00:00:00.000,104.88958333333332,16.205,24.881,24.901,90.0,2.3,23.5,1.16,123.3,,
2026-10-13 00:00:00.000,104.91458333333333,16.184722222222224,24.8,24.905,94.9,2.3,23.5,0.74,141.7,,
2026-10-18 00:00:00.000,104.92166666666667,16.16638888888889,24.719,24.908,99.8,2.3,23.5,0.53,185.3,,
2026-10-23 00:00:00.000,104.91124999999998,16.149722222222223,24.639,24.911,104.7,2.2,23.5,0.72,230.0,,
2026-10-28 00:00:00.000,104.88333333333331,16.135277777777777,24.562,24.914,109.7,2.2,23.5,1.12,249.2,,
2026-11-02 00:00:00.000,104.83833333333332,16.123333333333335,24.486,24.917,114.7,2.1,23.5,1.57,257.9,,
2026-11-07 00:00:00.000,104.77666666666666,16.113611111111112,24.414,24.921,119.7,2.0,23.5,2.03,262.8,,
2026-11-12 00:00:00.000,104.69874999999999,16.10638888888889,24.346,24.924,124.8,1.9,23.4,2.48,265.9,,
2026-11-17 00:00:00.000,104.60541666666666,16.101666666666667,24.282,24.927,129.8,1.7,23.4,2.9,268.0,,
2026-11-22 00:00:00.000,104.49791666666667,16.099722222222223,24.223,24.93,134.9,1.6,23.4,3.3,269.6,,
2027-02-20 00:00:00.000,101.76833333333332,16.439444444444444,24.337,24.988,130.3,1.7,23.4,2.97,287.6,,
2027-02-25 00:00:00.000,101.6775,16.469166666666666,24.407,24.991,125.2,1.9,23.5,2.56,290.4,,
