Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-08 00:00:00.000,128.84875,-29.055833333333332,37.822,37.753,85.3,1.5,32.0,2.98,190.6,26,325.1
2023-11-13 00:00:00.000,128.82166666666666,-29.151944444444442,37.772,37.763,88.7,1.5,32.0,2.96,197.2,26,325.2
2023-11-18 00:00:00.000,128.78166666666667,-29.24416666666667,37.721,37.773,92.2,1.5,32.0,2.96,203.9,26,325.3
2023-11-23 00:00:00.000,128.72999999999996,-29.33222222222222,37.671,37.783,95.7,1.5,32.0,2.98,210.6,26,325.5
2023-11-28 00:00:00.000,128.66583333333332,-29.415277777777778,37.622,37.793,99.2,1.5,32.0,3.02,217.1,26,325.6
2023-12-03 00:00:00.000,128.5908333333333,-29.4925,37.574,37.803,102.7,1.5,32.0,3.07,223.5,26,325.7
2023-12-08 00:00:00.000,128.50416666666663,-29.56361111111111,37.528,37.812,106.1,1.4,32.0,3.14,229.7,26,325.9
2023-12-13 00:00:00.000,128.4075,-29.62777777777778,37.484,37.822,109.4,1.4,31.9,3.22,235.6,26,326.1
2023-12-18 00:00:00.000,128.30083333333332,-29.684444444444445,37.443,37.832,112.6,1.4,31.9,3.3,241.3,26,326.2
2023-12-23 00:00:00.000,128.18541666666667,-29.733333333333334,37.405,37.842,115.7,1.3,31.9,3.39,246.6,26,326.4
2023-12-28 00:00:00.000,128.06249999999997,-29.773888888888887,37.37,37.852,118.7,1.3,31.9,3.48,251.7,26,326.6
2024-01-02 00:00:00.000,127.9325,-29.80611111111111,37.339,37.862,121.5,1.3,31.9,3.56,256.5,27,326.8
2024-01-07 00:00:00.000,127.79666666666668,-29.829166666666666,37.312,37.872,124.0,1.2,31.9,3.64,261.2,27,327.0
2024-01-12 00:00:00.000,127.65624999999997,-29.843333333333334,37.29,37.881,126.4,1.2,31.9,3.72,265.6,27,327.2
2024-01-17 00:00:00.000,127.51208333333331,-29.848055555555554,37.272,37.891,128.4,1.2,31.9,3.78,269.9,27,327.4
2024-01-22 00:00:00.000,127.3658333333333,-29.843888888888888,37.26,37.901,130.1,1.1,31.9,3.83,274.0,26,327.5
2024-01-27 00:00:00.000,127.21916666666667,-29.830277777777777,37.252,37.911,131.4,1.1,31.9,3.86,278.0,26,327.7
2024-02-01 00:00:00.000,127.07249999999999,-29.808055555555555,37.25,37.921,132.4,1.1,31.9,3.89,281.9,26,327.9
2024-02-06 00:00:00.000,126.92708333333331,-29.776944444444442,37.253,37.93,132.9,1.1,31.9,3.9,285.8,26,328.1
2024-02-11 00:00:00.000,126.7845833333333,-29.7375,37.261,37.94,132.9,1.1,31.9,3.89,289.6,26,328.3
2024-02-16 00:00:00.000,126.64625,-29.69,37.275,37.95,132.6,1.1,31.9,3.86,293.5,26,328.4
2024-02-21 00:00:00.000,126.51333333333334,-29.634999999999998,37.294,37.96,131.8,1.1,31.9,3.82,297.4,26,328.6
2024-02-26 00:00:00.000,126.38624999999998,-29.573055555555555,37.318,37.97,130.6,1.1,31.9,3.77,301.3,26,328.7
2024-03-02 00:00:00.000,126.26666666666665,-29.504722222222224,37.347,37.979,129.1,1.2,31.9,3.7,305.3,26,328.8
2024-03-07 00:00:00.000,126.15541666666665,-29.430555555555557,37.381,37.989,127.2,1.2,31.9,3.62,309.5,26,328.9
2024-03-12 00:00:00.000,126.05291666666666,-29.351111111111113,37.42,37.999,125.0,1.2,31.9,3.54,313.8,26,329.0
2024-03-17 00:00:00.000,125.96041666666666,-29.2675,37.464,38.009,122.6,1.3,31.9,3.44,318.3,26,329.1
2024-03-22 00:00:00.000,125.87874999999998,-29.18027777777778,37.511,38.019,120.0,1.3,32.0,3.33,323.1,26,329.2
2024-03-27 00:00:00.000,125.80791666666666,-29.090277777777775,37.562,38.028,117.2,1.3,32.0,3.23,328.0,26,329.2
2024-04-01 00:00:00.000,125.74833333333332,-28.998333333333335,37.617,38.038,114.2,1.4,32.0,3.12,333.3,26,329.2
2024-04-06 00:00:00.000,125.70083333333332,-28.904722222222222,37.675,38.048,111.1,1.4,32.0,3.02,338.8,26,329.2
2024-04-11 00:00:00.000,125.66541666666667,-28.810833333333335,37.736,38.058,108.0,1.4,32.0,2.92,344.8,25,329.2
2024-04-16 00:00:00.000,125.64249999999998,-28.716944444444444,37.799,38.067,104.7,1.5,32.0,2.83,351.0,25,329.2
2024-04-21 00:00:00.000,125.63166666666667,-28.624444444444446,37.865,38.077,101.5,1.5,32.0,2.76,357.5,25,329.2
2024-04-26 00:00:00.000,125.63333333333333,-28.533333333333335,37.931,38.087,98.1,1.5,32.0,2.7,4.3,25,329.1
2024-05-01 00:00:00.000,125.64708333333333,-28.44472222222222,37.999,38.096,94.8,1.5,32.0,2.67,11.2,25,329.0
2024-05-06 00:00:00.000,125.67249999999999,-28.359166666666667,38.068,38.106,91.4,1.5,32.0,2.65,18.3,25,328.9
2024-05-11 00:00:00.000,125.70999999999998,-28.27722222222222,38.136,38.116,88.1,1.5,32.0,2.65,25.4,25,328.8
2024-11-12 00:00:00.000,129.02416666666664,-29.511944444444445,38.489,38.472,88.3,1.5,32.0,2.92,196.5,26,325.2
2024-11-17 00:00:00.000,128.98625,-29.603333333333335,38.439,38.482,91.8,1.5,32.0,2.92,203.2,27,325.3
2024-11-22 00:00:00.000,128.93625,-29.690555555555555,38.388,38.491,95.2,1.5,32.0,2.93,209.8,27,325.4
2024-11-27 00:00:00.000,128.87458333333333,-29.772777777777776,38.339,38.501,98.7,1.5,32.0,2.97,216.4,27,325.5
2024-12-02 00:00:00.000,128.80124999999998,-29.849722222222223,38.291,38.51,102.1,1.4,32.0,3.02,222.8,27,325.7
2024-12-07 00:00:00.000,128.7170833333333,-29.92027777777778,38.244,38.52,105.5,1.4,32.0,3.08,229.0,27,325.8
2024-12-12 00:00:00.000,128.62249999999997,-29.984166666666667,38.2,38.529,108.8,1.4,32.0,3.15,235.0,27,326.0
2024-12-17 00:00:00.000,128.5183333333333,-30.040833333333335,38.158,38.539,112.1,1.4,32.0,3.23,240.6,27,326.2
2024-12-22 00:00:00.000,128.40583333333333,-30.08972222222222,38.12,38.548,115.2,1.3,32.0,3.32,246.0,27,326.4
2024-12-27 00:00:00.000,128.28541666666666,-30.130833333333335,38.084,38.558,118.1,1.3,32.0,3.41,251.1,27,326.5
2025-01-01 00:00:00.000,128.15791666666667,-30.163055555555555,38.053,38.567,120.9,1.3,32.0,3.49,256.0,27,326.7
2025-01-06 00:00:00.000,128.0245833333333,-30.186666666666667,38.025,38.577,123.5,1.2,32.0,3.57,260.7,27,326.9
2025-01-11 00:00:00.000,127.88666666666666,-30.20138888888889,38.002,38.586,125.8,1.2,32.0,3.64,265.2,27,327.1
2025-01-16 00:00:00.000,127.74499999999999,-30.20722222222222,37.984,38.596,127.9,1.2,32.0,3.7,269.4,27,327.3
2025-01-21 00:00:00.000,127.60125,-30.203888888888887,37.97,38.605,129.6,1.1,32.0,3.75,273.6,27,327.5
2025-01-26 00:00:00.000,127.45666666666664,-30.191666666666666,37.961,38.615,131.0,1.1,32.0,3.79,277.6,27,327.7
2025-01-31 00:00:00.000,127.3120833333333,-30.17027777777778,37.958,38.624,132.0,1.1,32.0,3.82,281.6,27,327.9
2025-02-05 00:00:00.000,127.16874999999999,-30.140555555555554,37.96,38.634,132.6,1.1,32.0,3.82,285.5,27,328.0
2025-02-10 00:00:00.000,127.02833333333332,-30.102222222222224,37.967,38.643,132.7,1.1,32.0,3.82,289.4,27,328.2
2025-02-15 00:00:00.000,126.89166666666664,-30.05638888888889,37.98,38.652,132.4,1.1,32.0,3.79,293.2,27,328.4
2025-02-20 00:00:00.000,126.75999999999999,-30.002777777777776,37.997,38.662,131.7,1.1,32.0,3.76,297.1,27,328.5
2025-02-25 00:00:00.000,126.63458333333332,-29.9425,38.02,38.671,130.6,1.1,32.0,3.71,301.0,27,328.7
2025-03-02 00:00:00.000,126.51583333333333,-29.875555555555557,38.049,38.681,129.1,1.1,32.0,3.65,305.1,27,328.8
2025-03-07 00:00:00.000,126.40541666666664,-29.802777777777777,38.082,38.69,127.2,1.2,32.0,3.57,309.3,26,328.9
2025-03-12 00:00:00.000,126.30374999999998,-29.724999999999998,38.119,38.7,125.1,1.2,32.0,3.48,313.5,26,329.0
