Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-18 00:00:00.000,148.84291666666664,6.200277777777778,18.826,18.787,86.3,3.0,29.5,1.67,153.6,197,310.8
2023-11-23 00:00:00.000,148.85708333333332,6.154166666666667,18.732,18.78,91.2,3.0,29.5,1.27,175.8,198,310.8
2023-11-28 00:00:00.000,148.84916666666663,6.115555555555555,18.639,18.773,96.3,3.0,29.5,1.18,208.2,199,310.8
2023-12-03 00:00:00.000,148.81958333333333,6.085,18.547,18.766,101.3,3.0,29.5,1.45,236.5,200,310.9
2023-12-08 00:00:00.000,148.76791666666662,6.062222222222222,18.457,18.758,106.4,2.9,29.5,1.95,253.4,201,310.9
2023-12-13 00:00:00.000,148.69458333333333,6.047777777777777,18.368,18.751,111.5,2.8,29.5,2.53,263.1,202,311.0
2023-12-18 00:00:00.000,148.59958333333333,6.041944444444444,18.282,18.744,116.6,2.7,29.5,3.15,269.0,203,311.0
2023-12-23 00:00:00.000,148.48375,6.044444444444444,18.2,18.737,121.8,2.6,29.4,3.76,273.0,204,311.1
2023-12-28 00:00:00.000,148.3483333333333,6.055,18.122,18.73,127.0,2.4,29.4,4.35,275.8,204,311.1
2024-01-02 00:00:00.000,148.19416666666666,6.073888888888889,18.048,18.723,132.2,2.2,29.4,4.92,278.0,205,311.2
2024-04-01 00:00:00.000,144.30749999999998,7.217222222222222,17.901,18.59,132.4,2.3,29.4,4.96,293.0,193,312.5
2024-04-06 00:00:00.000,144.16333333333333,7.279444444444445,17.958,18.582,127.4,2.5,29.4,4.4,294.1,192,312.6
2024-04-11 00:00:00.000,144.03833333333333,7.336666666666666,18.019,18.575,122.4,2.6,29.4,3.8,295.6,191,312.6
2024-04-16 00:00:00.000,143.93333333333334,7.3886111111111115,18.084,18.567,117.4,2.7,29.4,3.17,297.6,190,312.6
2024-04-21 00:00:00.000,143.84916666666666,7.434444444444445,18.152,18.56,112.5,2.9,29.4,2.54,300.4,189,312.6
2024-04-26 00:00:00.000,143.78625,7.474166666666667,18.223,18.552,107.6,3.0,29.4,1.9,305.1,188,312.6
2024-05-01 00:00:00.000,143.7445833333333,7.5075,18.297,18.545,102.7,3.0,29.5,1.28,314.3,187,312.6
2024-05-06 00:00:00.000,143.725,7.533611111111111,18.372,18.537,97.9,3.1,29.5,0.73,338.6,186,312.6
2024-05-11 00:00:00.000,143.72666666666663,7.552777777777778,18.448,18.529,93.1,3.1,29.5,0.6,38.9,185,312.6
2024-05-16 00:00:00.000,143.75,7.564722222222222,18.524,18.522,88.3,3.1,29.5,1.04,76.3,185,312.6
2024-11-22 00:00:00.000,150.46125,4.737222222222222,18.208,18.218,89.0,3.1,29.4,1.59,165.9,214,310.8
2024-11-27 00:00:00.000,150.46333333333334,4.689722222222223,18.114,18.209,94.0,3.1,29.4,1.34,192.2,215,310.8
2024-12-02 00:00:00.000,150.4425,4.650277777777778,18.02,18.201,99.0,3.1,29.4,1.43,222.3,216,310.9
2024-12-07 00:00:00.000,150.39875,4.6191666666666675,17.928,18.193,104.1,3.0,29.4,1.83,244.0,217,310.9
2024-12-12 00:00:00.000,150.33291666666665,4.596666666666667,17.837,18.184,109.2,2.9,29.4,2.37,256.8,218,311.0
2024-12-17 00:00:00.000,150.24458333333334,4.583055555555555,17.749,18.176,114.3,2.8,29.3,2.97,264.7,219,311.0
2024-12-22 00:00:00.000,150.135,4.578333333333333,17.664,18.167,119.4,2.7,29.3,3.59,269.8,220,311.1
2024-12-27 00:00:00.000,150.00458333333333,4.5825,17.583,18.159,124.6,2.6,29.3,4.21,273.5,221,311.2
2025-01-01 00:00:00.000,149.85416666666663,4.595555555555555,17.506,18.15,129.8,2.4,29.3,4.81,276.2,221,311.2
2025-01-06 00:00:00.000,149.685,4.617222222222223,17.434,18.142,134.9,2.2,29.3,5.38,278.3,222,311.3
2025-04-01 00:00:00.000,145.86916666666664,5.769722222222222,17.28,17.995,134.5,2.3,29.2,5.35,293.8,209,312.8
2025-04-06 00:00:00.000,145.7145833333333,5.839444444444444,17.333,17.986,129.5,2.5,29.2,4.78,295.0,208,312.9
2025-04-11 00:00:00.000,145.57916666666665,5.904166666666667,17.391,17.977,124.5,2.6,29.3,4.18,296.6,207,312.9
2025-04-16 00:00:00.000,145.46416666666667,5.9638888888888895,17.453,17.968,119.5,2.8,29.3,3.56,298.6,205,312.9
2025-04-21 00:00:00.000,145.37041666666667,6.0175,17.518,17.96,114.6,2.9,29.3,2.91,301.4,204,312.9
2025-04-26 00:00:00.000,145.29791666666665,6.0649999999999995,17.587,17.951,109.7,3.0,29.3,2.26,305.9,203,313.0
2025-05-01 00:00:00.000,145.24749999999997,6.105555555555555,17.658,17.942,104.8,3.1,29.3,1.61,313.7,202,313.0
2025-05-06 00:00:00.000,145.21999999999997,6.139166666666667,17.731,17.933,100.0,3.2,29.3,1.02,330.9,201,313.0
2025-05-11 00:00:00.000,145.21416666666664,6.165277777777778,17.805,17.924,95.1,3.2,29.3,0.69,13.6,200,312.9
2025-05-16 00:00:00.000,145.23041666666666,6.183888888888889,17.88,17.915,90.4,3.2,29.3,0.93,61.5,199,312.9
2025-05-21 00:00:00.000,145.26874999999998,6.1947222222222225,17.955,17.906,85.6,3.2,29.4,1.47,81.8,198,312.9
2025-11-22 00:00:00.000,152.18666666666664,3.215277777777778,17.592,17.561,86.6,3.2,29.3,2.0,158.9,233,310.8
2025-11-27 00:00:00.000,152.19916666666666,3.157222222222222,17.497,17.551,91.6,3.2,29.3,1.62,179.1,234,310.8
2025-12-02 00:00:00.000,152.1883333333333,3.1077777777777778,17.401,17.542,96.6,3.2,29.2,1.52,206.3,236,310.8
2025-12-07 00:00:00.000,152.15416666666664,3.066666666666667,17.307,17.532,101.6,3.2,29.2,1.75,231.3,237,310.9
2025-12-12 00:00:00.000,152.0970833333333,3.0347222222222223,17.214,17.522,106.7,3.1,29.2,2.22,248.3,238,311.0
2025-12-17 00:00:00.000,152.01666666666665,3.0119444444444445,17.123,17.512,111.8,3.0,29.2,2.81,258.9,239,311.0
2025-12-22 00:00:00.000,151.91333333333333,2.9986111111111113,17.036,17.503,116.9,2.9,29.2,3.44,265.7,240,311.1
2025-12-27 00:00:00.000,151.78791666666663,2.995,16.951,17.493,122.0,2.7,29.1,4.07,270.4,241,311.2
2026-01-01 00:00:00.000,151.64166666666665,3.0008333333333335,16.871,17.483,127.2,2.6,29.1,4.69,273.9,242,311.3
2026-01-06 00:00:00.000,151.47583333333333,3.015833333333333,16.796,17.473,132.4,2.4,29.1,5.29,276.4,242,311.3
2026-04-06 00:00:00.000,147.36916666666664,4.280555555555556,16.611,17.293,131.7,2.5,29.1,5.23,295.8,227,313.1
