Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,237.29249999999996,17.351111111111113,27.855,28.411,122.3,1.7,29.7,4.01,248.0,106,315.3
2023-07-06 00:00:00.000,237.16749999999996,17.296944444444446,27.911,28.414,118.8,1.8,29.7,3.84,242.9,106,315.5
2023-07-11 00:00:00.000,237.05374999999998,17.234722222222224,27.97,28.416,115.1,1.9,29.7,3.67,237.4,106,315.7
2023-07-16 00:00:00.000,236.95208333333332,17.165,28.032,28.419,111.5,1.9,29.7,3.52,231.3,106,315.9
2023-07-21 00:00:00.000,236.86249999999998,17.08833333333333,28.097,28.422,107.7,2.0,29.7,3.38,224.7,105,316.2
2023-07-26 00:00:00.000,236.78624999999997,17.005277777777778,28.164,28.424,103.9,2.0,29.8,3.26,217.6,105,316.4
2023-07-31 00:00:00.000,236.72416666666663,16.91638888888889,28.233,28.427,100.0,2.0,29.8,3.17,210.1,105,316.6
2023-08-05 00:00:00.000,236.67583333333332,16.822499999999998,28.303,28.43,96.2,2.0,29.8,3.12,202.3,105,316.8
2023-08-10 00:00:00.000,236.64166666666665,16.723888888888887,28.374,28.432,92.3,2.0,29.8,3.11,194.3,105,316.9
2023-08-15 00:00:00.000,236.62249999999997,16.621666666666666,28.445,28.435,88.4,2.0,29.8,3.14,186.3,105,317.1
2024-02-11 00:00:00.000,240.94416666666663,15.344166666666668,28.557,28.524,87.1,2.0,29.8,2.96,26.1,121,314.2
2024-02-16 00:00:00.000,240.98166666666665,15.435,28.489,28.527,91.2,2.0,29.8,2.91,17.3,121,314.0
2024-02-21 00:00:00.000,241.00416666666663,15.529444444444445,28.421,28.529,95.3,2.0,29.8,2.92,8.3,121,313.9
2024-02-26 00:00:00.000,241.0108333333333,15.627222222222223,28.353,28.531,99.4,2.0,29.8,2.97,359.5,121,313.7
2024-03-02 00:00:00.000,241.00249999999994,15.726944444444445,28.287,28.534,103.4,1.9,29.8,3.06,351.1,121,313.6
2024-03-07 00:00:00.000,240.9783333333333,15.828333333333333,28.223,28.536,107.5,1.9,29.8,3.19,343.3,121,313.5
2024-03-12 00:00:00.000,240.9391666666666,15.930277777777777,28.16,28.538,111.4,1.9,29.8,3.35,336.1,121,313.4
2024-03-17 00:00:00.000,240.88458333333332,16.03222222222222,28.101,28.54,115.3,1.8,29.7,3.52,329.6,121,313.3
2024-03-22 00:00:00.000,240.81583333333333,16.13277777777778,28.045,28.543,119.1,1.7,29.7,3.71,323.8,121,313.2
2024-03-27 00:00:00.000,240.73291666666665,16.231388888888887,27.993,28.545,122.7,1.7,29.7,3.9,318.5,121,313.2
2024-04-01 00:00:00.000,240.63666666666666,16.327222222222222,27.945,28.547,126.2,1.6,29.7,4.09,313.8,120,313.1
2024-04-06 00:00:00.000,240.52791666666667,16.419722222222223,27.902,28.55,129.6,1.5,29.7,4.27,309.4,120,313.1
2024-04-11 00:00:00.000,240.40749999999997,16.5075,27.863,28.552,132.7,1.5,29.7,4.44,305.3,120,313.1
2024-06-15 00:00:00.000,238.33124999999998,16.980555555555554,27.881,28.58,132.8,1.5,29.7,4.5,261.7,113,314.5
2024-06-20 00:00:00.000,238.1795833333333,16.954166666666666,27.921,28.582,129.8,1.6,29.7,4.35,257.8,113,314.7
2024-06-25 00:00:00.000,238.03541666666666,16.91916666666667,27.967,28.584,126.6,1.6,29.7,4.19,253.6,112,315.0
2024-06-30 00:00:00.000,237.89999999999998,16.875555555555557,28.017,28.587,123.2,1.7,29.7,4.02,249.0,112,315.2
2024-07-05 00:00:00.000,237.77416666666664,16.823333333333334,28.071,28.589,119.7,1.8,29.7,3.85,244.0,111,315.4
2024-07-10 00:00:00.000,237.65916666666664,16.763055555555557,28.129,28.591,116.1,1.8,29.8,3.68,238.5,111,315.6
2024-07-15 00:00:00.000,237.55624999999998,16.695555555555554,28.19,28.593,112.4,1.9,29.8,3.51,232.6,111,315.8
2024-07-20 00:00:00.000,237.46499999999997,16.620833333333334,28.254,28.595,108.6,1.9,29.8,3.37,226.1,111,316.0
2024-07-25 00:00:00.000,237.38708333333332,16.540000000000003,28.321,28.597,104.8,2.0,29.8,3.25,219.2,110,316.3
2024-07-30 00:00:00.000,237.32291666666663,16.453333333333333,28.389,28.599,101.0,2.0,29.8,3.15,211.7,110,316.5
