Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,225.19124999999997,-19.854722222222225,23.489,24.151,129.8,1.9,24.0,2.7,290.1,49,288.4
2023-07-06 00:00:00.000,225.10875,-19.825555555555557,23.558,24.154,124.9,2.0,24.0,2.28,291.2,49,288.4
2023-07-11 00:00:00.000,225.0408333333333,-19.8,23.631,24.157,120.1,2.1,24.0,1.83,292.8,48,288.4
2023-07-16 00:00:00.000,224.98916666666665,-19.778333333333332,23.708,24.159,115.3,2.2,24.0,1.37,295.5,48,288.4
2023-07-21 00:00:00.000,224.95374999999996,-19.760833333333334,23.787,24.162,110.5,2.3,24.1,0.89,300.9,48,288.4
2023-07-26 00:00:00.000,224.93499999999997,-19.747777777777777,23.87,24.164,105.7,2.3,24.1,0.43,318.5,48,288.4
2023-07-31 00:00:00.000,224.9333333333333,-19.739166666666666,23.954,24.167,100.9,2.4,24.1,0.27,46.5,48,288.4
2023-08-05 00:00:00.000,224.94874999999996,-19.735277777777778,24.04,24.169,96.1,2.4,24.1,0.68,86.1,47,288.3
2023-08-10 00:00:00.000,224.98124999999996,-19.73611111111111,24.126,24.172,91.4,2.4,24.1,1.17,94.7,47,288.3
2023-08-15 00:00:00.000,225.03124999999997,-19.741944444444446,24.213,24.174,86.6,2.4,24.1,1.66,98.3,47,288.2
2024-02-11 00:00:00.000,231.39541666666662,-21.424444444444447,24.298,24.265,87.0,2.3,24.1,1.63,115.5,67,285.6
2024-02-16 00:00:00.000,231.43874999999997,-21.445555555555554,24.214,24.268,92.0,2.3,24.1,1.11,120.9,67,285.6
2024-02-21 00:00:00.000,231.46374999999998,-21.4625,24.13,24.27,97.0,2.3,24.1,0.62,134.9,68,285.6
2024-02-26 00:00:00.000,231.47041666666664,-21.47472222222222,24.048,24.273,102.0,2.3,24.1,0.31,192.8,68,285.7
2024-03-02 00:00:00.000,231.45874999999995,-21.482777777777777,23.967,24.275,107.0,2.2,24.1,0.6,253.3,68,285.7
2024-03-07 00:00:00.000,231.42916666666662,-21.48638888888889,23.888,24.278,112.1,2.2,24.1,1.07,268.0,68,285.7
2024-03-12 00:00:00.000,231.3820833333333,-21.485277777777778,23.812,24.281,117.1,2.1,24.1,1.56,273.5,68,285.8
2024-03-17 00:00:00.000,231.31791666666663,-21.479999999999997,23.739,24.283,122.1,2.0,24.0,2.03,276.4,69,285.8
2024-03-22 00:00:00.000,231.23749999999998,-21.470277777777778,23.671,24.286,127.2,1.9,24.0,2.48,278.2,69,285.9
2024-03-27 00:00:00.000,231.1420833333333,-21.45638888888889,23.607,24.288,132.2,1.7,24.0,2.91,279.4,68,286.0
2024-06-30 00:00:00.000,228.3158333333333,-20.779166666666665,23.631,24.336,133.1,1.7,24.0,2.97,288.8,60,287.3
2024-07-05 00:00:00.000,228.22249999999997,-20.74888888888889,23.697,24.339,128.2,1.9,24.0,2.56,289.7,60,287.3
2024-07-10 00:00:00.000,228.14416666666662,-20.721666666666664,23.767,24.341,123.4,2.0,24.0,2.13,291.0,59,287.3
2024-07-15 00:00:00.000,228.08124999999995,-20.698055555555555,23.841,24.344,118.6,2.1,24.1,1.68,292.9,59,287.3
2024-07-20 00:00:00.000,228.03416666666664,-20.678055555555556,23.919,24.346,113.7,2.2,24.1,1.21,296.3,59,287.3
2024-07-25 00:00:00.000,228.00374999999994,-20.66222222222222,24.0,24.349,108.9,2.3,24.1,0.75,303.9,58,287.3
2024-07-30 00:00:00.000,227.98999999999998,-20.650277777777777,24.083,24.351,104.2,2.3,24.1,0.32,333.7,58,287.3
2024-08-04 00:00:00.000,227.99374999999998,-20.642777777777777,24.168,24.354,99.4,2.4,24.1,0.38,65.0,58,287.3
2024-08-09 00:00:00.000,228.0145833333333,-20.639722222222222,24.254,24.356,94.6,2.4,24.1,0.83,88.2,58,287.2
