Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,195.94375,9.696388888888889,6.822,6.934,92.1,8.4,23.2,9.79,151.5,2,296.8
2023-07-06 00:00:00.000,196.1270833333333,9.400833333333333,6.897,6.933,87.8,8.4,23.3,11.02,145.9,2,296.9
2024-01-27 00:00:00.000,222.07125,-2.0466666666666664,6.909,6.911,86.0,8.2,23.2,10.67,88.5,2,297.8
2024-02-01 00:00:00.000,222.40124999999998,-2.027222222222222,6.829,6.911,90.7,8.2,23.2,9.14,84.4,2,297.7
2024-02-06 00:00:00.000,222.67749999999998,-1.9877777777777779,6.749,6.91,95.3,8.2,23.2,7.6,78.8,2,297.7
2024-02-11 00:00:00.000,222.89791666666662,-1.9291666666666665,6.669,6.91,100.1,8.1,23.2,6.1,70.5,2,297.6
2024-02-16 00:00:00.000,223.06041666666664,-1.8525,6.591,6.91,104.8,7.9,23.1,4.75,57.4,2,297.6
2024-02-21 00:00:00.000,223.1645833333333,-1.7586111111111111,6.515,6.91,109.6,7.7,23.1,3.78,36.3,2,297.6
2024-02-26 00:00:00.000,223.2095833333333,-1.6494444444444445,6.441,6.91,114.4,7.5,23.1,3.52,7.5,2,297.5
2024-03-02 00:00:00.000,223.19541666666663,-1.5263888888888888,6.371,6.91,119.3,7.2,23.0,4.1,341.3,2,297.5
2024-03-07 00:00:00.000,223.1220833333333,-1.3911111111111112,6.303,6.91,124.2,6.8,23.0,5.23,323.9,2,297.5
2024-03-12 00:00:00.000,222.99041666666662,-1.245277777777778,6.24,6.91,129.1,6.4,22.9,6.58,313.1,2,297.5
2024-03-17 00:00:00.000,222.80249999999998,-1.0919444444444444,6.182,6.91,134.0,5.9,22.9,7.98,306.1,2,297.4
2024-06-10 00:00:00.000,215.9295833333333,0.2386111111111111,6.184,6.913,132.7,6.2,22.9,8.93,251.9,2,297.8
2024-06-15 00:00:00.000,215.67041666666663,0.1338888888888889,6.242,6.913,128.0,6.7,23.0,7.87,243.6,2,297.8
2024-06-20 00:00:00.000,215.46041666666665,0.005555555555555556,6.304,6.914,123.3,7.1,23.0,6.95,232.8,2,297.9
2024-06-25 00:00:00.000,215.3020833333333,-0.14583333333333334,6.369,6.914,118.6,7.4,23.0,6.28,219.2,2,298.0
2024-06-30 00:00:00.000,215.19624999999996,-0.3188888888888889,6.438,6.914,114.0,7.7,23.1,6.0,203.2,2,298.0
2024-07-05 00:00:00.000,215.14458333333332,-0.5127777777777778,6.51,6.915,109.4,8.0,23.1,6.16,186.8,2,298.1
2024-07-10 00:00:00.000,215.14791666666665,-0.7266666666666667,6.585,6.915,104.8,8.2,23.1,6.75,172.2,2,298.2
2024-07-15 00:00:00.000,215.20583333333332,-0.9586111111111111,6.661,6.916,100.3,8.3,23.2,7.66,160.5,2,298.2
2024-07-20 00:00:00.000,215.31791666666663,-1.2072222222222222,6.738,6.916,95.9,8.4,23.2,8.75,151.6,2,298.3
2024-07-25 00:00:00.000,215.48291666666663,-1.4711111111111113,6.816,6.917,91.4,8.4,23.2,9.95,144.8,2,298.3
2024-07-30 00:00:00.000,215.70041666666665,-1.748888888888889,6.895,6.917,87.1,8.4,23.3,11.22,139.5,2,298.4
2025-02-20 00:00:00.000,242.32666666666663,-11.442777777777778,6.905,6.954,88.7,8.2,23.3,9.04,91.7,2,294.4
2025-02-25 00:00:00.000,242.60583333333332,-11.445833333333333,6.825,6.955,93.4,8.2,23.2,7.37,89.4,3,294.3
2025-03-02 00:00:00.000,242.8275,-11.4375,6.746,6.956,98.2,8.1,23.2,5.66,85.8,3,294.3
2025-03-07 00:00:00.000,242.9895833333333,-11.41861111111111,6.667,6.957,103.0,8.0,23.2,3.95,79.6,3,294.2
2025-03-12 00:00:00.000,243.0916666666666,-11.390277777777778,6.591,6.959,107.8,7.8,23.1,2.33,64.9,3,294.2
2025-03-17 00:00:00.000,243.13291666666666,-11.353055555555555,6.516,6.96,112.7,7.6,23.1,1.28,14.8,3,294.2
2025-03-22 00:00:00.000,243.11374999999995,-11.308055555555557,6.444,6.961,117.6,7.3,23.1,2.06,314.8,3,294.2
2025-03-27 00:00:00.000,243.03374999999997,-11.256388888888889,6.375,6.963,122.5,6.9,23.0,3.63,296.8,3,294.2
2025-04-01 00:00:00.000,242.89416666666668,-11.199444444444445,6.311,6.964,127.5,6.5,23.0,5.28,289.7,3,294.2
2025-04-06 00:00:00.000,242.69708333333332,-11.138333333333334,6.25,6.966,132.5,6.1,22.9,6.88,285.8,3,294.2
2025-07-05 00:00:00.000,235.2370833333333,-10.945,6.272,6.994,132.1,6.2,23.0,8.04,248.1,3,295.9
2025-07-10 00:00:00.000,235.00999999999996,-11.0525,6.334,6.995,127.2,6.6,23.0,6.85,239.8,3,296.0
2025-07-15 00:00:00.000,234.8358333333333,-11.174722222222222,6.4,6.997,122.4,7.0,23.1,5.82,228.1,3,296.1
2025-07-20 00:00:00.000,234.71624999999997,-11.311388888888889,6.47,6.999,117.6,7.4,23.1,5.08,212.0,3,296.1
2025-07-25 00:00:00.000,234.65291666666664,-11.461666666666666,6.543,7.001,112.9,7.7,23.1,4.82,192.2,3,296.2
2025-07-30 00:00:00.000,234.64708333333328,-11.625277777777779,6.619,7.003,108.2,7.9,23.2,5.14,172.5,3,296.2
2025-08-04 00:00:00.000,234.69874999999996,-11.800833333333333,6.697,7.004,103.6,8.1,23.2,5.93,156.6,3,296.3
2025-08-09 00:00:00.000,234.8070833333333,-11.988055555555555,6.776,7.006,99.0,8.2,23.2,7.03,145.2,3,296.3
2025-08-14 00:00:00.000,234.97166666666666,-12.185277777777777,6.857,7.008,94.4,8.3,23.3,8.28,137.1,3,296.3
2025-08-19 00:00:00.000,235.19124999999997,-12.391944444444444,6.938,7.01,89.9,8.3,23.3,9.61,131.2,2,296.3
2025-08-24 00:00:00.000,235.4645833333333,-12.607222222222221,7.02,7.012,85.4,8.3,23.3,10.97,126.8,2,296.2
2026-03-12 00:00:00.000,262.8395833333333,-19.212777777777777,7.066,7.099,87.8,8.0,23.3,8.89,97.8,3,288.0
2026-03-17 00:00:00.000,263.12166666666667,-19.25138888888889,6.987,7.101,92.5,8.0,23.3,7.25,98.9,3,287.9
2026-03-22 00:00:00.000,263.34458333333333,-19.28805555555556,6.908,7.104,97.3,8.0,23.3,5.56,101.1,3,287.8
2026-03-27 00:00:00.000,263.5070833333333,-19.322777777777777,6.83,7.106,102.1,7.9,23.3,3.87,105.4,3,287.8
