Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,208.71124999999998,-6.895277777777777,6.11,6.535,110.4,8.4,25.0,4.25,248.5,1,299.3
2023-07-06 00:00:00.000,208.60916666666665,-6.958333333333334,6.178,6.525,105.6,8.6,25.0,3.08,224.0,1,299.3
2023-07-11 00:00:00.000,208.5675,-7.043055555555555,6.247,6.515,100.9,8.8,25.0,2.88,186.6,1,299.3
2023-07-16 00:00:00.000,208.58666666666664,-7.149166666666667,6.317,6.505,96.2,8.9,25.1,3.78,157.3,1,299.3
2023-07-21 00:00:00.000,208.66499999999996,-7.275555555555555,6.388,6.495,91.5,9.0,25.1,5.21,141.8,1,299.3
2023-07-26 00:00:00.000,208.8020833333333,-7.421666666666667,6.459,6.484,86.9,9.0,25.1,6.78,133.5,1,299.3
2024-02-11 00:00:00.000,233.9395833333333,-16.76361111111111,5.966,5.974,85.8,9.5,24.8,9.07,105.5,1,294.3
2024-02-16 00:00:00.000,234.21124999999998,-16.836944444444445,5.867,5.959,90.5,9.5,24.7,7.14,106.0,1,294.2
2024-02-21 00:00:00.000,234.41625,-16.89472222222222,5.769,5.944,95.4,9.5,24.7,5.13,107.1,1,294.2
2024-02-26 00:00:00.000,234.5520833333333,-16.9375,5.671,5.928,100.3,9.5,24.7,3.05,110.1,1,294.1
2024-03-02 00:00:00.000,234.61499999999998,-16.96472222222222,5.575,5.913,105.2,9.3,24.6,0.95,127.9,1,294.1
2024-03-07 00:00:00.000,234.6033333333333,-16.97611111111111,5.48,5.897,110.2,9.1,24.6,1.44,265.6,1,294.1
2024-03-12 00:00:00.000,234.5145833333333,-16.971944444444443,5.387,5.881,115.3,8.8,24.5,3.68,275.7,1,294.1
2024-03-17 00:00:00.000,234.34833333333333,-16.951944444444443,5.298,5.865,120.4,8.4,24.4,5.95,278.0,1,294.1
2024-03-22 00:00:00.000,234.1045833333333,-16.91638888888889,5.212,5.849,125.6,8.0,24.4,8.2,279.1,1,294.1
2024-03-27 00:00:00.000,233.7845833333333,-16.865833333333335,5.131,5.833,130.9,7.4,24.3,10.41,279.6,1,294.2
2024-06-25 00:00:00.000,222.22124999999997,-14.845,4.804,5.52,130.7,8.0,24.1,12.52,276.5,1,296.5
2024-06-30 00:00:00.000,221.82833333333332,-14.808333333333334,4.848,5.501,125.5,8.7,24.1,10.38,274.4,1,296.6
2024-07-05 00:00:00.000,221.50916666666666,-14.792777777777777,4.897,5.482,120.5,9.2,24.2,8.16,271.0,1,296.6
2024-07-10 00:00:00.000,221.26624999999999,-14.799166666666666,4.949,5.464,115.5,9.7,24.2,5.94,264.9,1,296.7
2024-07-15 00:00:00.000,221.10166666666663,-14.828055555555554,5.004,5.444,110.6,10.1,24.2,3.84,251.7,1,296.7
2024-07-20 00:00:00.000,221.0145833333333,-14.879166666666666,5.061,5.425,105.7,10.4,24.3,2.33,216.8,1,296.7
2024-07-25 00:00:00.000,221.0045833333333,-14.952499999999999,5.12,5.406,101.0,10.6,24.3,2.66,161.9,1,296.7
2024-07-30 00:00:00.000,221.07124999999996,-15.0475,5.18,5.386,96.3,10.8,24.3,4.37,136.4,1,296.7
2024-08-04 00:00:00.000,221.21249999999995,-15.163611111111111,5.241,5.367,91.7,10.9,24.3,6.41,126.3,1,296.6
2024-08-09 00:00:00.000,221.42749999999998,-15.3,5.302,5.347,87.1,10.9,24.3,8.49,121.2,1,296.6
2025-03-07 00:00:00.000,260.0258333333333,-25.350833333333334,4.349,4.381,85.3,13.0,23.6,17.58,106.2,1,284.1
2025-03-12 00:00:00.000,260.60999999999996,-25.514166666666668,4.243,4.355,89.8,13.2,23.5,15.52,108.4,1,283.8
2025-03-17 00:00:00.000,261.1120833333333,-25.676944444444445,4.138,4.328,94.3,13.3,23.4,13.35,111.5,1,283.5
2025-03-22 00:00:00.000,261.52666666666664,-25.84,4.033,4.301,98.9,13.2,23.4,11.09,116.2,1,283.2
2025-03-27 00:00:00.000,261.84666666666664,-26.003888888888888,3.929,4.274,103.5,13.1,23.3,8.8,124.0,1,283.0
2025-04-01 00:00:00.000,262.0658333333333,-26.16861111111111,3.827,4.247,108.3,12.9,23.2,6.69,137.9,1,282.8
2025-04-06 00:00:00.000,262.1783333333333,-26.334722222222222,3.726,4.22,113.1,12.6,23.1,5.23,162.8,1,282.5
2025-04-11 00:00:00.000,262.1795833333333,-26.50138888888889,3.628,4.192,118.0,12.2,23.0,5.23,196.6,1,282.3
2025-04-16 00:00:00.000,262.0658333333333,-26.66861111111111,3.533,4.165,122.9,11.7,23.0,6.83,222.8,1,282.2
2025-04-21 00:00:00.000,261.8325,-26.834999999999997,3.442,4.137,128.0,11.0,22.9,9.3,237.7,1,282.0
2025-04-26 00:00:00.000,261.47749999999996,-26.999444444444446,3.354,4.109,133.2,10.3,22.8,12.16,246.3,1,281.9
2025-07-20 00:00:00.000,245.65,-27.765833333333333,2.855,3.604,131.0,12.3,22.2,16.11,275.5,1,284.4
2025-07-25 00:00:00.000,245.11249999999995,-27.71833333333333,2.883,3.573,125.8,13.3,22.2,12.54,276.0,1,284.4
2025-07-30 00:00:00.000,244.7125,-27.68,2.914,3.541,120.7,14.3,22.3,8.81,276.3,1,284.5
2025-08-04 00:00:00.000,244.45416666666665,-27.654722222222222,2.949,3.51,115.7,15.1,22.3,5.01,276.2,1,284.5
2025-08-09 00:00:00.000,244.33749999999998,-27.644444444444446,2.986,3.478,110.8,15.8,22.3,1.22,273.3,1,284.4
2025-08-14 00:00:00.000,244.36208333333335,-27.650555555555552,3.025,3.446,106.1,16.4,22.4,2.56,100.0,1,284.3
2025-08-19 00:00:00.000,244.52625,-27.674166666666668,3.065,3.414,101.5,16.9,22.4,6.29,99.0,1,284.1
2025-08-24 00:00:00.000,244.82874999999996,-27.71611111111111,3.106,3.381,97.0,17.3,22.4,9.96,98.8,1,283.8
2025-08-29 00:00:00.000,245.26624999999999,-27.77583333333333,3.148,3.349,92.5,17.5,22.4,13.52,98.8,1,283.5
2025-09-03 00:00:00.000,245.83416666666665,-27.852777777777778,3.19,3.316,88.2,17.7,22.4,16.95,98.7,1,283.2
2026-10-13 00:00:00.000,114.55916666666664,26.638055555555557,1.541,1.798,87.4,33.7,20.0,56.5,77.7,1,80.1
2026-10-18 00:00:00.000,116.52291666666665,27.05027777777778,1.521,1.828,90.7,33.0,20.0,51.49,75.7,1,81.6
2026-10-23 00:00:00.000,118.29041666666664,27.490833333333335,1.501,1.86,94.2,32.2,20.0,46.41,72.8,1,83.2
