Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-31 00:00:00.000,257.8833333333333,-28.248333333333335,21.721,22.411,131.8,1.9,25.7,3.21,284.5
2023-08-05 00:00:00.000,257.77416666666664,-28.221666666666664,21.793,22.418,127.0,2.1,25.7,2.77,286.8
2023-08-10 00:00:00.000,257.68291666666664,-28.195,21.868,22.424,122.1,2.2,25.7,2.31,289.9
2023-08-15 00:00:00.000,257.60999999999996,-28.16916666666667,21.947,22.43,117.3,2.3,25.7,1.84,294.7
2023-08-20 00:00:00.000,257.5566666666667,-28.144166666666667,22.03,22.437,112.5,2.4,25.7,1.36,302.8
2023-08-25 00:00:00.000,257.52374999999995,-28.12,22.116,22.443,107.7,2.5,25.7,0.93,319.2
2023-08-30 00:00:00.000,257.5108333333333,-28.09722222222222,22.203,22.449,102.8,2.5,25.8,0.67,354.3
2023-09-04 00:00:00.000,257.51874999999995,-28.075555555555557,22.292,22.456,98.0,2.5,25.8,0.79,37.6
2023-09-09 00:00:00.000,257.5470833333333,-28.055555555555557,22.383,22.462,93.2,2.6,25.8,1.18,60.8
2023-09-14 00:00:00.000,257.59625,-28.037222222222223,22.473,22.468,88.4,2.6,25.8,1.66,71.6
2024-03-12 00:00:00.000,264.99041666666665,-28.32027777777778,22.741,22.693,86.0,2.5,25.8,1.79,107.3
2024-03-17 00:00:00.000,265.0445833333333,-28.337777777777777,22.661,22.699,90.9,2.5,25.8,1.27,114.2
2024-03-22 00:00:00.000,265.0779166666667,-28.354722222222225,22.582,22.706,95.9,2.5,25.8,0.78,129.9
2024-03-27 00:00:00.000,265.09,-28.371111111111112,22.504,22.712,100.8,2.5,25.8,0.48,175.0
2024-04-01 00:00:00.000,265.08124999999995,-28.386388888888888,22.427,22.718,105.7,2.4,25.8,0.68,228.6
2024-04-06 00:00:00.000,265.05125,-28.40083333333333,22.352,22.724,110.6,2.4,25.8,1.14,248.4
2024-04-11 00:00:00.000,265.00124999999997,-28.41444444444444,22.28,22.73,115.6,2.3,25.8,1.63,256.5
2024-04-16 00:00:00.000,264.9312499999999,-28.42638888888889,22.211,22.737,120.5,2.2,25.8,2.13,260.7
2024-04-21 00:00:00.000,264.8424999999999,-28.436944444444446,22.145,22.743,125.4,2.1,25.8,2.6,263.4
2024-04-26 00:00:00.000,264.73541666666665,-28.44611111111111,22.084,22.749,130.4,1.9,25.7,3.06,265.3
2024-08-04 00:00:00.000,261.2570833333333,-28.238055555555558,22.202,22.872,130.3,1.9,25.8,3.04,283.5
2024-08-09 00:00:00.000,261.1541666666666,-28.214444444444442,22.275,22.878,125.5,2.1,25.8,2.59,285.9
2024-08-14 00:00:00.000,261.06874999999997,-28.190833333333334,22.352,22.884,120.6,2.2,25.8,2.13,289.3
2024-08-19 00:00:00.000,261.00208333333325,-28.1675,22.432,22.89,115.8,2.3,25.8,1.66,294.6
2024-08-24 00:00:00.000,260.9545833333333,-28.14472222222222,22.515,22.896,110.9,2.4,25.8,1.21,304.1
2024-08-29 00:00:00.000,260.9266666666666,-28.1225,22.602,22.902,106.1,2.4,25.8,0.8,324.2
2024-09-03 00:00:00.000,260.9191666666666,-28.101111111111113,22.69,22.908,101.3,2.5,25.9,0.63,6.2
2024-09-08 00:00:00.000,260.9320833333333,-28.080833333333334,22.779,22.914,96.4,2.5,25.9,0.85,45.8
2024-09-13 00:00:00.000,260.9654166666666,-28.061666666666667,22.87,22.92,91.6,2.5,25.9,1.28,64.2
2024-09-18 00:00:00.000,261.01874999999995,-28.04388888888889,22.96,22.926,86.8,2.5,25.9,1.76,72.9
2025-03-17 00:00:00.000,268.23541666666665,-28.18111111111111,23.159,23.143,87.9,2.5,25.9,1.54,107.3
2025-03-22 00:00:00.000,268.2804166666666,-28.19638888888889,23.08,23.149,92.8,2.5,25.9,1.03,116.2
2025-03-27 00:00:00.000,268.30499999999995,-28.211388888888887,23.001,23.155,97.7,2.4,25.9,0.58,140.1
2025-04-01 00:00:00.000,268.3087499999999,-28.22611111111111,22.922,23.161,102.6,2.4,25.9,0.47,202.1
2025-04-06 00:00:00.000,268.29166666666663,-28.240277777777777,22.846,23.167,107.5,2.4,25.9,0.83,239.7
2025-04-11 00:00:00.000,268.2545833333333,-28.253888888888888,22.772,23.173,112.5,2.3,25.9,1.3,252.2
2025-04-16 00:00:00.000,268.19791666666663,-28.266666666666666,22.7,23.179,117.4,2.2,25.9,1.79,258.0
2025-04-21 00:00:00.000,268.1220833333333,-28.27861111111111,22.632,23.185,122.3,2.1,25.8,2.27,261.3
2025-04-26 00:00:00.000,268.0283333333333,-28.289722222222224,22.568,23.191,127.3,2.0,25.8,2.74,263.5
2025-05-01 00:00:00.000,267.9166666666667,-28.299444444444447,22.508,23.197,132.2,1.8,25.8,3.18,265.0
2025-08-04 00:00:00.000,264.60541666666666,-28.17,22.599,23.309,133.5,1.8,25.8,3.27,280.7
2025-08-09 00:00:00.000,264.4920833333333,-28.149722222222223,22.669,23.315,128.6,1.9,25.8,2.85,282.5
2025-08-14 00:00:00.000,264.3954166666667,-28.128888888888888,22.743,23.321,123.8,2.1,25.9,2.41,285.1
2025-08-19 00:00:00.000,264.31666666666666,-28.10777777777778,22.821,23.327,118.9,2.2,25.9,1.95,288.8
2025-08-24 00:00:00.000,264.25624999999997,-28.086944444444445,22.902,23.333,114.1,2.3,25.9,1.49,294.9
2025-08-29 00:00:00.000,264.215,-28.066111111111113,22.986,23.339,109.2,2.3,25.9,1.04,306.6
2025-09-03 00:00:00.000,264.1933333333333,-28.045833333333334,23.073,23.345,104.4,2.4,25.9,0.68,333.0
2025-09-08 00:00:00.000,264.19166666666666,-28.02583333333333,23.162,23.35,99.6,2.4,25.9,0.63,20.3
2025-09-13 00:00:00.000,264.21,-28.006666666666668,23.252,23.356,94.7,2.5,25.9,0.94,52.7
2025-09-18 00:00:00.000,264.24833333333333,-27.988055555555558,23.342,23.362,89.9,2.5,26.0,1.39,66.9
2025-09-23 00:00:00.000,264.30625,-27.970277777777778,23.432,23.368,85.1,2.5,26.0,1.88,74.0
2026-03-22 00:00:00.000,271.3474999999999,-27.974444444444444,23.558,23.576,89.8,2.4,26.0,1.28,108.0
2026-03-27 00:00:00.000,271.38291666666663,-27.98777777777778,23.479,23.582,94.7,2.4,26.0,0.79,120.6
2026-04-01 00:00:00.000,271.39874999999995,-28.00111111111111,23.4,23.588,99.6,2.4,26.0,0.43,160.5
2026-04-06 00:00:00.000,271.3937499999999,-28.014444444444443,23.322,23.594,104.6,2.4,26.0,0.56,224.0
2026-04-11 00:00:00.000,271.36958333333325,-28.02777777777778,23.246,23.599,109.5,2.3,26.0,0.99,246.5
2026-04-16 00:00:00.000,271.32499999999993,-28.040833333333335,23.173,23.605,114.4,2.2,25.9,1.48,254.8
2026-04-21 00:00:00.000,271.2616666666666,-28.053611111111113,23.102,23.611,119.3,2.1,25.9,1.96,259.0
2026-04-26 00:00:00.000,271.17999999999995,-28.065833333333334,23.036,23.617,124.2,2.0,25.9,2.43,261.6
2026-05-01 00:00:00.000,271.08083333333326,-28.077222222222222,22.973,23.622,129.2,1.9,25.9,2.87,263.4
2026-05-06 00:00:00.000,270.965,-28.087777777777777,22.915,23.628,134.1,1.8,25.9,3.28,264.7
2026-08-09 00:00:00.000,267.7054166666666,-28.010277777777777,23.049,23.736,131.7,1.8,25.9,3.08,279.7
2026-08-14 00:00:00.000,267.59874999999994,-27.99277777777778,23.12,23.741,126.9,2.0,25.9,2.66,281.7
2026-08-19 00:00:00.000,267.50916666666666,-27.974444444444444,23.195,23.747,122.0,2.1,25.9,2.21,284.5
2026-08-24 00:00:00.000,267.43749999999994,-27.95583333333333,23.274,23.753,117.1,2.2,26.0,1.76,288.7
2026-08-29 00:00:00.000,267.38374999999996,-27.936944444444446,23.357,23.758,112.3,2.3,26.0,1.3,295.9
2026-09-03 00:00:00.000,267.34916666666663,-27.918055555555558,23.442,23.764,107.4,2.3,26.0,0.87,310.7
2026-09-08 00:00:00.000,267.33416666666665,-27.899166666666666,23.53,23.77,102.6,2.4,26.0,0.59,345.5
2026-09-13 00:00:00.000,267.3383333333333,-27.880277777777778,23.619,23.775,97.7,2.4,26.0,0.68,34.1
2026-09-18 00:00:00.000,267.36249999999995,-27.861944444444447,23.709,23.781,92.9,2.4,26.0,1.06,58.7
2026-09-23 00:00:00.000,267.40666666666664,-27.84361111111111,23.799,23.786,88.1,2.4,26.0,1.52,69.3
2027-03-22 00:00:00.000,274.2895833333333,-27.696944444444444,24.019,23.986,87.0,2.4,26.1,1.53,102.4
2027-03-27 00:00:00.000,274.33624999999995,-27.708055555555553,23.939,23.992,91.9,2.4,26.1,1.03,109.6
2027-04-01 00:00:00.000,274.3625,-27.71972222222222,23.859,23.997,96.8,2.4,26.1,0.57,129.2
2027-04-06 00:00:00.000,274.3691666666667,-27.731944444444444,23.78,24.003,101.7,2.3,26.0,0.38,193.0
2027-04-11 00:00:00.000,274.35625,-27.744722222222222,23.703,24.008,106.6,2.3,26.0,0.72,238.0
2027-04-16 00:00:00.000,274.32374999999996,-27.7575,23.628,24.014,111.5,2.2,26.0,1.18,251.0
2027-04-21 00:00:00.000,274.27208333333334,-27.77027777777778,23.555,24.019,116.4,2.1,26.0,1.66,256.6
2027-04-26 00:00:00.000,274.2025,-27.783055555555556,23.486,24.025,121.3,2.0,26.0,2.12,259.7
2027-05-01 00:00:00.000,274.11499999999995,-27.795555555555556,23.421,24.03,126.3,1.9,26.0,2.58,261.7
2027-05-06 00:00:00.000,274.01041666666663,-27.8075,23.36,24.036,131.2,1.8,26.0,3.0,263.2
