Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-11 00:00:00.000,237.75708333333333,-25.793055555555558,21.981,22.683,132.7,1.9,22.3,2.94,291.4,1,284.2
2023-07-16 00:00:00.000,237.66375,-25.758333333333333,22.045,22.684,127.9,2.0,22.4,2.51,293.7,1,284.0
2023-07-21 00:00:00.000,237.5870833333333,-25.72583333333333,22.115,22.686,123.1,2.2,22.4,2.06,297.1,1,283.7
2023-07-26 00:00:00.000,237.5283333333333,-25.695833333333333,22.187,22.687,118.3,2.3,22.4,1.6,302.4,1,283.4
2023-07-31 00:00:00.000,237.48749999999995,-25.66861111111111,22.264,22.688,113.5,2.4,22.4,1.15,312.0,1,283.0
2023-08-05 00:00:00.000,237.46541666666664,-25.64472222222222,22.343,22.689,108.7,2.4,22.4,0.75,333.0,1,282.6
2023-08-10 00:00:00.000,237.4620833333333,-25.62388888888889,22.424,22.69,104.0,2.5,22.4,0.59,17.4,1,282.1
2023-08-15 00:00:00.000,237.47874999999996,-25.606944444444444,22.508,22.692,99.2,2.5,22.4,0.84,57.0,1,281.6
2023-08-20 00:00:00.000,237.51458333333332,-25.59361111111111,22.592,22.693,94.4,2.5,22.5,1.28,74.5,1,281.1
2023-08-25 00:00:00.000,237.56958333333333,-25.584166666666665,22.677,22.694,89.7,2.6,22.5,1.77,82.7,1,280.6
2024-02-26 00:00:00.000,245.18291666666659,-26.904722222222222,22.744,22.742,88.6,2.5,22.5,1.88,118.2,4,278.7
2024-03-02 00:00:00.000,245.23458333333332,-26.93277777777778,22.66,22.743,93.6,2.5,22.5,1.36,125.8,4,278.8
2024-03-07 00:00:00.000,245.26583333333335,-26.95777777777778,22.576,22.744,98.5,2.5,22.5,0.89,141.8,4,279.0
2024-03-12 00:00:00.000,245.27625,-26.97972222222222,22.493,22.746,103.5,2.4,22.4,0.6,180.0,4,279.1
2024-03-17 00:00:00.000,245.26583333333335,-26.998055555555556,22.412,22.747,108.5,2.4,22.4,0.74,227.4,4,279.2
2024-03-22 00:00:00.000,245.2358333333333,-27.013055555555557,22.334,22.748,113.4,2.3,22.4,1.14,249.8,4,279.4
2024-03-27 00:00:00.000,245.18583333333328,-27.024444444444445,22.258,22.75,118.4,2.2,22.4,1.61,259.7,4,279.5
2024-04-01 00:00:00.000,245.11749999999995,-27.03222222222222,22.186,22.751,123.4,2.1,22.4,2.08,265.1,4,279.7
2024-04-06 00:00:00.000,245.03124999999997,-27.03611111111111,22.118,22.753,128.3,2.0,22.4,2.54,268.5,4,279.8
2024-04-11 00:00:00.000,244.92749999999995,-27.03666666666667,22.055,22.754,133.3,1.8,22.4,2.98,270.9,4,280.0
2024-07-15 00:00:00.000,241.90291666666664,-26.53805555555556,22.088,22.782,132.0,1.9,22.4,2.86,290.4,2,281.6
2024-07-20 00:00:00.000,241.81083333333333,-26.505555555555556,22.154,22.783,127.2,2.0,22.4,2.44,292.9,2,281.5
2024-07-25 00:00:00.000,241.73583333333335,-26.474999999999998,22.224,22.785,122.4,2.2,22.4,1.99,296.5,2,281.3
2024-07-30 00:00:00.000,241.67875,-26.446666666666665,22.298,22.786,117.6,2.3,22.4,1.53,302.2,2,281.1
2024-08-04 00:00:00.000,241.63958333333335,-26.420555555555556,22.375,22.788,112.8,2.4,22.4,1.09,313.0,2,280.9
2024-08-09 00:00:00.000,241.6195833333333,-26.397222222222222,22.455,22.789,108.0,2.4,22.4,0.71,337.0,2,280.7
2024-08-14 00:00:00.000,241.61916666666664,-26.376944444444444,22.537,22.791,103.2,2.5,22.5,0.61,23.6,2,280.4
2024-08-19 00:00:00.000,241.63791666666663,-26.359722222222224,22.621,22.792,98.5,2.5,22.5,0.9,58.8,2,280.1
2024-08-24 00:00:00.000,241.67624999999998,-26.34583333333333,22.706,22.794,93.7,2.5,22.5,1.35,74.2,2,279.9
2024-08-29 00:00:00.000,241.73458333333335,-26.335277777777776,22.791,22.795,89.0,2.5,22.5,1.84,81.8,2,279.6
2025-03-02 00:00:00.000,249.38333333333333,-27.463055555555556,22.84,22.854,89.6,2.5,22.5,1.76,117.5,5,277.1
2025-03-07 00:00:00.000,249.43124999999998,-27.48888888888889,22.756,22.856,94.5,2.5,22.5,1.25,126.1,5,277.1
2025-03-12 00:00:00.000,249.45874999999998,-27.511944444444445,22.673,22.858,99.5,2.5,22.5,0.8,145.0,5,277.2
2025-03-17 00:00:00.000,249.4658333333333,-27.5325,22.591,22.859,104.4,2.4,22.5,0.58,188.7,5,277.3
2025-03-22 00:00:00.000,249.4525,-27.55,22.511,22.861,109.4,2.4,22.5,0.79,232.3,5,277.4
2025-03-27 00:00:00.000,249.41916666666665,-27.564444444444444,22.433,22.863,114.3,2.3,22.4,1.22,251.3,5,277.6
