Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-15 00:00:00.000,48.77041666666666,27.71333333333333,24.966,24.949,87.9,2.3,23.4,1.64,39.1,9,75.3
2023-08-20 00:00:00.000,48.800416666666656,27.753611111111113,24.886,24.953,92.6,2.3,23.4,1.27,26.0,9,75.2
2023-08-25 00:00:00.000,48.8125,27.789444444444445,24.807,24.956,97.3,2.3,23.4,1.01,4.5,9,75.1
2023-08-30 00:00:00.000,48.80625,27.820833333333333,24.728,24.959,102.1,2.3,23.4,0.96,335.8,9,75.0
2023-09-04 00:00:00.000,48.782916666666665,27.8475,24.651,24.962,106.9,2.2,23.4,1.13,310.3,9,74.9
2023-09-09 00:00:00.000,48.74166666666666,27.86916666666667,24.576,24.966,111.7,2.1,23.4,1.44,293.6,9,74.7
2023-09-14 00:00:00.000,48.68333333333333,27.88611111111111,24.504,24.969,116.5,2.1,23.4,1.82,283.4,9,74.6
2023-09-19 00:00:00.000,48.60833333333333,27.8975,24.435,24.972,121.3,2.0,23.4,2.22,276.8,9,74.4
2023-09-24 00:00:00.000,48.517083333333325,27.903333333333332,24.37,24.975,126.2,1.9,23.3,2.62,272.2,9,74.3
2023-09-29 00:00:00.000,48.411249999999995,27.904166666666665,24.309,24.979,131.1,1.7,23.3,3.0,268.8,9,74.2
2023-12-28 00:00:00.000,45.59958333333333,27.20777777777778,24.339,25.037,134.4,1.6,23.3,3.23,240.9,8,72.7
2024-01-02 00:00:00.000,45.50124999999999,27.15611111111111,24.405,25.04,129.4,1.7,23.3,2.85,237.9,8,72.7
2024-01-07 00:00:00.000,45.41916666666666,27.106944444444444,24.476,25.044,124.3,1.9,23.4,2.45,233.9,8,72.8
2024-01-12 00:00:00.000,45.35374999999999,27.060277777777777,24.552,25.047,119.2,2.0,23.4,2.03,228.3,7,72.9
2024-01-17 00:00:00.000,45.305833333333325,27.016944444444444,24.631,25.05,114.2,2.1,23.4,1.62,219.8,7,73.0
2024-01-22 00:00:00.000,45.27624999999999,26.9775,24.714,25.053,109.1,2.1,23.4,1.25,205.9,7,73.1
2024-01-27 00:00:00.000,45.26499999999999,26.941944444444445,24.798,25.057,104.1,2.2,23.4,1.0,183.1,7,73.3
2024-02-01 00:00:00.000,45.27208333333333,26.910555555555554,24.885,25.06,99.1,2.2,23.4,0.97,153.0,7,73.4
2024-02-06 00:00:00.000,45.29791666666666,26.884166666666665,24.973,25.063,94.1,2.2,23.4,1.19,127.6,7,73.6
2024-02-11 00:00:00.000,45.34208333333332,26.8625,25.062,25.066,89.2,2.3,23.4,1.54,111.8,7,73.8
2024-08-19 00:00:00.000,51.91624999999999,28.47861111111111,25.178,25.19,89.5,2.3,23.5,1.47,36.2,11,76.6
2024-08-24 00:00:00.000,51.940416666666664,28.51638888888889,25.098,25.193,94.2,2.3,23.5,1.14,20.4,11,76.5
2024-08-29 00:00:00.000,51.946666666666665,28.55,25.019,25.196,99.0,2.3,23.5,0.95,355.4,11,76.4
2024-09-03 00:00:00.000,51.934999999999995,28.579444444444444,24.941,25.199,103.8,2.2,23.4,0.98,325.9,11,76.3
2024-09-08 00:00:00.000,51.905,28.604166666666668,24.864,25.203,108.5,2.2,23.4,1.22,303.6,11,76.2
2024-09-13 00:00:00.000,51.857499999999995,28.624444444444446,24.79,25.206,113.4,2.1,23.4,1.57,289.8,11,76.0
2024-09-18 00:00:00.000,51.79333333333333,28.639722222222222,24.719,25.209,118.2,2.0,23.4,1.95,281.4,11,75.9
2024-09-23 00:00:00.000,51.7125,28.65,24.651,25.212,123.1,1.9,23.4,2.35,275.7,11,75.8
2024-09-28 00:00:00.000,51.61625,28.655277777777776,24.587,25.216,127.9,1.8,23.4,2.74,271.7,11,75.7
2024-10-03 00:00:00.000,51.50458333333333,28.655277777777776,24.528,25.219,132.8,1.7,23.4,3.12,268.6,11,75.5
2025-01-01 00:00:00.000,48.68416666666666,27.982499999999998,24.602,25.277,132.5,1.6,23.4,3.08,240.7,9,74.2
2025-01-06 00:00:00.000,48.59083333333333,27.93305555555556,24.67,25.28,127.5,1.8,23.4,2.69,237.4,9,74.2
2025-01-11 00:00:00.000,48.513749999999995,27.885833333333334,24.743,25.283,122.4,1.9,23.4,2.28,232.9,9,74.3
2025-01-16 00:00:00.000,48.45375,27.841388888888886,24.82,25.286,117.3,2.0,23.4,1.87,226.5,9,74.4
2025-01-21 00:00:00.000,48.411249999999995,27.8,24.9,25.29,112.3,2.1,23.4,1.48,216.5,9,74.5
2025-01-26 00:00:00.000,48.387499999999996,27.76222222222222,24.983,25.293,107.3,2.1,23.5,1.15,200.0,9,74.6
2025-01-31 00:00:00.000,48.38166666666667,27.728055555555553,25.069,25.296,102.2,2.2,23.5,0.96,173.9,9,74.7
2025-02-05 00:00:00.000,48.394999999999996,27.698333333333334,25.156,25.299,97.2,2.2,23.5,1.02,144.1,9,74.9
2025-02-10 00:00:00.000,48.42708333333333,27.673055555555557,25.244,25.303,92.3,2.2,23.5,1.29,122.3,9,75.0
2025-02-15 00:00:00.000,48.47708333333333,27.65222222222222,25.333,25.306,87.3,2.2,23.5,1.67,109.2,9,75.2
2025-08-19 00:00:00.000,55.00708333333333,29.119722222222222,25.467,25.425,86.5,2.3,23.5,1.69,44.0,13,78.0
2025-08-24 00:00:00.000,55.042916666666656,29.15861111111111,25.387,25.428,91.2,2.3,23.5,1.32,32.3,13,77.9
2025-08-29 00:00:00.000,55.06083333333332,29.19361111111111,25.307,25.431,95.9,2.3,23.5,1.03,12.9,13,77.8
2025-09-03 00:00:00.000,55.06041666666666,29.224999999999998,25.228,25.434,100.7,2.2,23.5,0.91,344.6,13,77.7
2025-09-08 00:00:00.000,55.04208333333333,29.2525,25.15,25.437,105.5,2.2,23.5,1.04,316.8,13,77.6
2025-09-13 00:00:00.000,55.006249999999994,29.275555555555556,25.074,25.441,110.3,2.1,23.5,1.33,298.2,13,77.5
2025-09-18 00:00:00.000,54.95291666666665,29.29416666666667,25.001,25.444,115.1,2.0,23.5,1.69,286.8,13,77.4
2025-09-23 00:00:00.000,54.88249999999999,29.308055555555555,24.931,25.447,120.0,2.0,23.4,2.09,279.7,13,77.3
2025-09-28 00:00:00.000,54.79583333333333,29.3175,24.864,25.45,124.9,1.9,23.4,2.49,274.8,13,77.2
2025-10-03 00:00:00.000,54.69333333333333,29.321944444444444,24.802,25.453,129.7,1.7,23.4,2.87,271.2,13,77.1
2025-10-08 00:00:00.000,54.57666666666666,29.32138888888889,24.745,25.457,134.6,1.6,23.4,3.23,268.5,13,76.9
2026-01-06 00:00:00.000,51.7525,28.674166666666668,24.864,25.514,130.6,1.7,23.4,2.92,240.4,11,75.7
2026-01-11 00:00:00.000,51.66375,28.627222222222223,24.933,25.517,125.5,1.8,23.4,2.53,236.8,11,75.8
2026-01-16 00:00:00.000,51.59208333333333,28.581944444444446,25.008,25.521,120.5,1.9,23.5,2.12,231.7,11,75.8
2026-01-21 00:00:00.000,51.537499999999994,28.539444444444445,25.086,25.524,115.4,2.0,23.5,1.72,224.2,11,75.9
2026-01-26 00:00:00.000,51.50125,28.5,25.168,25.527,110.4,2.1,23.5,1.34,212.3,11,76.0
2026-01-31 00:00:00.000,51.48333333333333,28.46388888888889,25.252,25.53,105.3,2.1,23.5,1.06,192.6,11,76.1
2026-02-05 00:00:00.000,51.48374999999999,28.43138888888889,25.338,25.533,100.3,2.2,23.5,0.95,164.2,11,76.2
2026-02-10 00:00:00.000,51.502916666666664,28.402777777777775,25.426,25.536,95.3,2.2,23.5,1.09,136.6,11,76.3
2026-02-15 00:00:00.000,51.54083333333333,28.378611111111113,25.514,25.54,90.4,2.2,23.5,1.41,118.2,11,76.4
2026-02-20 00:00:00.000,51.59708333333334,28.358611111111113,25.603,25.543,85.4,2.2,23.5,1.81,107.1,11,76.6
2026-08-24 00:00:00.000,58.115416666666654,29.717499999999998,25.672,25.66,88.2,2.3,23.5,1.51,41.4,15,79.3
2026-08-29 00:00:00.000,58.14499999999999,29.753611111111113,25.592,25.664,93.0,2.3,23.5,1.17,27.2,15,79.3
2026-09-03 00:00:00.000,58.15624999999999,29.78666666666667,25.512,25.667,97.7,2.2,23.5,0.94,3.8,15,79.2
2026-09-08 00:00:00.000,58.149583333333325,29.815833333333334,25.433,25.67,102.5,2.2,23.5,0.92,333.6,15,79.1
2026-09-13 00:00:00.000,58.12499999999999,29.841388888888886,25.356,25.673,107.3,2.1,23.5,1.12,308.8,15,79.0
2026-09-18 00:00:00.000,58.082499999999996,29.86277777777778,25.281,25.676,112.1,2.1,23.5,1.46,293.5,15,78.9
2026-09-23 00:00:00.000,58.022499999999994,29.88,25.209,25.68,117.0,2.0,23.5,1.83,284.3,15,78.8
2026-09-28 00:00:00.000,57.94624999999999,29.892777777777777,25.14,25.683,121.8,1.9,23.5,2.23,278.3,15,78.7
2026-10-03 00:00:00.000,57.853333333333325,29.90138888888889,25.075,25.686,126.7,1.8,23.5,2.62,274.1,15,78.6
