Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-05 00:00:00.000,38.119583333333324,21.3125,26.969,26.979,89.5,2.2,23.4,1.06,43.9,3.0,75.9
2023-08-10 00:00:00.000,38.13833333333333,21.335555555555555,26.891,26.985,94.2,2.1,23.4,0.69,26.1,3.0,75.8
2023-08-15 00:00:00.000,38.141666666666666,21.354166666666668,26.814,26.991,99.0,2.1,23.4,0.49,345.0,3.0,75.7
2023-08-20 00:00:00.000,38.12916666666666,21.3675,26.738,26.997,103.8,2.1,23.4,0.65,300.2,3.0,75.6
2023-08-25 00:00:00.000,38.10166666666666,21.375833333333333,26.663,27.003,108.6,2.0,23.3,1.0,280.0,3.0,75.6
2023-08-30 00:00:00.000,38.05916666666666,21.378888888888888,26.591,27.009,113.4,2.0,23.3,1.4,270.8,3.0,75.5
2023-09-04 00:00:00.000,38.00166666666666,21.377222222222223,26.522,27.015,118.3,1.9,23.3,1.8,265.7,3.0,75.4
2023-09-09 00:00:00.000,37.930416666666666,21.37,26.457,27.021,123.2,1.8,23.3,2.2,262.5,3.0,75.3
2023-09-14 00:00:00.000,37.84583333333333,21.35777777777778,26.395,27.027,128.1,1.7,23.3,2.59,260.2,,
2023-09-19 00:00:00.000,37.74791666666666,21.340555555555554,26.338,27.033,133.0,1.6,23.3,2.96,258.5,,
2023-12-18 00:00:00.000,35.2575,20.505,26.446,27.139,133.9,1.5,23.3,3.01,241.3,,
2023-12-23 00:00:00.000,35.17,20.458333333333332,26.517,27.144,128.8,1.6,23.3,2.64,239.2,,
2023-12-28 00:00:00.000,35.096666666666664,20.415,26.592,27.15,123.7,1.7,23.3,2.24,236.3,,
2024-01-02 00:00:00.000,35.037499999999994,20.375555555555557,26.672,27.156,118.6,1.8,23.3,1.84,232.2,,
2024-01-07 00:00:00.000,34.993333333333325,20.34,26.756,27.162,113.5,1.9,23.4,1.43,225.7,,
2024-01-12 00:00:00.000,34.964999999999996,20.309166666666666,26.842,27.168,108.4,2.0,23.4,1.03,213.8,,
2024-01-17 00:00:00.000,34.95249999999999,20.282777777777778,26.931,27.174,103.3,2.0,23.4,0.72,189.7,,
2024-01-22 00:00:00.000,34.95624999999999,20.261666666666667,27.021,27.18,98.2,2.1,23.4,0.65,149.3,,
2024-01-27 00:00:00.000,34.976249999999986,20.245555555555555,27.113,27.185,93.2,2.1,23.4,0.88,117.2,,
2024-02-01 00:00:00.000,35.01208333333333,20.234722222222224,27.205,27.191,88.2,2.1,23.4,1.26,101.2,,
2024-08-04 00:00:00.000,40.47083333333333,21.837777777777777,27.44,27.406,87.0,2.1,23.4,1.23,50.1,,
