Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-12-08 00:00:00.000,160.49458333333334,-10.6875,17.244,17.257,89.1,3.3,26.1,2.78,159.0,,
2023-12-13 00:00:00.000,160.51624999999999,-10.769166666666667,17.164,17.259,93.9,3.3,26.1,2.33,172.6,,
2023-12-18 00:00:00.000,160.5145833333333,-10.84138888888889,17.084,17.261,98.7,3.2,26.1,2.04,191.1,,
2023-12-23 00:00:00.000,160.48999999999998,-10.902777777777779,17.006,17.263,103.6,3.2,26.1,1.99,212.5,,
2023-12-28 00:00:00.000,160.44208333333333,-10.953055555555554,16.93,17.265,108.4,3.1,26.0,2.19,232.3,,
2024-01-02 00:00:00.000,160.3720833333333,-10.991944444444444,16.856,17.268,113.3,3.0,26.0,2.58,247.5,,
2024-01-07 00:00:00.000,160.28041666666667,-11.01888888888889,16.784,17.27,118.1,2.9,26.0,3.07,258.3,,
2024-01-12 00:00:00.000,160.16833333333332,-11.033333333333333,16.717,17.272,123.0,2.7,26.0,3.6,266.2,,
2024-01-17 00:00:00.000,160.0370833333333,-11.034722222222221,16.654,17.274,127.8,2.6,26.0,4.14,272.0,,
2024-01-22 00:00:00.000,159.88791666666665,-11.023611111111112,16.595,17.276,132.5,2.4,26.0,4.67,276.5,,
2024-04-16 00:00:00.000,156.71041666666667,-9.346666666666668,16.61,17.312,133.2,2.4,26.0,5.13,321.1,,
2024-04-21 00:00:00.000,156.61124999999998,-9.215,16.67,17.314,128.6,2.6,26.0,4.7,326.0,,
2024-04-26 00:00:00.000,156.53291666666667,-9.087222222222223,16.734,17.316,124.0,2.8,26.0,4.28,331.9,,
2024-05-01 00:00:00.000,156.47541666666663,-8.963888888888889,16.802,17.318,119.3,2.9,26.0,3.88,339.1,,
2024-05-06 00:00:00.000,156.4395833333333,-8.846111111111112,16.874,17.32,114.7,3.0,26.0,3.52,348.0,,
2024-05-11 00:00:00.000,156.42624999999995,-8.73472222222222,16.95,17.322,110.1,3.1,26.1,3.23,358.9,,
2024-05-16 00:00:00.000,156.43541666666664,-8.630833333333333,17.027,17.325,105.5,3.2,26.1,3.06,11.4,,
2024-05-21 00:00:00.000,156.4670833333333,-8.535,17.107,17.327,100.9,3.3,26.1,3.03,24.7,,
2024-05-26 00:00:00.000,156.52083333333331,-8.447777777777778,17.188,17.329,96.3,3.3,26.1,3.14,37.7,,
2024-05-31 00:00:00.000,156.59624999999997,-8.369444444444445,17.27,17.331,91.8,3.4,26.1,3.38,49.3,,
2024-06-05 00:00:00.000,156.6933333333333,-8.300555555555556,17.352,17.333,87.3,3.4,26.1,3.73,59.1,,
2024-12-12 00:00:00.000,165.32916666666665,-11.11361111111111,17.396,17.41,89.2,3.2,26.1,2.55,156.1,,
2024-12-17 00:00:00.000,165.35291666666666,-11.186666666666667,17.315,17.412,94.0,3.2,26.1,2.08,170.2,,
2024-12-22 00:00:00.000,165.35333333333332,-11.25,17.235,17.414,98.9,3.2,26.1,1.77,190.6,,
2024-12-27 00:00:00.000,165.33083333333335,-11.302777777777779,17.156,17.416,103.8,3.1,26.1,1.74,215.3,,
2025-01-01 00:00:00.000,165.28541666666666,-11.344166666666668,17.078,17.418,108.7,3.1,26.1,1.98,237.1,,
2025-01-06 00:00:00.000,165.21749999999997,-11.374166666666667,17.004,17.42,113.6,3.0,26.1,2.42,252.6,,
2025-01-11 00:00:00.000,165.12875,-11.392222222222221,16.932,17.422,118.5,2.8,26.0,2.94,263.0,,
2025-01-16 00:00:00.000,165.01958333333332,-11.398055555555555,16.864,17.424,123.4,2.7,26.0,3.5,270.2,,
2025-01-21 00:00:00.000,164.89124999999996,-11.391666666666666,16.8,17.426,128.2,2.5,26.0,4.06,275.4,,
2025-01-26 00:00:00.000,164.74541666666664,-11.372777777777777,16.741,17.428,133.1,2.4,26.0,4.6,279.5,,
2025-04-21 00:00:00.000,161.605,-9.65611111111111,16.751,17.461,133.8,2.4,26.0,5.06,320.2,,
2025-04-26 00:00:00.000,161.505,-9.528055555555556,16.811,17.463,129.1,2.6,26.0,4.63,324.8,,
2025-05-01 00:00:00.000,161.42499999999998,-9.404166666666667,16.875,17.465,124.4,2.7,26.0,4.18,330.6,,
2025-05-06 00:00:00.000,161.36624999999998,-9.285555555555556,16.944,17.467,119.8,2.9,26.1,3.76,337.6,,
2025-05-11 00:00:00.000,161.32874999999999,-9.172777777777776,17.016,17.469,115.1,3.0,26.1,3.37,346.5,,
2025-05-16 00:00:00.000,161.31291666666664,-9.066944444444443,17.092,17.471,110.5,3.1,26.1,3.07,357.3,,
2025-05-21 00:00:00.000,161.31916666666663,-8.96861111111111,17.17,17.473,105.8,3.2,26.1,2.88,10.2,,
2025-05-26 00:00:00.000,161.3475,-8.87861111111111,17.25,17.475,101.2,3.3,26.1,2.83,24.4,,
