Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-16 00:00:00.000,19.35583333333333,23.54361111111111,19.38,19.34,86.2,3.0,25.7,2.41,31.8
2023-07-21 00:00:00.000,19.391249999999996,23.608333333333334,19.304,19.344,90.8,3.0,25.7,1.94,20.7
2023-07-26 00:00:00.000,19.405833333333327,23.665,19.228,19.349,95.4,3.0,25.7,1.58,3.8
2023-07-31 00:00:00.000,19.398749999999996,23.71333333333333,19.152,19.354,100.0,3.0,25.6,1.4,340.3
2023-08-05 00:00:00.000,19.371249999999996,23.753055555555555,19.078,19.358,104.6,2.9,25.6,1.49,315.4
2023-08-10 00:00:00.000,19.322916666666664,23.783611111111114,19.005,19.363,109.3,2.8,25.6,1.79,295.9
2023-08-15 00:00:00.000,19.25458333333333,23.804722222222225,18.935,19.368,113.9,2.7,25.6,2.21,282.8
2023-08-20 00:00:00.000,19.166249999999998,23.816111111111113,18.868,19.373,118.6,2.6,25.6,2.69,274.1
2023-08-25 00:00:00.000,19.059166666666666,23.817777777777778,18.804,19.377,123.3,2.5,25.6,3.18,268.1
2023-08-30 00:00:00.000,18.934583333333332,23.809166666666666,18.744,19.382,128.0,2.4,25.6,3.67,263.6
2023-09-04 00:00:00.000,18.79375,23.790555555555557,18.689,19.387,132.7,2.2,25.5,4.14,260.1
2023-12-03 00:00:00.000,15.564583333333333,22.200833333333332,18.808,19.47,131.1,2.2,25.6,4.25,220.3
2023-12-08 00:00:00.000,15.474999999999996,22.09472222222222,18.877,19.475,126.2,2.3,25.6,3.82,215.2
2023-12-13 00:00:00.000,15.406249999999998,21.993333333333336,18.95,19.48,121.3,2.5,25.6,3.38,208.7
2023-12-18 00:00:00.000,15.358749999999997,21.897777777777776,19.028,19.484,116.3,2.6,25.6,2.96,200.3
2023-12-23 00:00:00.000,15.332916666666664,21.808611111111112,19.109,19.489,111.4,2.7,25.6,2.6,189.2
2023-12-28 00:00:00.000,15.329166666666662,21.726666666666667,19.193,19.494,106.4,2.8,25.7,2.35,175.1
2024-01-02 00:00:00.000,15.34708333333333,21.652777777777775,19.279,19.498,101.5,2.8,25.7,2.25,158.8
2024-01-07 00:00:00.000,15.3875,21.586944444444445,19.366,19.503,96.5,2.9,25.7,2.33,142.1
2024-01-12 00:00:00.000,15.45,21.529999999999998,19.454,19.507,91.6,2.9,25.7,2.58,127.5
2024-01-17 00:00:00.000,15.534166666666668,21.48222222222222,19.543,19.512,86.7,2.9,25.7,2.94,116.0
2024-07-20 00:00:00.000,23.399583333333332,23.941111111111113,19.705,19.678,87.0,3.0,25.7,2.16,33.3
2024-07-25 00:00:00.000,23.432499999999997,23.997777777777777,19.628,19.683,91.6,3.0,25.7,1.71,21.2
2024-07-30 00:00:00.000,23.44458333333333,24.046944444444446,19.551,19.687,96.2,2.9,25.7,1.36,1.8
2024-08-04 00:00:00.000,23.43583333333333,24.08833333333333,19.475,19.692,100.9,2.9,25.7,1.23,334.4
2024-08-09 00:00:00.000,23.40583333333333,24.121111111111112,19.4,19.696,105.5,2.8,25.7,1.39,307.8
2024-08-14 00:00:00.000,23.355416666666667,24.145,19.327,19.701,110.2,2.8,25.7,1.76,289.6
2024-08-19 00:00:00.000,23.284999999999997,24.160277777777775,19.257,19.705,114.9,2.7,25.7,2.22,278.2
2024-08-24 00:00:00.000,23.195416666666663,24.16611111111111,19.19,19.709,119.6,2.6,25.7,2.71,270.8
2024-08-29 00:00:00.000,23.08708333333333,24.162777777777777,19.126,19.714,124.4,2.4,25.6,3.22,265.6
2024-09-03 00:00:00.000,22.961666666666662,24.149722222222223,19.066,19.718,129.1,2.3,25.6,3.71,261.7
2024-09-08 00:00:00.000,22.81958333333333,24.126944444444444,19.011,19.723,133.8,2.1,25.6,4.18,258.7
2024-12-07 00:00:00.000,19.60625,22.57111111111111,19.149,19.801,130.3,2.2,25.6,4.08,221.4
2024-12-12 00:00:00.000,19.51833333333333,22.47111111111111,19.219,19.805,125.3,2.3,25.7,3.63,216.3
2024-12-17 00:00:00.000,19.451249999999995,22.37611111111111,19.294,19.809,120.4,2.5,25.7,3.19,209.7
2024-12-22 00:00:00.000,19.404583333333328,22.286944444444448,19.372,19.814,115.4,2.6,25.7,2.77,201.0
2024-12-27 00:00:00.000,19.37958333333333,22.203888888888887,19.454,19.818,110.4,2.7,25.7,2.42,189.3
2025-01-01 00:00:00.000,19.37666666666666,22.128055555555555,19.538,19.822,105.4,2.7,25.7,2.17,174.2
2025-01-06 00:00:00.000,19.395416666666662,22.060000000000002,19.625,19.827,100.4,2.8,25.7,2.1,156.6
2025-01-11 00:00:00.000,19.436249999999998,22.0,19.712,19.831,95.5,2.8,25.8,2.21,139.3
2025-01-16 00:00:00.000,19.498749999999998,21.948611111111113,19.801,19.835,90.6,2.8,25.8,2.48,124.7
2025-01-21 00:00:00.000,19.5825,21.90583333333333,19.89,19.839,85.7,2.8,25.8,2.86,113.6
2025-07-25 00:00:00.000,27.332916666666662,24.223888888888887,20.004,19.994,88.0,2.9,25.8,1.92,34.8
2025-07-30 00:00:00.000,27.362499999999997,24.272777777777776,19.927,19.999,92.6,2.9,25.8,1.46,21.0
2025-08-04 00:00:00.000,27.37125,24.314722222222223,19.849,20.003,97.3,2.9,25.8,1.14,357.7
2025-08-09 00:00:00.000,27.359166666666663,24.34861111111111,19.772,20.007,101.9,2.8,25.8,1.09,326.0
2025-08-14 00:00:00.000,27.32666666666666,24.37472222222222,19.697,20.011,106.6,2.8,25.8,1.34,299.5
2025-08-19 00:00:00.000,27.273749999999996,24.392777777777777,19.624,20.015,111.3,2.7,25.8,1.77,283.3
2025-08-24 00:00:00.000,27.200833333333332,24.401944444444442,19.554,20.019,116.1,2.6,25.7,2.26,273.7
2025-08-29 00:00:00.000,27.108749999999997,24.40222222222222,19.486,20.023,120.8,2.5,25.7,2.77,267.5
2025-09-03 00:00:00.000,26.99833333333333,24.39388888888889,19.423,20.027,125.6,2.3,25.7,3.28,263.2
2025-09-08 00:00:00.000,26.870833333333326,24.37638888888889,19.364,20.031,130.4,2.2,25.7,3.76,260.0
2025-12-07 00:00:00.000,23.633749999999996,22.930555555555557,19.404,20.104,134.3,2.0,25.7,4.34,226.6
2025-12-12 00:00:00.000,23.529166666666665,22.83277777777778,19.47,20.108,129.3,2.2,25.7,3.9,222.6
2025-12-17 00:00:00.000,23.44333333333333,22.739166666666666,19.541,20.112,124.3,2.3,25.7,3.45,217.4
2025-12-22 00:00:00.000,23.377916666666664,22.650555555555552,19.617,20.116,119.3,2.4,25.8,2.99,210.6
2025-12-27 00:00:00.000,23.333333333333332,22.5675,19.696,20.12,114.2,2.6,25.8,2.57,201.4
2026-01-01 00:00:00.000,23.31,22.491111111111113,19.778,20.124,109.2,2.6,25.8,2.22,188.9
2026-01-06 00:00:00.000,23.308749999999996,22.421666666666667,19.863,20.128,104.2,2.7,25.8,1.99,172.6
2026-01-11 00:00:00.000,23.328749999999996,22.359722222222224,19.95,20.132,99.3,2.8,25.8,1.95,153.8
2026-01-16 00:00:00.000,23.370416666666664,22.305555555555557,20.038,20.136,94.3,2.8,25.8,2.1,135.8
2026-01-21 00:00:00.000,23.434166666666666,22.259444444444444,20.127,20.14,89.3,2.8,25.8,2.41,121.3
2026-07-30 00:00:00.000,31.161249999999995,24.399444444444445,20.278,20.287,89.1,2.9,25.9,1.67,36.2
2026-08-04 00:00:00.000,31.187083333333334,24.441111111111113,20.199,20.291,93.7,2.9,25.9,1.22,20.4
2026-08-09 00:00:00.000,31.192500000000003,24.475555555555555,20.121,20.295,98.4,2.8,25.9,0.94,351.3
2026-08-14 00:00:00.000,31.176666666666666,24.502777777777776,20.044,20.299,103.1,2.8,25.8,1.0,314.8
2026-08-19 00:00:00.000,31.140416666666667,24.522222222222222,19.969,20.302,107.9,2.7,25.8,1.35,290.3
2026-08-24 00:00:00.000,31.084166666666665,24.53388888888889,19.896,20.306,112.6,2.6,25.8,1.82,277.2
2026-08-29 00:00:00.000,31.008333333333333,24.5375,19.825,20.31,117.4,2.5,25.8,2.33,269.6
2026-09-03 00:00:00.000,30.913749999999993,24.532777777777778,19.758,20.314,122.2,2.4,25.8,2.85,264.7
2026-09-08 00:00:00.000,30.800833333333326,24.51972222222222,19.695,20.317,127.0,2.3,25.8,3.36,261.1
2026-09-13 00:00:00.000,30.671249999999997,24.498333333333335,19.637,20.321,131.8,2.1,25.8,3.85,258.4
2026-12-12 00:00:00.000,27.443749999999998,23.085277777777776,19.702,20.388,133.1,2.0,25.8,4.16,227.8
2026-12-17 00:00:00.000,27.34125,22.99388888888889,19.77,20.392,128.1,2.2,25.8,3.71,223.7
2026-12-22 00:00:00.000,27.258333333333333,22.90694444444444,19.842,20.396,123.0,2.3,25.8,3.24,218.5
2026-12-27 00:00:00.000,27.195416666666667,22.825,19.919,20.399,118.0,2.4,25.8,2.79,211.5
