Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-21 00:00:00.000,34.838333333333324,-1.2830555555555554,24.928,24.873,85.7,2.3,22.9,2.19,118.7,4,74.4
2023-07-26 00:00:00.000,34.89499999999999,-1.3211111111111111,24.844,24.87,90.3,2.3,22.9,1.91,129.9,5,74.8
2023-07-31 00:00:00.000,34.936249999999994,-1.3647222222222224,24.76,24.868,94.9,2.3,22.9,1.72,144.2,5,75.2
2023-08-05 00:00:00.000,34.962083333333325,-1.4141666666666666,24.677,24.865,99.5,2.3,22.9,1.65,160.8,5,75.7
2023-08-10 00:00:00.000,34.97249999999999,-1.4686111111111113,24.595,24.862,104.2,2.3,22.9,1.71,177.5,5,76.1
2023-08-15 00:00:00.000,34.96708333333333,-1.5280555555555555,24.514,24.859,108.8,2.2,22.9,1.89,192.0,5,76.6
2023-08-20 00:00:00.000,34.94624999999999,-1.5916666666666668,24.436,24.857,113.5,2.1,22.9,2.15,203.5,5,77.0
2023-08-25 00:00:00.000,34.91,-1.6594444444444443,24.361,24.854,118.1,2.1,22.9,2.47,212.2,5,77.5
2023-08-30 00:00:00.000,34.85874999999999,-1.7305555555555556,24.289,24.851,122.8,2.0,22.8,2.8,218.8,4,78.0
2023-09-04 00:00:00.000,34.79291666666666,-1.8047222222222223,24.222,24.848,127.5,1.8,22.8,3.14,224.0,4,78.5
2023-09-09 00:00:00.000,34.713333333333324,-1.8811111111111112,24.158,24.846,132.1,1.7,22.8,3.47,228.1,4,79.0
2023-12-08 00:00:00.000,32.21833333333333,-2.9138888888888888,24.126,24.795,131.9,1.7,22.8,3.35,266.1,2,87.7
2023-12-13 00:00:00.000,32.11291666666666,-2.9175,24.187,24.792,127.0,1.8,22.8,2.98,270.1,2,87.7
2023-12-18 00:00:00.000,32.019999999999996,-2.913611111111111,24.252,24.789,122.1,1.9,22.8,2.59,275.2,2,87.6
2023-12-23 00:00:00.000,31.941249999999997,-2.901944444444444,24.322,24.786,117.2,2.0,22.8,2.2,282.1,2,87.4
2023-12-28 00:00:00.000,31.87666666666666,-2.8827777777777777,24.395,24.784,112.2,2.1,22.9,1.84,291.8,2,87.0
2024-01-02 00:00:00.000,31.827499999999997,-2.856388888888889,24.471,24.781,107.3,2.2,22.9,1.54,305.8,2,86.5
2024-01-07 00:00:00.000,31.793749999999996,-2.8230555555555554,24.549,24.778,102.4,2.2,22.9,1.35,325.3,2,85.9
2024-01-12 00:00:00.000,31.776249999999994,-2.7827777777777776,24.628,24.775,97.4,2.3,22.9,1.34,348.0,2,85.2
2024-01-17 00:00:00.000,31.775416666666665,-2.736111111111111,24.709,24.772,92.5,2.3,22.9,1.51,8.3,2,84.3
2024-01-22 00:00:00.000,31.79083333333333,-2.6833333333333336,24.79,24.769,87.6,2.3,22.9,1.82,23.1,2,83.4
2024-07-25 00:00:00.000,37.44125,-0.9111111111111111,24.684,24.661,87.5,2.4,22.9,2.13,123.8,6,75.8
2024-07-30 00:00:00.000,37.4925,-0.9536111111111111,24.6,24.658,92.1,2.4,22.9,1.88,136.0,6,76.2
2024-08-04 00:00:00.000,37.52833333333333,-1.0013888888888889,24.516,24.655,96.7,2.3,22.9,1.73,151.2,6,76.6
2024-08-09 00:00:00.000,37.548333333333325,-1.0547222222222223,24.433,24.652,101.3,2.3,22.9,1.71,167.9,6,76.9
2024-08-14 00:00:00.000,37.552499999999995,-1.1127777777777779,24.351,24.649,106.0,2.3,22.8,1.82,183.7,6,77.3
2024-08-19 00:00:00.000,37.54041666666666,-1.1755555555555557,24.272,24.646,110.6,2.2,22.8,2.03,196.8,6,77.7
2024-08-24 00:00:00.000,37.51333333333333,-1.2422222222222223,24.195,24.643,115.3,2.1,22.8,2.31,207.0,6,78.1
2024-08-29 00:00:00.000,37.47083333333333,-1.3125,24.121,24.64,119.9,2.0,22.8,2.63,214.9,6,78.5
2024-09-03 00:00:00.000,37.41291666666667,-1.3858333333333333,24.05,24.637,124.6,1.9,22.8,2.97,221.1,6,79.0
2024-09-08 00:00:00.000,37.34083333333333,-1.4616666666666667,23.984,24.634,129.3,1.8,22.8,3.31,225.9,6,79.4
2024-09-13 00:00:00.000,37.25458333333333,-1.5394444444444444,23.923,24.631,133.9,1.7,22.8,3.64,229.8,6,79.8
2024-12-07 00:00:00.000,34.83541666666666,-2.511111111111111,23.879,24.58,134.5,1.6,22.8,3.59,265.6,4,85.9
2024-12-12 00:00:00.000,34.72166666666666,-2.516388888888889,23.936,24.576,129.7,1.8,22.8,3.23,269.2,4,85.9
2024-12-17 00:00:00.000,34.620416666666664,-2.513888888888889,23.999,24.573,124.8,1.9,22.8,2.85,273.7,4,85.8
2024-12-22 00:00:00.000,34.53249999999999,-2.504166666666667,24.065,24.57,119.9,2.0,22.8,2.46,279.6,3,85.6
2024-12-27 00:00:00.000,34.45833333333333,-2.486666666666667,24.136,24.567,115.0,2.1,22.8,2.09,287.7,3,85.4
2025-01-01 00:00:00.000,34.399583333333325,-2.461666666666667,24.21,24.564,110.0,2.2,22.8,1.75,299.3,3,85.0
2025-01-06 00:00:00.000,34.35666666666666,-2.4294444444444445,24.286,24.561,105.1,2.2,22.8,1.5,315.6,3,84.6
2025-01-11 00:00:00.000,34.32999999999999,-2.3905555555555553,24.365,24.558,100.2,2.3,22.8,1.39,336.2,3,84.1
2025-01-16 00:00:00.000,34.31958333333333,-2.345,24.445,24.555,95.3,2.3,22.8,1.46,357.4,3,83.5
2025-01-21 00:00:00.000,34.32541666666666,-2.293333333333333,24.525,24.552,90.4,2.3,22.9,1.69,14.8,3,82.8
2025-01-26 00:00:00.000,34.34833333333332,-2.2358333333333333,24.606,24.549,85.5,2.3,22.9,2.03,27.3,3,82.2
2025-07-30 00:00:00.000,40.088333333333324,-0.5338888888888889,24.424,24.432,89.3,2.4,22.8,2.08,129.3,7,76.9
2025-08-04 00:00:00.000,40.13416666666666,-0.5805555555555555,24.34,24.429,93.9,2.4,22.8,1.86,142.5,7,77.2
2025-08-09 00:00:00.000,40.16416666666666,-0.6325000000000001,24.256,24.426,98.5,2.4,22.8,1.76,158.0,7,77.6
2025-08-14 00:00:00.000,40.17791666666666,-0.6891666666666667,24.174,24.423,103.1,2.3,22.8,1.79,174.2,7,77.9
2025-08-19 00:00:00.000,40.17583333333332,-0.7508333333333334,24.093,24.42,107.7,2.3,22.8,1.93,189.0,7,78.2
2025-08-24 00:00:00.000,40.157916666666665,-0.8163888888888889,24.014,24.416,112.4,2.2,22.8,2.18,201.1,7,78.6
2025-08-29 00:00:00.000,40.12416666666666,-0.8858333333333333,23.938,24.413,117.0,2.1,22.8,2.47,210.4,7,78.9
2025-09-03 00:00:00.000,40.07458333333333,-0.9586111111111111,23.865,24.41,121.7,2.0,22.8,2.8,217.6,7,79.3
2025-09-08 00:00:00.000,40.010416666666664,-1.0336111111111113,23.796,24.407,126.3,1.9,22.8,3.14,223.2,7,79.7
2025-09-13 00:00:00.000,39.93166666666666,-1.1108333333333333,23.732,24.404,131.0,1.8,22.7,3.48,227.7,7,80.1
2025-12-12 00:00:00.000,37.379583333333336,-2.105,23.671,24.345,132.3,1.7,22.7,3.48,268.4,5,84.8
2025-12-17 00:00:00.000,37.26958333333333,-2.1044444444444443,23.73,24.342,127.5,1.8,22.7,3.11,272.5,5,84.8
2025-12-22 00:00:00.000,37.17249999999999,-2.0961111111111115,23.794,24.338,122.6,2.0,22.7,2.73,277.7,5,84.6
2025-12-27 00:00:00.000,37.089166666666664,-2.080277777777778,23.862,24.335,117.7,2.1,22.8,2.35,284.6,5,84.4
2026-01-01 00:00:00.000,37.021249999999995,-2.0566666666666666,23.934,24.332,112.8,2.1,22.8,1.99,294.1,5,84.2
2026-01-06 00:00:00.000,36.96833333333333,-2.026111111111111,24.008,24.329,107.9,2.2,22.8,1.69,307.4,5,83.8
2026-01-11 00:00:00.000,36.931666666666665,-1.9883333333333333,24.085,24.325,103.0,2.3,22.8,1.5,325.2,5,83.4
2026-01-16 00:00:00.000,36.91166666666666,-1.9441666666666666,24.164,24.322,98.1,2.3,22.8,1.47,346.0,5,83.0
2026-01-21 00:00:00.000,36.90833333333333,-1.8936111111111111,24.244,24.319,93.2,2.3,22.8,1.62,5.4,5,82.5
2026-01-26 00:00:00.000,36.92166666666667,-1.8369444444444445,24.324,24.315,88.4,2.3,22.8,1.9,20.4,5,82.0
2026-07-30 00:00:00.000,42.72666666666667,-0.10611111111111111,24.234,24.191,86.4,2.4,22.8,2.3,123.4,9,77.5
2026-08-04 00:00:00.000,42.782916666666665,-0.1511111111111111,24.15,24.188,91.0,2.4,22.8,2.04,134.7,9,77.8
2026-08-09 00:00:00.000,42.82333333333333,-0.2016666666666667,24.065,24.184,95.5,2.4,22.8,1.87,148.7,9,78.1
2026-08-14 00:00:00.000,42.8475,-0.25722222222222224,23.982,24.181,100.2,2.4,22.8,1.81,164.6,9,78.4
2026-08-19 00:00:00.000,42.85541666666666,-0.31777777777777777,23.9,24.178,104.8,2.3,22.8,1.88,180.3,9,78.7
2026-08-24 00:00:00.000,42.84708333333333,-0.3822222222222222,23.82,24.174,109.4,2.3,22.8,2.06,193.9,9,79.0
2026-08-29 00:00:00.000,42.8225,-0.45083333333333336,23.742,24.171,114.0,2.2,22.7,2.32,204.9,9,79.3
2026-09-03 00:00:00.000,42.782083333333325,-0.5225000000000001,23.667,24.167,118.7,2.1,22.7,2.63,213.4,9,79.6
2026-09-08 00:00:00.000,42.72624999999999,-0.5969444444444445,23.596,24.164,123.3,2.0,22.7,2.97,220.1,9,79.9
2026-09-13 00:00:00.000,42.655,-0.673611111111111,23.528,24.161,128.0,1.9,22.7,3.31,225.3,9,80.2
2026-09-18 00:00:00.000,42.569583333333334,-0.7516666666666667,23.466,24.157,132.6,1.8,22.7,3.64,229.6,9,80.5
2026-12-17 00:00:00.000,39.97249999999999,-1.6844444444444444,23.447,24.095,130.2,1.8,22.7,3.38,271.5,7,84.1
2026-12-22 00:00:00.000,39.86666666666666,-1.6777777777777776,23.508,24.091,125.4,1.9,22.7,3.0,276.1,7,84.0
2026-12-27 00:00:00.000,39.77416666666666,-1.6633333333333333,23.573,24.088,120.5,2.0,22.7,2.62,282.0,7,83.8
2027-01-01 00:00:00.000,39.69624999999999,-1.6416666666666666,23.642,24.084,115.7,2.1,22.7,2.25,290.0,7,83.6
2027-01-06 00:00:00.000,39.633333333333326,-1.6122222222222222,23.715,24.081,110.8,2.2,22.7,1.92,301.0,6,83.3
2027-01-11 00:00:00.000,39.586666666666666,-1.5758333333333334,23.79,24.077,105.9,2.3,22.7,1.66,316.0,6,83.0
2027-01-16 00:00:00.000,39.55666666666666,-1.5327777777777778,23.868,24.074,101.0,2.3,22.8,1.54,335.0,6,82.7
2027-01-21 00:00:00.000,39.54333333333332,-1.4833333333333334,23.946,24.07,96.1,2.3,22.8,1.58,354.9,6,82.3
2027-01-26 00:00:00.000,39.54749999999999,-1.4277777777777778,24.026,24.067,91.2,2.3,22.8,1.79,12.0,6,81.9
2027-01-31 00:00:00.000,39.56833333333333,-1.3669444444444445,24.106,24.063,86.4,2.3,22.8,2.1,24.8,6,81.5
2027-08-04 00:00:00.000,45.47958333333332,0.28638888888888886,23.945,23.932,88.0,2.4,22.8,2.26,128.2,11,78.2
